State-Name,State-Abbreviation,Metro-Name,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,Anchorage,4.581,4.826,5.021,4.416,U.S Dollar,US Gallon,2023-08-30
Alaska,AK,Fairbanks,4.527,4.73,4.887,4.569,U.S Dollar,US Gallon,2023-08-30
Alaska,AK,Juneau,4.575,4.496,4.731,4.403,U.S Dollar,US Gallon,2023-08-30
Alabama,AL,Anniston-Oxford,3.434,3.784,4.127,4.152,U.S Dollar,US Gallon,2023-08-30
Alabama,AL,Auburn,3.364,3.717,4.077,4.08,U.S Dollar,US Gallon,2023-08-30
Alabama,AL,Birmingham,3.405,3.796,4.195,4.17,U.S Dollar,US Gallon,2023-08-30
Alabama,AL,Daphne-Fairhope-Foley,3.474,3.891,4.249,4.133,U.S Dollar,US Gallon,2023-08-30
Alabama,AL,Decatur,3.376,3.725,4.102,4.061,U.S Dollar,US Gallon,2023-08-30
Alabama,AL,Dothan,3.45,3.841,4.209,4.204,U.S Dollar,US Gallon,2023-08-30
Alabama,AL,Florence-Muscle Shoals,3.422,3.83,4.224,4.089,U.S Dollar,US Gallon,2023-08-30
Alabama,AL,Gadsden,3.316,3.737,4.107,4.114,U.S Dollar,US Gallon,2023-08-30
Alabama,AL,Huntsville,3.442,3.787,4.154,4.11,U.S Dollar,US Gallon,2023-08-30
Alabama,AL,Mobile,3.439,3.857,4.222,4.152,U.S Dollar,US Gallon,2023-08-30
Alabama,AL,Montgomery,3.424,3.841,4.254,4.154,U.S Dollar,US Gallon,2023-08-30
Alabama,AL,Russell County,3.389,3.743,4.04,4.139,U.S Dollar,US Gallon,2023-08-30
Alabama,AL,Tuscaloosa,3.385,3.804,4.191,4.114,U.S Dollar,US Gallon,2023-08-30
Arkansas,AR,Fayetteville-Springdale-Rogers,3.387,3.748,4.011,4.085,U.S Dollar,US Gallon,2023-08-30
Arkansas,AR,Fort Smith (AR only),3.4,3.782,4.056,4.09,U.S Dollar,US Gallon,2023-08-30
Arkansas,AR,Hot Springs,3.366,3.796,4.191,3.992,U.S Dollar,US Gallon,2023-08-30
Arkansas,AR,Jonesboro,3.302,3.685,4.029,4.119,U.S Dollar,US Gallon,2023-08-30
Arkansas,AR,Little Rock-North Little Rock,3.371,3.774,4.132,4.04,U.S Dollar,US Gallon,2023-08-30
Arkansas,AR,Pine Bluff,3.405,3.916,4.211,4.043,U.S Dollar,US Gallon,2023-08-30
Arkansas,AR,Texarkana (AR only),3.465,3.827,4.248,4.148,U.S Dollar,US Gallon,2023-08-30
Arkansas,AR,West Memphis,3.346,3.703,4.194,4.122,U.S Dollar,US Gallon,2023-08-30
Arizona,AZ,East Valley,4.542,4.845,5.131,4.718,U.S Dollar,US Gallon,2023-08-30
Arizona,AZ,Flagstaff,4.104,4.27,4.578,4.748,U.S Dollar,US Gallon,2023-08-30
Arizona,AZ,Glendale,4.531,4.809,5.134,4.678,U.S Dollar,US Gallon,2023-08-30
Arizona,AZ,Lake Havasu-Kingman,4.152,4.226,4.565,4.774,U.S Dollar,US Gallon,2023-08-30
Arizona,AZ,Peoria,4.548,4.843,5.125,4.729,U.S Dollar,US Gallon,2023-08-30
Arizona,AZ,Phoenix Proper,4.524,4.808,5.087,4.726,U.S Dollar,US Gallon,2023-08-30
Arizona,AZ,Phoenix-Mesa,4.534,4.829,5.117,4.716,U.S Dollar,US Gallon,2023-08-30
Arizona,AZ,Pima County,4.121,4.41,4.684,4.675,U.S Dollar,US Gallon,2023-08-30
Arizona,AZ,Prescott,4.124,4.397,4.714,4.659,U.S Dollar,US Gallon,2023-08-30
Arizona,AZ,Scottsdale,4.637,4.925,5.217,4.691,U.S Dollar,US Gallon,2023-08-30
Arizona,AZ,Sierra Vista-Douglas,4.029,4.265,4.545,4.615,U.S Dollar,US Gallon,2023-08-30
Arizona,AZ,Tucson,4.121,4.411,4.687,4.663,U.S Dollar,US Gallon,2023-08-30
Arizona,AZ,West Valley,4.531,4.825,5.132,4.689,U.S Dollar,US Gallon,2023-08-30
Arizona,AZ,Yuma,3.951,4.26,4.513,4.578,U.S Dollar,US Gallon,2023-08-30
California,CA,Bakersfield,5.174,5.382,5.575,5.918,U.S Dollar,US Gallon,2023-08-30
California,CA,Chico-Paradise,5.154,5.342,5.461,5.658,U.S Dollar,US Gallon,2023-08-30
California,CA,El Centro,5.193,5.395,5.549,5.892,U.S Dollar,US Gallon,2023-08-30
California,CA,Fresno,5.19,5.413,5.589,5.792,U.S Dollar,US Gallon,2023-08-30
California,CA,Hanford-Corcoran,5.174,5.251,5.416,5.803,U.S Dollar,US Gallon,2023-08-30
California,CA,Los Angeles-Long Beach,5.37,5.573,5.708,5.973,U.S Dollar,US Gallon,2023-08-30
California,CA,Madera-Chowchilla,5.176,5.419,5.578,5.723,U.S Dollar,US Gallon,2023-08-30
California,CA,Merced,5.18,5.396,5.574,5.729,U.S Dollar,US Gallon,2023-08-30
California,CA,Modesto,5.084,5.319,5.479,5.707,U.S Dollar,US Gallon,2023-08-30
California,CA,Napa,5.409,5.521,5.706,5.999,U.S Dollar,US Gallon,2023-08-30
California,CA,Oakland,5.282,5.493,5.655,5.865,U.S Dollar,US Gallon,2023-08-30
California,CA,Orange County,5.317,5.522,5.642,5.893,U.S Dollar,US Gallon,2023-08-30
California,CA,Redding,5.188,5.351,5.503,5.701,U.S Dollar,US Gallon,2023-08-30
California,CA,Riverside,5.271,5.497,5.628,5.913,U.S Dollar,US Gallon,2023-08-30
California,CA,Sacramento,5.215,5.424,5.596,5.762,U.S Dollar,US Gallon,2023-08-30
California,CA,Salinas,5.354,5.54,5.727,6.05,U.S Dollar,US Gallon,2023-08-30
California,CA,San Bernardino,5.3,5.481,5.648,5.922,U.S Dollar,US Gallon,2023-08-30
California,CA,San Diego,5.371,5.586,5.729,5.899,U.S Dollar,US Gallon,2023-08-30
California,CA,San Francisco,5.364,5.558,5.742,6.003,U.S Dollar,US Gallon,2023-08-30
California,CA,San Jose,5.259,5.477,5.617,5.894,U.S Dollar,US Gallon,2023-08-30
California,CA,San Luis Obispo-Atascadero-Paso Robles,5.549,5.752,5.918,6.169,U.S Dollar,US Gallon,2023-08-30
California,CA,San Rafael,5.397,5.585,5.758,5.926,U.S Dollar,US Gallon,2023-08-30
California,CA,Santa Barbara-Santa Maria-Lompoc,5.299,5.462,5.635,5.93,U.S Dollar,US Gallon,2023-08-30
California,CA,Santa Cruz-Watsonville,5.3,5.542,5.708,5.952,U.S Dollar,US Gallon,2023-08-30
California,CA,Santa Rosa,5.372,5.586,5.739,5.888,U.S Dollar,US Gallon,2023-08-30
California,CA,Stockton-Lodi,5.104,5.337,5.499,5.747,U.S Dollar,US Gallon,2023-08-30
California,CA,Vallejo-Fairfield,5.242,5.474,5.62,5.771,U.S Dollar,US Gallon,2023-08-30
California,CA,Ventura,5.377,5.579,5.711,5.992,U.S Dollar,US Gallon,2023-08-30
California,CA,Visalia-Tulare-Porterville,5.192,5.396,5.609,5.808,U.S Dollar,US Gallon,2023-08-30
California,CA,Yolo,5.179,5.383,5.568,5.65,U.S Dollar,US Gallon,2023-08-30
California,CA,Yuba City,5.029,5.271,5.459,5.537,U.S Dollar,US Gallon,2023-08-30
Colorado,CO,Boulder-Longmont,3.961,4.34,4.657,4.185,U.S Dollar,US Gallon,2023-08-30
Colorado,CO,Colorado Springs,3.899,4.311,4.609,4.271,U.S Dollar,US Gallon,2023-08-30
Colorado,CO,Denver,3.921,4.338,4.636,4.24,U.S Dollar,US Gallon,2023-08-30
Colorado,CO,Durango,4.116,4.349,4.607,4.675,U.S Dollar,US Gallon,2023-08-30
Colorado,CO,Fort Collins-Loveland,3.951,4.336,4.656,4.266,U.S Dollar,US Gallon,2023-08-30
Colorado,CO,Glenwood Springs,4.224,4.63,4.694,4.438,U.S Dollar,US Gallon,2023-08-30
Colorado,CO,Grand Junction (CO only),3.923,4.254,4.503,4.319,U.S Dollar,US Gallon,2023-08-30
Colorado,CO,Greeley,3.9,4.283,4.591,4.237,U.S Dollar,US Gallon,2023-08-30
Colorado,CO,Pueblo,4.122,4.499,4.831,4.347,U.S Dollar,US Gallon,2023-08-30
Colorado,CO,Vail,4.366,4.691,4.973,4.461,U.S Dollar,US Gallon,2023-08-30
Connecticut,CT,Bridgeport,3.858,4.348,4.744,4.441,U.S Dollar,US Gallon,2023-08-30
Connecticut,CT,Hartford,3.776,4.259,4.655,4.423,U.S Dollar,US Gallon,2023-08-30
Connecticut,CT,Lower Fairfield County,3.839,4.326,4.739,4.448,U.S Dollar,US Gallon,2023-08-30
Connecticut,CT,New Haven-Meriden,3.791,4.283,4.625,4.42,U.S Dollar,US Gallon,2023-08-30
Connecticut,CT,New London-Norwich (CT only),3.819,4.304,4.693,4.416,U.S Dollar,US Gallon,2023-08-30
Connecticut,CT,Windham,3.815,4.202,4.659,4.448,U.S Dollar,US Gallon,2023-08-30
District of Columbia,DC,Washington (DC only),3.972,4.54,4.885,4.606,U.S Dollar,US Gallon,2023-08-30
District of Columbia,DC,Washington (Entire Metro Average),3.779,4.25,4.565,4.41,U.S Dollar,US Gallon,2023-08-30
Delaware,DE,Dover,3.604,4.011,4.321,4.236,U.S Dollar,US Gallon,2023-08-30
Delaware,DE,Milford-Seaford,3.603,3.999,4.302,4.251,U.S Dollar,US Gallon,2023-08-30
Delaware,DE,Wilmington-Newark (DE only),3.642,4.252,4.467,4.272,U.S Dollar,US Gallon,2023-08-30
Florida,FL,Bradenton-Sarasota-Venice,3.691,4.106,4.423,4.48,U.S Dollar,US Gallon,2023-08-30
Florida,FL,Crestview-Fort Walton Beach,3.505,3.875,4.231,4.217,U.S Dollar,US Gallon,2023-08-30
Florida,FL,Daytona Beach,3.693,4.096,4.439,4.462,U.S Dollar,US Gallon,2023-08-30
