State-Name,State-Abbreviation,Metro-Name,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,Anchorage,3.895,4.123,4.319,4.002,U.S Dollar,US Gallon,2023-06-02
Alaska,AK,Fairbanks,3.953,4.138,4.338,4.526,U.S Dollar,US Gallon,2023-06-02
Alaska,AK,Juneau,3.97,4.085,4.308,4.197,U.S Dollar,US Gallon,2023-06-02
Alabama,AL,Anniston-Oxford,3.127,3.438,3.756,3.675,U.S Dollar,US Gallon,2023-06-02
Alabama,AL,Auburn,3.079,3.459,3.78,3.561,U.S Dollar,US Gallon,2023-06-02
Alabama,AL,Birmingham,3.126,3.511,3.896,3.755,U.S Dollar,US Gallon,2023-06-02
Alabama,AL,Daphne-Fairhope-Foley,3.171,3.57,3.947,3.579,U.S Dollar,US Gallon,2023-06-02
Alabama,AL,Decatur,3.104,3.44,3.856,3.614,U.S Dollar,US Gallon,2023-06-02
Alabama,AL,Dothan,3.153,3.544,3.9,3.632,U.S Dollar,US Gallon,2023-06-02
Alabama,AL,Florence-Muscle Shoals,3.166,3.507,3.887,3.699,U.S Dollar,US Gallon,2023-06-02
Alabama,AL,Gadsden,3.088,3.479,3.865,3.601,U.S Dollar,US Gallon,2023-06-02
Alabama,AL,Huntsville,3.159,3.504,3.862,3.734,U.S Dollar,US Gallon,2023-06-02
Alabama,AL,Mobile,3.142,3.553,3.918,3.724,U.S Dollar,US Gallon,2023-06-02
Alabama,AL,Montgomery,3.132,3.557,3.943,3.731,U.S Dollar,US Gallon,2023-06-02
Alabama,AL,Russell County,3.133,3.481,3.772,3.7,U.S Dollar,US Gallon,2023-06-02
Alabama,AL,Tuscaloosa,3.147,3.55,3.938,3.689,U.S Dollar,US Gallon,2023-06-02
Arkansas,AR,Fayetteville-Springdale-Rogers,3.232,3.579,3.884,3.629,U.S Dollar,US Gallon,2023-06-02
Arkansas,AR,Fort Smith (AR only),3.144,3.517,3.896,3.757,U.S Dollar,US Gallon,2023-06-02
Arkansas,AR,Hot Springs,3.095,3.474,3.785,3.74,U.S Dollar,US Gallon,2023-06-02
Arkansas,AR,Jonesboro,3.011,3.363,3.722,3.721,U.S Dollar,US Gallon,2023-06-02
Arkansas,AR,Little Rock-North Little Rock,3.067,3.451,3.824,3.695,U.S Dollar,US Gallon,2023-06-02
Arkansas,AR,Pine Bluff,3.108,3.519,3.955,3.658,U.S Dollar,US Gallon,2023-06-02
Arkansas,AR,Texarkana (AR only),3.189,3.544,3.945,3.602,U.S Dollar,US Gallon,2023-06-02
Arkansas,AR,West Memphis,3.128,3.518,3.874,3.393,U.S Dollar,US Gallon,2023-06-02
Arizona,AZ,East Valley,4.794,5.11,5.392,4.401,U.S Dollar,US Gallon,2023-06-02
Arizona,AZ,Flagstaff,4.213,4.396,4.699,4.574,U.S Dollar,US Gallon,2023-06-02
Arizona,AZ,Glendale,4.745,5.079,5.355,4.375,U.S Dollar,US Gallon,2023-06-02
Arizona,AZ,Lake Havasu-Kingman,4.057,4.157,4.455,4.576,U.S Dollar,US Gallon,2023-06-02
Arizona,AZ,Peoria,4.801,5.12,5.39,4.436,U.S Dollar,US Gallon,2023-06-02
Arizona,AZ,Phoenix Proper,4.77,5.105,5.364,4.405,U.S Dollar,US Gallon,2023-06-02
Arizona,AZ,Phoenix-Mesa,4.751,5.076,5.348,4.41,U.S Dollar,US Gallon,2023-06-02
Arizona,AZ,Pima County,4.328,4.651,4.908,4.385,U.S Dollar,US Gallon,2023-06-02
Arizona,AZ,Prescott,4.153,4.476,4.756,4.575,U.S Dollar,US Gallon,2023-06-02
Arizona,AZ,Scottsdale,4.966,5.28,5.555,4.575,U.S Dollar,US Gallon,2023-06-02
Arizona,AZ,Sierra Vista-Douglas,3.723,3.851,4.21,4.298,U.S Dollar,US Gallon,2023-06-02
Arizona,AZ,Tucson,4.315,4.639,4.896,4.384,U.S Dollar,US Gallon,2023-06-02
Arizona,AZ,West Valley,4.766,5.091,5.369,4.393,U.S Dollar,US Gallon,2023-06-02
Arizona,AZ,Yuma,3.908,4.265,4.497,4.522,U.S Dollar,US Gallon,2023-06-02
California,CA,Bakersfield,4.868,5.068,5.245,5.387,U.S Dollar,US Gallon,2023-06-02
California,CA,Chico-Paradise,4.613,4.746,4.954,4.684,U.S Dollar,US Gallon,2023-06-02
California,CA,El Centro,4.729,4.972,5.143,5.019,U.S Dollar,US Gallon,2023-06-02
California,CA,Fresno,4.758,4.992,5.17,5.224,U.S Dollar,US Gallon,2023-06-02
California,CA,Hanford-Corcoran,4.813,4.805,5.001,5.162,U.S Dollar,US Gallon,2023-06-02
California,CA,Los Angeles-Long Beach,4.948,5.158,5.285,5.14,U.S Dollar,US Gallon,2023-06-02
California,CA,Madera-Chowchilla,4.738,4.996,5.178,5.148,U.S Dollar,US Gallon,2023-06-02
