State-Name,State-Abbreviation,Metro-Name,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,Anchorage,3.733,3.985,4.181,4.329,U.S Dollar,US Gallon,2023-02-25
Alaska,AK,Fairbanks,3.761,3.934,4.086,4.865,U.S Dollar,US Gallon,2023-02-25
Alaska,AK,Juneau,4.466,4.481,4.704,4.731,U.S Dollar,US Gallon,2023-02-25
Alabama,AL,Anniston-Oxford,2.953,3.284,3.645,4.153,U.S Dollar,US Gallon,2023-02-25
Alabama,AL,Auburn,3.014,3.342,3.763,4.172,U.S Dollar,US Gallon,2023-02-25
Alabama,AL,Birmingham,2.991,3.384,3.766,4.235,U.S Dollar,US Gallon,2023-02-25
Alabama,AL,Daphne-Fairhope-Foley,3.11,3.486,3.896,4.194,U.S Dollar,US Gallon,2023-02-25
Alabama,AL,Decatur,2.982,3.342,3.709,4.209,U.S Dollar,US Gallon,2023-02-25
Alabama,AL,Dothan,3.029,3.393,3.757,4.236,U.S Dollar,US Gallon,2023-02-25
Alabama,AL,Florence-Muscle Shoals,2.989,3.371,3.76,4.157,U.S Dollar,US Gallon,2023-02-25
Alabama,AL,Gadsden,2.899,3.283,3.625,4.208,U.S Dollar,US Gallon,2023-02-25
Alabama,AL,Huntsville,3.048,3.392,3.78,4.224,U.S Dollar,US Gallon,2023-02-25
Alabama,AL,Mobile,3.104,3.532,3.909,4.277,U.S Dollar,US Gallon,2023-02-25
Alabama,AL,Montgomery,3.052,3.475,3.856,4.313,U.S Dollar,US Gallon,2023-02-25
Alabama,AL,Russell County,2.99,3.455,3.737,4.192,U.S Dollar,US Gallon,2023-02-25
Alabama,AL,Tuscaloosa,2.987,3.395,3.796,4.095,U.S Dollar,US Gallon,2023-02-25
Arkansas,AR,Fayetteville-Springdale-Rogers,3.017,3.362,3.658,3.878,U.S Dollar,US Gallon,2023-02-25
Arkansas,AR,Fort Smith (AR only),3.068,3.409,3.731,3.999,U.S Dollar,US Gallon,2023-02-25
Arkansas,AR,Hot Springs,2.917,3.255,3.619,3.935,U.S Dollar,US Gallon,2023-02-25
Arkansas,AR,Jonesboro,2.943,3.35,3.656,4.092,U.S Dollar,US Gallon,2023-02-25
Arkansas,AR,Little Rock-North Little Rock,3.002,3.363,3.7,3.979,U.S Dollar,US Gallon,2023-02-25
Arkansas,AR,Pine Bluff,3.078,3.463,3.845,4.102,U.S Dollar,US Gallon,2023-02-25
Arkansas,AR,Texarkana (AR only),2.998,3.345,3.703,4.12,U.S Dollar,US Gallon,2023-02-25
Arkansas,AR,West Memphis,3.039,3.394,3.809,4.184,U.S Dollar,US Gallon,2023-02-25
Arizona,AZ,East Valley,3.687,3.962,4.28,4.399,U.S Dollar,US Gallon,2023-02-25
Arizona,AZ,Flagstaff,3.609,3.809,4.088,4.574,U.S Dollar,US Gallon,2023-02-25
Arizona,AZ,Glendale,3.652,3.941,4.228,4.312,U.S Dollar,US Gallon,2023-02-25
Arizona,AZ,Lake Havasu-Kingman,3.708,3.833,4.079,4.673,U.S Dollar,US Gallon,2023-02-25
Arizona,AZ,Peoria,3.652,3.939,4.195,4.5,U.S Dollar,US Gallon,2023-02-25
Arizona,AZ,Phoenix Proper,3.653,3.923,4.223,4.379,U.S Dollar,US Gallon,2023-02-25
Arizona,AZ,Phoenix-Mesa,3.667,3.945,4.243,4.419,U.S Dollar,US Gallon,2023-02-25
Arizona,AZ,Pima County,3.233,3.498,3.784,4.329,U.S Dollar,US Gallon,2023-02-25
Arizona,AZ,Prescott,3.504,3.726,4.016,4.587,U.S Dollar,US Gallon,2023-02-25
Arizona,AZ,Scottsdale,3.79,4.079,4.368,4.599,U.S Dollar,US Gallon,2023-02-25
Arizona,AZ,Sierra Vista-Douglas,3.265,3.478,3.768,4.485,U.S Dollar,US Gallon,2023-02-25
Arizona,AZ,Tucson,3.229,3.504,3.785,4.327,U.S Dollar,US Gallon,2023-02-25
Arizona,AZ,West Valley,3.649,3.941,4.22,4.381,U.S Dollar,US Gallon,2023-02-25
Arizona,AZ,Yuma,3.404,3.738,3.984,4.592,U.S Dollar,US Gallon,2023-02-25
California,CA,Bakersfield,4.753,4.945,5.135,5.854,U.S Dollar,US Gallon,2023-02-25
California,CA,Chico-Paradise,4.439,4.686,4.805,5.287,U.S Dollar,US Gallon,2023-02-25
California,CA,El Centro,4.673,4.865,5.087,5.691,U.S Dollar,US Gallon,2023-02-25
California,CA,Fresno,4.645,4.838,5.026,5.654,U.S Dollar,US Gallon,2023-02-25
California,CA,Hanford-Corcoran,4.74,4.718,4.881,5.56,U.S Dollar,US Gallon,2023-02-25
California,CA,Los Angeles-Long Beach,4.839,5.036,5.164,5.711,U.S Dollar,US Gallon,2023-02-25
California,CA,Madera-Chowchilla,4.629,4.85,5.1,5.468,U.S Dollar,US Gallon,2023-02-25
California,CA,Merced,4.557,4.774,4.978,5.537,U.S Dollar,US Gallon,2023-02-25
California,CA,Modesto,4.487,4.735,4.931,5.652,U.S Dollar,US Gallon,2023-02-25
California,CA,Napa,4.956,5.118,5.263,5.848,U.S Dollar,US Gallon,2023-02-25
California,CA,Oakland,4.739,4.945,5.087,5.736,U.S Dollar,US Gallon,2023-02-25
California,CA,Orange County,4.807,5.008,5.123,5.541,U.S Dollar,US Gallon,2023-02-25
California,CA,Redding,4.553,4.638,4.801,5.39,U.S Dollar,US Gallon,2023-02-25
California,CA,Riverside,4.741,4.944,5.093,5.538,U.S Dollar,US Gallon,2023-02-25
California,CA,Sacramento,4.642,4.864,5.023,5.535,U.S Dollar,US Gallon,2023-02-25
California,CA,Salinas,4.781,4.997,5.187,5.873,U.S Dollar,US Gallon,2023-02-25
California,CA,San Bernardino,4.762,4.939,5.092,5.586,U.S Dollar,US Gallon,2023-02-25
California,CA,San Diego,4.842,5.051,5.203,5.574,U.S Dollar,US Gallon,2023-02-25
California,CA,San Francisco,4.872,5.052,5.218,5.781,U.S Dollar,US Gallon,2023-02-25
California,CA,San Jose,4.748,4.956,5.09,5.721,U.S Dollar,US Gallon,2023-02-25
California,CA,San Luis Obispo-Atascadero-Paso Robles,5.028,5.191,5.363,5.999,U.S Dollar,US Gallon,2023-02-25
California,CA,San Rafael,4.843,5.042,5.201,5.61,U.S Dollar,US Gallon,2023-02-25
California,CA,Santa Barbara-Santa Maria-Lompoc,4.778,4.923,5.076,5.755,U.S Dollar,US Gallon,2023-02-25
California,CA,Santa Cruz-Watsonville,4.691,4.912,5.063,5.791,U.S Dollar,US Gallon,2023-02-25
California,CA,Santa Rosa,4.858,5.073,5.227,5.688,U.S Dollar,US Gallon,2023-02-25
California,CA,Stockton-Lodi,4.565,4.817,4.961,5.601,U.S Dollar,US Gallon,2023-02-25
California,CA,Vallejo-Fairfield,4.661,4.897,5.032,5.519,U.S Dollar,US Gallon,2023-02-25
California,CA,Ventura,4.841,5.027,5.157,5.831,U.S Dollar,US Gallon,2023-02-25
California,CA,Visalia-Tulare-Porterville,4.652,4.865,5.043,5.659,U.S Dollar,US Gallon,2023-02-25
California,CA,Yolo,4.622,4.828,5.026,5.404,U.S Dollar,US Gallon,2023-02-25
California,CA,Yuba City,4.4,4.611,4.789,5.339,U.S Dollar,US Gallon,2023-02-25
Colorado,CO,Boulder-Longmont,4.086,4.462,4.766,4.723,U.S Dollar,US Gallon,2023-02-25
Colorado,CO,Colorado Springs,4.108,4.484,4.772,4.784,U.S Dollar,US Gallon,2023-02-25
Colorado,CO,Denver,4.067,4.45,4.757,4.751,U.S Dollar,US Gallon,2023-02-25
Colorado,CO,Durango,3.459,3.693,3.939,4.573,U.S Dollar,US Gallon,2023-02-25
Colorado,CO,Fort Collins-Loveland,4.117,4.458,4.775,4.791,U.S Dollar,US Gallon,2023-02-25
Colorado,CO,Glenwood Springs,4.413,4.78,4.98,5.266,U.S Dollar,US Gallon,2023-02-25
