State-Name,State-Abbreviation,Metro-Name,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,Juneau,3.902,3.752,3.842,4.161,U.S Dollar,US Gallon,2024-01-05
Alaska,AK,Fairbanks,3.58,3.752,3.947,4.039,U.S Dollar,US Gallon,2024-01-05
Alaska,AK,Anchorage,3.581,3.863,4.072,3.919,U.S Dollar,US Gallon,2024-01-05
Alabama,AL,Birmingham,2.79,3.229,3.618,3.773,U.S Dollar,US Gallon,2024-01-05
Alabama,AL,Huntsville,2.788,3.175,3.569,3.765,U.S Dollar,US Gallon,2024-01-05
Alabama,AL,Mobile,2.794,3.256,3.649,3.651,U.S Dollar,US Gallon,2024-01-05
Alabama,AL,Montgomery,2.818,3.262,3.669,3.79,U.S Dollar,US Gallon,2024-01-05
Alabama,AL,Tuscaloosa,2.772,3.197,3.591,3.719,U.S Dollar,US Gallon,2024-01-05
Alabama,AL,Anniston-Oxford,2.763,3.124,3.494,3.746,U.S Dollar,US Gallon,2024-01-05
Alabama,AL,Auburn,2.789,3.136,3.497,3.679,U.S Dollar,US Gallon,2024-01-05
Alabama,AL,Daphne-Fairhope-Foley,2.793,3.188,3.574,3.615,U.S Dollar,US Gallon,2024-01-05
Alabama,AL,Decatur,2.728,3.123,3.516,3.715,U.S Dollar,US Gallon,2024-01-05
Alabama,AL,Dothan,2.812,3.207,3.577,3.825,U.S Dollar,US Gallon,2024-01-05
Alabama,AL,Florence-Muscle Shoals,2.734,3.118,3.517,3.727,U.S Dollar,US Gallon,2024-01-05
Alabama,AL,Gadsden,2.722,3.112,3.519,3.703,U.S Dollar,US Gallon,2024-01-05
Alabama,AL,Russell County,2.817,3.267,3.581,3.899,U.S Dollar,US Gallon,2024-01-05
Arkansas,AR,Fayetteville-Springdale-Rogers,2.55,2.901,3.22,3.422,U.S Dollar,US Gallon,2024-01-05
Arkansas,AR,Little Rock-North Little Rock,2.629,3.043,3.439,3.617,U.S Dollar,US Gallon,2024-01-05
Arkansas,AR,Pine Bluff,2.758,3.23,3.607,3.641,U.S Dollar,US Gallon,2024-01-05
Arkansas,AR,Fort Smith (AR only),2.578,2.986,3.301,3.69,U.S Dollar,US Gallon,2024-01-05
Arkansas,AR,Texarkana (AR only),2.702,3.074,3.425,3.592,U.S Dollar,US Gallon,2024-01-05
Arkansas,AR,Hot Springs,2.642,3.072,3.444,3.706,U.S Dollar,US Gallon,2024-01-05
Arkansas,AR,Jonesboro,2.634,3.042,3.37,3.694,U.S Dollar,US Gallon,2024-01-05
Arkansas,AR,West Memphis,2.752,3.073,3.557,3.442,U.S Dollar,US Gallon,2024-01-05
Arizona,AZ,Flagstaff,3.319,3.543,3.861,4.174,U.S Dollar,US Gallon,2024-01-05
Arizona,AZ,Phoenix-Mesa,3.343,3.69,3.97,3.944,U.S Dollar,US Gallon,2024-01-05
Arizona,AZ,Pima County,3.169,3.507,3.79,3.911,U.S Dollar,US Gallon,2024-01-05
Arizona,AZ,Yuma,3.376,3.81,3.998,4.411,U.S Dollar,US Gallon,2024-01-05
Arizona,AZ,Phoenix Proper,3.317,3.676,3.932,3.942,U.S Dollar,US Gallon,2024-01-05
Arizona,AZ,East Valley,3.349,3.689,3.978,3.924,U.S Dollar,US Gallon,2024-01-05
Arizona,AZ,West Valley,3.367,3.739,4.037,3.915,U.S Dollar,US Gallon,2024-01-05
Arizona,AZ,Scottsdale,3.47,3.804,4.061,4.189,U.S Dollar,US Gallon,2024-01-05
Arizona,AZ,Tucson,3.168,3.502,3.787,3.903,U.S Dollar,US Gallon,2024-01-05
Arizona,AZ,Glendale,3.353,3.675,3.996,3.912,U.S Dollar,US Gallon,2024-01-05
Arizona,AZ,Peoria,3.415,3.832,4.136,3.935,U.S Dollar,US Gallon,2024-01-05
Arizona,AZ,Prescott,3.292,3.604,3.889,4.019,U.S Dollar,US Gallon,2024-01-05
