State-Name,State-Abbreviation,Metro-Name,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,Anchorage,4.548,4.805,4.996,5.001,U.S Dollar,US Gallon,2022-09-19
Alaska,AK,Fairbanks,4.421,4.625,4.808,5.577,U.S Dollar,US Gallon,2022-09-19
Alaska,AK,Juneau,5.112,5.029,5.135,5.447,U.S Dollar,US Gallon,2022-09-19
Alabama,AL,Anniston-Oxford,3.167,3.488,3.792,4.695,U.S Dollar,US Gallon,2022-09-19
Alabama,AL,Auburn,3.275,3.604,3.983,4.734,U.S Dollar,US Gallon,2022-09-19
Alabama,AL,Birmingham,3.232,3.607,3.998,4.737,U.S Dollar,US Gallon,2022-09-19
Alabama,AL,Daphne-Fairhope-Foley,3.276,3.694,4.072,4.667,U.S Dollar,US Gallon,2022-09-19
Alabama,AL,Decatur,3.17,3.531,3.922,4.661,U.S Dollar,US Gallon,2022-09-19
Alabama,AL,Dothan,3.271,3.594,3.988,4.68,U.S Dollar,US Gallon,2022-09-19
Alabama,AL,Florence-Muscle Shoals,3.207,3.627,4.028,4.681,U.S Dollar,US Gallon,2022-09-19
Alabama,AL,Gadsden,3.124,3.464,3.893,4.685,U.S Dollar,US Gallon,2022-09-19
Alabama,AL,Huntsville,3.241,3.584,3.952,4.614,U.S Dollar,US Gallon,2022-09-19
Alabama,AL,Mobile,3.215,3.669,4.039,4.694,U.S Dollar,US Gallon,2022-09-19
Alabama,AL,Montgomery,3.26,3.66,4.037,4.715,U.S Dollar,US Gallon,2022-09-19
Alabama,AL,Russell County,3.308,3.708,4.154,4.777,U.S Dollar,US Gallon,2022-09-19
Alabama,AL,Tuscaloosa,3.221,3.56,3.961,4.644,U.S Dollar,US Gallon,2022-09-19
Arkansas,AR,Fayetteville-Springdale-Rogers,3.374,3.737,3.999,4.664,U.S Dollar,US Gallon,2022-09-19
Arkansas,AR,Fort Smith (AR only),3.307,3.624,3.957,4.641,U.S Dollar,US Gallon,2022-09-19
Arkansas,AR,Hot Springs,3.014,3.412,3.718,4.602,U.S Dollar,US Gallon,2022-09-19
Arkansas,AR,Jonesboro,3.135,3.498,3.828,4.743,U.S Dollar,US Gallon,2022-09-19
Arkansas,AR,Little Rock-North Little Rock,3.081,3.442,3.743,4.59,U.S Dollar,US Gallon,2022-09-19
Arkansas,AR,Pine Bluff,3.146,3.594,3.935,4.71,U.S Dollar,US Gallon,2022-09-19
Arkansas,AR,Texarkana (AR only),3.146,3.481,3.827,4.705,U.S Dollar,US Gallon,2022-09-19
Arkansas,AR,West Memphis,3.171,3.497,3.893,4.685,U.S Dollar,US Gallon,2022-09-19
Arizona,AZ,East Valley,4.097,4.39,4.639,4.907,U.S Dollar,US Gallon,2022-09-19
Arizona,AZ,Flagstaff,4.09,4.264,4.584,4.973,U.S Dollar,US Gallon,2022-09-19
Arizona,AZ,Glendale,4.1,4.338,4.61,4.837,U.S Dollar,US Gallon,2022-09-19
Arizona,AZ,Lake Havasu-Kingman,4.173,4.26,4.567,4.994,U.S Dollar,US Gallon,2022-09-19
Arizona,AZ,Peoria,4.054,4.373,4.615,4.955,U.S Dollar,US Gallon,2022-09-19
Arizona,AZ,Phoenix Proper,4.07,4.338,4.622,4.928,U.S Dollar,US Gallon,2022-09-19
Arizona,AZ,Phoenix-Mesa,4.095,4.384,4.648,4.922,U.S Dollar,US Gallon,2022-09-19
Arizona,AZ,Pima County,3.463,3.736,3.998,4.894,U.S Dollar,US Gallon,2022-09-19
Arizona,AZ,Prescott,3.986,4.224,4.555,5.024,U.S Dollar,US Gallon,2022-09-19
Arizona,AZ,Scottsdale,4.213,4.511,4.799,4.91,U.S Dollar,US Gallon,2022-09-19
Arizona,AZ,Sierra Vista-Douglas,3.814,4.101,4.392,5.01,U.S Dollar,US Gallon,2022-09-19
Arizona,AZ,Tucson,3.469,3.746,4.016,4.898,U.S Dollar,US Gallon,2022-09-19
Arizona,AZ,West Valley,4.079,4.348,4.615,4.882,U.S Dollar,US Gallon,2022-09-19
Arizona,AZ,Yuma,3.776,4.126,4.343,4.903,U.S Dollar,US Gallon,2022-09-19
California,CA,Bakersfield,5.431,5.618,5.857,6.437,U.S Dollar,US Gallon,2022-09-19
California,CA,Chico-Paradise,5.256,5.431,5.58,6.06,U.S Dollar,US Gallon,2022-09-19
California,CA,El Centro,5.129,5.293,5.483,6.245,U.S Dollar,US Gallon,2022-09-19
California,CA,Fresno,5.397,5.59,5.779,6.285,U.S Dollar,US Gallon,2022-09-19
California,CA,Hanford-Corcoran,5.403,5.662,5.803,6.205,U.S Dollar,US Gallon,2022-09-19
California,CA,Los Angeles-Long Beach,5.434,5.629,5.767,6.284,U.S Dollar,US Gallon,2022-09-19
California,CA,Madera-Chowchilla,5.434,5.565,5.772,6.155,U.S Dollar,US Gallon,2022-09-19
California,CA,Merced,5.453,5.605,5.846,6.359,U.S Dollar,US Gallon,2022-09-19
California,CA,Modesto,5.329,5.531,5.715,6.321,U.S Dollar,US Gallon,2022-09-19
California,CA,Napa,5.693,5.803,5.953,6.433,U.S Dollar,US Gallon,2022-09-19
California,CA,Oakland,5.569,5.756,5.915,6.408,U.S Dollar,US Gallon,2022-09-19
California,CA,Orange County,5.389,5.611,5.728,6.154,U.S Dollar,US Gallon,2022-09-19
California,CA,Redding,5.489,5.637,5.779,6.23,U.S Dollar,US Gallon,2022-09-19
California,CA,Riverside,5.309,5.515,5.662,6.186,U.S Dollar,US Gallon,2022-09-19
California,CA,Sacramento,5.422,5.638,5.778,6.258,U.S Dollar,US Gallon,2022-09-19
