State-Name,State-Abbreviation,Metro-Name,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,Anchorage,3.664,3.884,4.089,3.529,U.S Dollar,US Gallon,2021-12-20
Alaska,AK,Fairbanks,3.79,3.971,4.095,3.615,U.S Dollar,US Gallon,2021-12-20
Alaska,AK,Juneau,3.547,3.662,3.752,3.366,U.S Dollar,US Gallon,2021-12-20
Alabama,AL,Anniston-Oxford,2.924,3.249,3.549,3.362,U.S Dollar,US Gallon,2021-12-20
Alabama,AL,Auburn,3.029,3.362,3.666,3.373,U.S Dollar,US Gallon,2021-12-20
Alabama,AL,Birmingham,3.011,3.357,3.693,3.396,U.S Dollar,US Gallon,2021-12-20
Alabama,AL,Daphne-Fairhope-Foley,3.03,3.386,3.723,3.301,U.S Dollar,US Gallon,2021-12-20
Alabama,AL,Decatur,2.937,3.256,3.577,3.344,U.S Dollar,US Gallon,2021-12-20
Alabama,AL,Dothan,3.022,3.394,3.688,3.435,U.S Dollar,US Gallon,2021-12-20
Alabama,AL,Florence-Muscle Shoals,2.942,3.274,3.618,3.311,U.S Dollar,US Gallon,2021-12-20
Alabama,AL,Gadsden,2.868,3.177,3.523,3.327,U.S Dollar,US Gallon,2021-12-20
Alabama,AL,Huntsville,3.002,3.347,3.654,3.349,U.S Dollar,US Gallon,2021-12-20
Alabama,AL,Mobile,3.049,3.422,3.751,3.378,U.S Dollar,US Gallon,2021-12-20
Alabama,AL,Montgomery,3.061,3.45,3.81,3.394,U.S Dollar,US Gallon,2021-12-20
Alabama,AL,Russell County,2.991,3.339,3.635,3.457,U.S Dollar,US Gallon,2021-12-20
Alabama,AL,Tuscaloosa,2.98,3.324,3.641,3.321,U.S Dollar,US Gallon,2021-12-20
Arkansas,AR,Fayetteville-Springdale-Rogers,2.826,3.148,3.408,3.186,U.S Dollar,US Gallon,2021-12-20
Arkansas,AR,Fort Smith (AR only),2.926,3.257,3.479,3.361,U.S Dollar,US Gallon,2021-12-20
Arkansas,AR,Hot Springs,2.934,3.269,3.564,3.245,U.S Dollar,US Gallon,2021-12-20
Arkansas,AR,Jonesboro,2.868,3.233,3.471,3.405,U.S Dollar,US Gallon,2021-12-20
Arkansas,AR,Little Rock-North Little Rock,2.889,3.202,3.511,3.299,U.S Dollar,US Gallon,2021-12-20
Arkansas,AR,Pine Bluff,2.918,3.263,3.529,3.432,U.S Dollar,US Gallon,2021-12-20
Arkansas,AR,Texarkana (AR only),3.06,3.329,3.64,3.361,U.S Dollar,US Gallon,2021-12-20
Arkansas,AR,West Memphis,3.017,3.391,3.823,3.49,U.S Dollar,US Gallon,2021-12-20
Arizona,AZ,East Valley,3.777,4.099,4.362,3.966,U.S Dollar,US Gallon,2021-12-20
Arizona,AZ,Flagstaff,3.888,4.057,4.274,4.081,U.S Dollar,US Gallon,2021-12-20
Arizona,AZ,Glendale,3.761,4.071,4.346,3.998,U.S Dollar,US Gallon,2021-12-20
Arizona,AZ,Lake Havasu-Kingman,3.563,3.733,4.046,3.987,U.S Dollar,US Gallon,2021-12-20
Arizona,AZ,Peoria,3.802,4.111,4.361,4.013,U.S Dollar,US Gallon,2021-12-20
Arizona,AZ,Phoenix Proper,3.733,4.048,4.311,3.975,U.S Dollar,US Gallon,2021-12-20
Arizona,AZ,Phoenix-Mesa,3.768,4.086,4.347,3.987,U.S Dollar,US Gallon,2021-12-20
Arizona,AZ,Pima County,3.517,3.782,4.012,3.908,U.S Dollar,US Gallon,2021-12-20
Arizona,AZ,Prescott,3.639,3.855,4.094,4.008,U.S Dollar,US Gallon,2021-12-20
Arizona,AZ,Scottsdale,3.859,4.165,4.442,4.014,U.S Dollar,US Gallon,2021-12-20
Arizona,AZ,Sierra Vista-Douglas,3.567,3.803,4.089,3.803,U.S Dollar,US Gallon,2021-12-20
Arizona,AZ,Tucson,3.516,3.782,4.012,3.895,U.S Dollar,US Gallon,2021-12-20
Arizona,AZ,West Valley,3.779,4.09,4.35,4.003,U.S Dollar,US Gallon,2021-12-20
Arizona,AZ,Yuma,3.723,3.994,4.226,4.048,U.S Dollar,US Gallon,2021-12-20
California,CA,Bakersfield,4.632,4.805,4.972,4.78,U.S Dollar,US Gallon,2021-12-20
California,CA,Chico-Paradise,4.502,4.624,4.775,4.657,U.S Dollar,US Gallon,2021-12-20
California,CA,El Centro,4.517,4.713,4.826,4.769,U.S Dollar,US Gallon,2021-12-20
California,CA,Fresno,4.562,4.748,4.883,4.764,U.S Dollar,US Gallon,2021-12-20
California,CA,Hanford-Corcoran,4.411,4.538,4.751,4.675,U.S Dollar,US Gallon,2021-12-20
California,CA,Los Angeles-Long Beach,4.679,4.865,4.976,4.79,U.S Dollar,US Gallon,2021-12-20
California,CA,Madera-Chowchilla,4.537,4.776,4.893,4.773,U.S Dollar,US Gallon,2021-12-20
California,CA,Merced,4.603,4.78,4.953,4.791,U.S Dollar,US Gallon,2021-12-20
California,CA,Modesto,4.533,4.736,4.899,4.759,U.S Dollar,US Gallon,2021-12-20
California,CA,Napa,4.884,4.99,5.15,4.92,U.S Dollar,US Gallon,2021-12-20
California,CA,Oakland,4.747,4.932,5.067,4.869,U.S Dollar,US Gallon,2021-12-20
California,CA,Orange County,4.644,4.845,4.945,4.721,U.S Dollar,US Gallon,2021-12-20
California,CA,Redding,4.633,4.788,4.896,4.755,U.S Dollar,US Gallon,2021-12-20
