State-Name,State-Abbreviation,Metro-Name,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,Anchorage,4.838,5.102,5.322,5.235,U.S Dollar,US Gallon,2022-08-14
Alaska,AK,Fairbanks,4.65,4.807,4.982,5.763,U.S Dollar,US Gallon,2022-08-14
Alaska,AK,Juneau,5.215,5.192,5.266,5.747,U.S Dollar,US Gallon,2022-08-14
Alabama,AL,Anniston-Oxford,3.513,3.839,4.231,4.771,U.S Dollar,US Gallon,2022-08-14
Alabama,AL,Auburn,3.454,3.753,4.122,4.792,U.S Dollar,US Gallon,2022-08-14
Alabama,AL,Birmingham,3.543,3.955,4.35,4.77,U.S Dollar,US Gallon,2022-08-14
Alabama,AL,Daphne-Fairhope-Foley,3.631,4.064,4.447,4.808,U.S Dollar,US Gallon,2022-08-14
Alabama,AL,Decatur,3.525,3.954,4.278,4.786,U.S Dollar,US Gallon,2022-08-14
Alabama,AL,Dothan,3.499,3.867,4.253,4.71,U.S Dollar,US Gallon,2022-08-14
Alabama,AL,Florence-Muscle Shoals,3.524,3.97,4.309,4.692,U.S Dollar,US Gallon,2022-08-14
Alabama,AL,Gadsden,3.499,3.851,4.27,4.831,U.S Dollar,US Gallon,2022-08-14
Alabama,AL,Huntsville,3.598,3.987,4.323,4.795,U.S Dollar,US Gallon,2022-08-14
Alabama,AL,Mobile,3.614,4.14,4.512,4.862,U.S Dollar,US Gallon,2022-08-14
Alabama,AL,Montgomery,3.555,4.013,4.398,4.79,U.S Dollar,US Gallon,2022-08-14
Alabama,AL,Russell County,3.434,3.867,4.14,4.8,U.S Dollar,US Gallon,2022-08-14
Alabama,AL,Tuscaloosa,3.463,3.819,4.215,4.668,U.S Dollar,US Gallon,2022-08-14
Arkansas,AR,Fayetteville-Springdale-Rogers,3.401,3.806,4.104,4.648,U.S Dollar,US Gallon,2022-08-14
Arkansas,AR,Fort Smith (AR only),3.524,3.897,4.225,4.62,U.S Dollar,US Gallon,2022-08-14
Arkansas,AR,Hot Springs,3.553,3.917,4.286,4.83,U.S Dollar,US Gallon,2022-08-14
Arkansas,AR,Jonesboro,3.302,3.6,3.939,4.752,U.S Dollar,US Gallon,2022-08-14
Arkansas,AR,Little Rock-North Little Rock,3.44,3.797,4.1,4.632,U.S Dollar,US Gallon,2022-08-14
Arkansas,AR,Pine Bluff,3.65,4.036,4.438,4.649,U.S Dollar,US Gallon,2022-08-14
Arkansas,AR,Texarkana (AR only),3.418,3.799,4.161,4.653,U.S Dollar,US Gallon,2022-08-14
Arkansas,AR,West Memphis,3.515,3.868,4.348,4.727,U.S Dollar,US Gallon,2022-08-14
Arizona,AZ,East Valley,4.072,4.431,4.684,4.918,U.S Dollar,US Gallon,2022-08-14
Arizona,AZ,Flagstaff,4.416,4.675,4.839,5.15,U.S Dollar,US Gallon,2022-08-14
Arizona,AZ,Glendale,4.03,4.343,4.579,4.901,U.S Dollar,US Gallon,2022-08-14
Arizona,AZ,Lake Havasu-Kingman,4.459,4.591,4.898,5.025,U.S Dollar,US Gallon,2022-08-14
Arizona,AZ,Peoria,4.169,4.553,4.793,4.997,U.S Dollar,US Gallon,2022-08-14
Arizona,AZ,Phoenix Proper,4.045,4.387,4.675,4.92,U.S Dollar,US Gallon,2022-08-14
Arizona,AZ,Phoenix-Mesa,4.096,4.438,4.706,4.941,U.S Dollar,US Gallon,2022-08-14
Arizona,AZ,Pima County,3.865,4.19,4.431,4.942,U.S Dollar,US Gallon,2022-08-14
Arizona,AZ,Prescott,4.34,4.651,4.882,5.144,U.S Dollar,US Gallon,2022-08-14
Arizona,AZ,Scottsdale,4.277,4.614,4.883,4.98,U.S Dollar,US Gallon,2022-08-14
Arizona,AZ,Sierra Vista-Douglas,4.16,4.493,4.752,5.024,U.S Dollar,US Gallon,2022-08-14
Arizona,AZ,Tucson,3.877,4.207,4.448,4.943,U.S Dollar,US Gallon,2022-08-14
Arizona,AZ,West Valley,4.083,4.418,4.661,4.942,U.S Dollar,US Gallon,2022-08-14
Arizona,AZ,Yuma,4.114,4.421,4.676,5.033,U.S Dollar,US Gallon,2022-08-14
California,CA,Bakersfield,5.516,5.731,5.91,6.377,U.S Dollar,US Gallon,2022-08-14
California,CA,Chico-Paradise,5.216,5.461,5.568,5.999,U.S Dollar,US Gallon,2022-08-14
California,CA,El Centro,5.082,5.292,5.495,6.17,U.S Dollar,US Gallon,2022-08-14
California,CA,Fresno,5.36,5.564,5.729,6.271,U.S Dollar,US Gallon,2022-08-14
California,CA,Hanford-Corcoran,5.345,5.539,5.678,6.107,U.S Dollar,US Gallon,2022-08-14
California,CA,Los Angeles-Long Beach,5.397,5.606,5.727,6.244,U.S Dollar,US Gallon,2022-08-14
California,CA,Madera-Chowchilla,5.215,5.512,5.707,6.039,U.S Dollar,US Gallon,2022-08-14
California,CA,Merced,5.219,5.444,5.631,6.332,U.S Dollar,US Gallon,2022-08-14
California,CA,Modesto,5.159,5.395,5.571,6.271,U.S Dollar,US Gallon,2022-08-14
California,CA,Napa,5.551,5.715,5.852,6.394,U.S Dollar,US Gallon,2022-08-14
California,CA,Oakland,5.407,5.631,5.766,6.401,U.S Dollar,US Gallon,2022-08-14
California,CA,Orange County,5.284,5.506,5.611,6.066,U.S Dollar,US Gallon,2022-08-14
California,CA,Redding,5.379,5.547,5.692,6.12,U.S Dollar,US Gallon,2022-08-14
California,CA,Riverside,5.265,5.49,5.629,6.109,U.S Dollar,US Gallon,2022-08-14
California,CA,Sacramento,5.243,5.484,5.644,6.197,U.S Dollar,US Gallon,2022-08-14
California,CA,Salinas,5.55,5.739,5.968,6.548,U.S Dollar,US Gallon,2022-08-14
California,CA,San Bernardino,5.316,5.511,5.676,6.082,U.S Dollar,US Gallon,2022-08-14
California,CA,San Diego,5.358,5.569,5.705,6.075,U.S Dollar,US Gallon,2022-08-14
California,CA,San Francisco,5.537,5.729,5.884,6.441,U.S Dollar,US Gallon,2022-08-14
California,CA,San Jose,5.403,5.622,5.756,6.397,U.S Dollar,US Gallon,2022-08-14
California,CA,San Luis Obispo-Atascadero-Paso Robles,5.726,5.959,6.098,6.631,U.S Dollar,US Gallon,2022-08-14
California,CA,San Rafael,5.426,5.617,5.775,6.383,U.S Dollar,US Gallon,2022-08-14
California,CA,Santa Barbara-Santa Maria-Lompoc,5.527,5.721,5.834,6.345,U.S Dollar,US Gallon,2022-08-14
California,CA,Santa Cruz-Watsonville,5.551,5.793,5.952,6.52,U.S Dollar,US Gallon,2022-08-14
California,CA,Santa Rosa,5.495,5.702,5.852,6.407,U.S Dollar,US Gallon,2022-08-14
California,CA,Stockton-Lodi,5.262,5.492,5.638,6.234,U.S Dollar,US Gallon,2022-08-14
California,CA,Vallejo-Fairfield,5.298,5.535,5.663,6.231,U.S Dollar,US Gallon,2022-08-14
California,CA,Ventura,5.441,5.672,5.78,6.334,U.S Dollar,US Gallon,2022-08-14
California,CA,Visalia-Tulare-Porterville,5.34,5.53,5.752,6.303,U.S Dollar,US Gallon,2022-08-14
California,CA,Yolo,5.142,5.409,5.543,6.155,U.S Dollar,US Gallon,2022-08-14
California,CA,Yuba City,5.117,5.328,5.512,6.138,U.S Dollar,US Gallon,2022-08-14
Colorado,CO,Boulder-Longmont,3.967,4.344,4.674,4.897,U.S Dollar,US Gallon,2022-08-14
Colorado,CO,Colorado Springs,3.957,4.348,4.637,4.88,U.S Dollar,US Gallon,2022-08-14
Colorado,CO,Denver,3.969,4.371,4.679,4.842,U.S Dollar,US Gallon,2022-08-14
Colorado,CO,Durango,3.921,4.152,4.418,5.069,U.S Dollar,US Gallon,2022-08-14
Colorado,CO,Fort Collins-Loveland,4.006,4.348,4.669,4.999,U.S Dollar,US Gallon,2022-08-14
Colorado,CO,Glenwood Springs,4.219,4.617,4.68,4.974,U.S Dollar,US Gallon,2022-08-14
Colorado,CO,Grand Junction (CO only),4.131,4.427,4.695,4.927,U.S Dollar,US Gallon,2022-08-14
Colorado,CO,Greeley,3.796,4.181,4.445,4.73,U.S Dollar,US Gallon,2022-08-14
Colorado,CO,Pueblo,3.634,4.007,4.309,4.933,U.S Dollar,US Gallon,2022-08-14
Colorado,CO,Vail,4.223,4.489,4.816,4.939,U.S Dollar,US Gallon,2022-08-14
Connecticut,CT,Bridgeport,4.272,4.808,5.223,5.324,U.S Dollar,US Gallon,2022-08-14
Connecticut,CT,Hartford,4.068,4.611,4.952,5.246,U.S Dollar,US Gallon,2022-08-14
Connecticut,CT,Lower Fairfield County,4.268,4.79,5.205,5.305,U.S Dollar,US Gallon,2022-08-14
Connecticut,CT,New Haven-Meriden,4.112,4.652,4.991,5.218,U.S Dollar,US Gallon,2022-08-14
Connecticut,CT,New London-Norwich (CT only),4.089,4.59,4.952,5.169,U.S Dollar,US Gallon,2022-08-14
Connecticut,CT,Windham,4.101,4.599,4.956,5.168,U.S Dollar,US Gallon,2022-08-14
District of Columbia,DC,Washington (DC only),4.181,4.668,5.094,5.24,U.S Dollar,US Gallon,2022-08-14
District of Columbia,DC,Washington (Entire Metro Average),4.01,4.518,4.821,5.107,U.S Dollar,US Gallon,2022-08-14
Delaware,DE,Dover,3.867,4.256,4.6,4.814,U.S Dollar,US Gallon,2022-08-14
Delaware,DE,Milford-Seaford,3.862,4.224,4.526,4.826,U.S Dollar,US Gallon,2022-08-14
Delaware,DE,Wilmington-Newark (DE only),3.909,4.502,4.731,4.888,U.S Dollar,US Gallon,2022-08-14
Florida,FL,Bradenton-Sarasota-Venice,3.617,4.041,4.338,4.836,U.S Dollar,US Gallon,2022-08-14
Florida,FL,Crestview-Fort Walton Beach,3.481,3.889,4.236,4.861,U.S Dollar,US Gallon,2022-08-14
Florida,FL,Daytona Beach,3.617,4.02,4.38,4.872,U.S Dollar,US Gallon,2022-08-14
Florida,FL,Fort Lauderdale,3.718,4.197,4.526,4.88,U.S Dollar,US Gallon,2022-08-14
Florida,FL,Fort Myers-Cape Coral,3.682,4.116,4.415,4.811,U.S Dollar,US Gallon,2022-08-14
Florida,FL,Gainesville,3.692,4.108,4.462,4.909,U.S Dollar,US Gallon,2022-08-14
Florida,FL,Homosassa Springs,3.639,3.999,4.339,4.838,U.S Dollar,US Gallon,2022-08-14
Florida,FL,Jacksonville,3.634,4.04,4.391,4.815,U.S Dollar,US Gallon,2022-08-14
Florida,FL,Lakeland-Winter Haven,3.567,3.93,4.279,4.796,U.S Dollar,US Gallon,2022-08-14
Florida,FL,Melbourne-Titusville,3.548,3.981,4.321,4.863,U.S Dollar,US Gallon,2022-08-14
Florida,FL,Miami,3.767,4.281,4.557,4.836,U.S Dollar,US Gallon,2022-08-14
Florida,FL,Naples,3.815,4.223,4.547,4.85,U.S Dollar,US Gallon,2022-08-14
Florida,FL,Ocala,3.58,3.951,4.291,4.81,U.S Dollar,US Gallon,2022-08-14
