State-Name,State-Abbreviation,Metro-Name,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,Anchorage,3.887,4.107,4.316,3.996,U.S Dollar,US Gallon,2023-05-28
Alaska,AK,Fairbanks,3.95,4.196,4.36,4.639,U.S Dollar,US Gallon,2023-05-28
Alaska,AK,Juneau,3.963,4.062,4.156,4.219,U.S Dollar,US Gallon,2023-05-28
Alabama,AL,Anniston-Oxford,3.145,3.461,3.79,3.669,U.S Dollar,US Gallon,2023-05-28
Alabama,AL,Auburn,3.082,3.432,3.787,3.571,U.S Dollar,US Gallon,2023-05-28
Alabama,AL,Birmingham,3.162,3.538,3.919,3.779,U.S Dollar,US Gallon,2023-05-28
Alabama,AL,Daphne-Fairhope-Foley,3.205,3.591,3.978,3.622,U.S Dollar,US Gallon,2023-05-28
Alabama,AL,Decatur,3.108,3.476,3.865,3.639,U.S Dollar,US Gallon,2023-05-28
Alabama,AL,Dothan,3.168,3.573,3.95,3.651,U.S Dollar,US Gallon,2023-05-28
Alabama,AL,Florence-Muscle Shoals,3.196,3.567,3.932,3.707,U.S Dollar,US Gallon,2023-05-28
Alabama,AL,Gadsden,3.119,3.468,3.874,3.6,U.S Dollar,US Gallon,2023-05-28
Alabama,AL,Huntsville,3.175,3.507,3.868,3.753,U.S Dollar,US Gallon,2023-05-28
Alabama,AL,Mobile,3.156,3.588,3.921,3.732,U.S Dollar,US Gallon,2023-05-28
Alabama,AL,Montgomery,3.154,3.58,3.975,3.739,U.S Dollar,US Gallon,2023-05-28
Alabama,AL,Russell County,3.127,3.469,3.75,3.802,U.S Dollar,US Gallon,2023-05-28
Alabama,AL,Tuscaloosa,3.176,3.579,3.952,3.715,U.S Dollar,US Gallon,2023-05-28
Arkansas,AR,Fayetteville-Springdale-Rogers,3.253,3.584,3.903,3.669,U.S Dollar,US Gallon,2023-05-28
Arkansas,AR,Fort Smith (AR only),3.152,3.51,3.966,3.764,U.S Dollar,US Gallon,2023-05-28
Arkansas,AR,Hot Springs,3.119,3.482,3.903,3.72,U.S Dollar,US Gallon,2023-05-28
Arkansas,AR,Jonesboro,3.009,3.365,3.75,3.713,U.S Dollar,US Gallon,2023-05-28
Arkansas,AR,Little Rock-North Little Rock,3.086,3.464,3.829,3.716,U.S Dollar,US Gallon,2023-05-28
Arkansas,AR,Pine Bluff,3.1,3.497,3.952,3.535,U.S Dollar,US Gallon,2023-05-28
Arkansas,AR,Texarkana (AR only),3.207,3.576,3.992,3.645,U.S Dollar,US Gallon,2023-05-28
Arkansas,AR,West Memphis,3.11,3.419,3.912,3.466,U.S Dollar,US Gallon,2023-05-28
Arizona,AZ,East Valley,4.854,5.162,5.463,4.472,U.S Dollar,US Gallon,2023-05-28
Arizona,AZ,Flagstaff,4.292,4.465,4.747,4.614,U.S Dollar,US Gallon,2023-05-28
Arizona,AZ,Glendale,4.885,5.182,5.436,4.443,U.S Dollar,US Gallon,2023-05-28
Arizona,AZ,Lake Havasu-Kingman,4.092,4.161,4.522,4.598,U.S Dollar,US Gallon,2023-05-28
Arizona,AZ,Peoria,4.888,5.207,5.466,4.495,U.S Dollar,US Gallon,2023-05-28
Arizona,AZ,Phoenix Proper,4.862,5.175,5.463,4.482,U.S Dollar,US Gallon,2023-05-28
Arizona,AZ,Phoenix-Mesa,4.83,5.137,5.424,4.491,U.S Dollar,US Gallon,2023-05-28
Arizona,AZ,Pima County,4.434,4.744,5.013,4.452,U.S Dollar,US Gallon,2023-05-28
Arizona,AZ,Prescott,4.211,4.542,4.816,4.615,U.S Dollar,US Gallon,2023-05-28
Arizona,AZ,Scottsdale,5.051,5.368,5.648,4.664,U.S Dollar,US Gallon,2023-05-28
Arizona,AZ,Sierra Vista-Douglas,3.759,3.86,4.114,4.315,U.S Dollar,US Gallon,2023-05-28
Arizona,AZ,Tucson,4.426,4.737,5.007,4.443,U.S Dollar,US Gallon,2023-05-28
Arizona,AZ,West Valley,4.881,5.185,5.447,4.458,U.S Dollar,US Gallon,2023-05-28
Arizona,AZ,Yuma,3.953,4.271,4.525,4.532,U.S Dollar,US Gallon,2023-05-28
California,CA,Bakersfield,4.841,5.018,5.24,5.41,U.S Dollar,US Gallon,2023-05-28
California,CA,Chico-Paradise,4.6,4.792,4.917,4.705,U.S Dollar,US Gallon,2023-05-28
California,CA,El Centro,4.672,4.868,5.053,5.06,U.S Dollar,US Gallon,2023-05-28
California,CA,Fresno,4.745,4.942,5.129,5.199,U.S Dollar,US Gallon,2023-05-28
California,CA,Hanford-Corcoran,4.777,4.815,4.962,5.375,U.S Dollar,US Gallon,2023-05-28
California,CA,Los Angeles-Long Beach,4.921,5.119,5.261,5.144,U.S Dollar,US Gallon,2023-05-28
California,CA,Madera-Chowchilla,4.737,4.997,5.119,5.214,U.S Dollar,US Gallon,2023-05-28
California,CA,Merced,4.659,4.898,5.079,5.204,U.S Dollar,US Gallon,2023-05-28
