State-Name,State-Abbreviation,Metro-Name,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,Anchorage,4.595,4.865,5.078,4.732,U.S Dollar,US Gallon,2023-09-18
Alaska,AK,Fairbanks,4.533,4.734,4.96,4.811,U.S Dollar,US Gallon,2023-09-18
Alaska,AK,Juneau,4.405,4.423,4.521,4.667,U.S Dollar,US Gallon,2023-09-18
Alabama,AL,Anniston-Oxford,3.468,3.817,4.131,4.371,U.S Dollar,US Gallon,2023-09-18
Alabama,AL,Auburn,3.366,3.693,4.075,4.261,U.S Dollar,US Gallon,2023-09-18
Alabama,AL,Birmingham,3.429,3.808,4.192,4.357,U.S Dollar,US Gallon,2023-09-18
Alabama,AL,Daphne-Fairhope-Foley,3.484,3.872,4.271,4.307,U.S Dollar,US Gallon,2023-09-18
Alabama,AL,Decatur,3.385,3.728,4.09,4.265,U.S Dollar,US Gallon,2023-09-18
Alabama,AL,Dothan,3.431,3.812,4.184,4.358,U.S Dollar,US Gallon,2023-09-18
Alabama,AL,Florence-Muscle Shoals,3.427,3.823,4.172,4.277,U.S Dollar,US Gallon,2023-09-18
Alabama,AL,Gadsden,3.377,3.739,4.138,4.261,U.S Dollar,US Gallon,2023-09-18
Alabama,AL,Huntsville,3.413,3.743,4.107,4.256,U.S Dollar,US Gallon,2023-09-18
Alabama,AL,Mobile,3.441,3.873,4.253,4.334,U.S Dollar,US Gallon,2023-09-18
Alabama,AL,Montgomery,3.413,3.837,4.24,4.341,U.S Dollar,US Gallon,2023-09-18
Alabama,AL,Russell County,3.378,3.692,4.038,4.225,U.S Dollar,US Gallon,2023-09-18
Alabama,AL,Tuscaloosa,3.396,3.8,4.202,4.255,U.S Dollar,US Gallon,2023-09-18
Arkansas,AR,Fayetteville-Springdale-Rogers,3.666,3.983,4.33,4.29,U.S Dollar,US Gallon,2023-09-18
Arkansas,AR,Fort Smith (AR only),3.632,3.995,4.379,4.287,U.S Dollar,US Gallon,2023-09-18
Arkansas,AR,Hot Springs,3.335,3.743,4.091,4.129,U.S Dollar,US Gallon,2023-09-18
Arkansas,AR,Jonesboro,3.3,3.643,4.024,4.292,U.S Dollar,US Gallon,2023-09-18
Arkansas,AR,Little Rock-North Little Rock,3.38,3.765,4.138,4.153,U.S Dollar,US Gallon,2023-09-18
Arkansas,AR,Pine Bluff,3.394,3.838,4.2,4.235,U.S Dollar,US Gallon,2023-09-18
Arkansas,AR,Texarkana (AR only),3.483,3.821,4.242,4.223,U.S Dollar,US Gallon,2023-09-18
Arkansas,AR,West Memphis,3.352,3.737,4.189,4.327,U.S Dollar,US Gallon,2023-09-18
Arizona,AZ,East Valley,4.82,5.086,5.373,4.964,U.S Dollar,US Gallon,2023-09-18
Arizona,AZ,Flagstaff,4.299,4.492,4.768,5.096,U.S Dollar,US Gallon,2023-09-18
Arizona,AZ,Glendale,4.837,5.072,5.422,5.015,U.S Dollar,US Gallon,2023-09-18
Arizona,AZ,Lake Havasu-Kingman,4.262,4.404,4.706,5.133,U.S Dollar,US Gallon,2023-09-18
Arizona,AZ,Peoria,4.84,5.093,5.364,4.992,U.S Dollar,US Gallon,2023-09-18
Arizona,AZ,Phoenix Proper,4.798,5.079,5.358,5.001,U.S Dollar,US Gallon,2023-09-18
Arizona,AZ,Phoenix-Mesa,4.822,5.098,5.388,5.016,U.S Dollar,US Gallon,2023-09-18
Arizona,AZ,Pima County,4.246,4.541,4.81,4.902,U.S Dollar,US Gallon,2023-09-18
Arizona,AZ,Prescott,4.237,4.476,4.85,5.041,U.S Dollar,US Gallon,2023-09-18
Arizona,AZ,Scottsdale,4.963,5.226,5.534,5.133,U.S Dollar,US Gallon,2023-09-18
Arizona,AZ,Sierra Vista-Douglas,4.079,4.305,4.569,4.659,U.S Dollar,US Gallon,2023-09-18
Arizona,AZ,Tucson,4.239,4.53,4.798,4.9,U.S Dollar,US Gallon,2023-09-18
Arizona,AZ,West Valley,4.828,5.073,5.399,4.991,U.S Dollar,US Gallon,2023-09-18
Arizona,AZ,Yuma,4.118,4.442,4.694,4.944,U.S Dollar,US Gallon,2023-09-18
California,CA,Bakersfield,5.551,5.706,5.895,6.342,U.S Dollar,US Gallon,2023-09-18
California,CA,Chico-Paradise,5.356,5.559,5.706,6.099,U.S Dollar,US Gallon,2023-09-18
California,CA,El Centro,5.571,5.585,5.808,6.359,U.S Dollar,US Gallon,2023-09-18
California,CA,Fresno,5.432,5.641,5.808,6.336,U.S Dollar,US Gallon,2023-09-18
California,CA,Hanford-Corcoran,5.408,5.564,5.71,6.212,U.S Dollar,US Gallon,2023-09-18
California,CA,Los Angeles-Long Beach,5.915,6.052,6.226,6.398,U.S Dollar,US Gallon,2023-09-18
California,CA,Madera-Chowchilla,5.393,5.571,5.789,6.36,U.S Dollar,US Gallon,2023-09-18
California,CA,Merced,5.439,5.636,5.847,6.276,U.S Dollar,US Gallon,2023-09-18
California,CA,Modesto,5.339,5.564,5.742,6.23,U.S Dollar,US Gallon,2023-09-18
California,CA,Napa,5.667,5.838,6.021,6.431,U.S Dollar,US Gallon,2023-09-18
