State-Name,State-Abbreviation,Metro-Name,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,Anchorage,5.534,5.734,5.96,5.796,U.S Dollar,US Gallon,2022-06-14
Alaska,AK,Fairbanks,5.611,5.756,5.922,5.919,U.S Dollar,US Gallon,2022-06-14
Alaska,AK,Juneau,5.307,5.459,5.555,5.337,U.S Dollar,US Gallon,2022-06-14
Alabama,AL,Anniston-Oxford,4.572,4.94,5.262,5.605,U.S Dollar,US Gallon,2022-06-14
Alabama,AL,Auburn,4.636,4.91,5.282,5.56,U.S Dollar,US Gallon,2022-06-14
Alabama,AL,Birmingham,4.612,4.939,5.296,5.668,U.S Dollar,US Gallon,2022-06-14
Alabama,AL,Daphne-Fairhope-Foley,4.676,5.014,5.409,5.601,U.S Dollar,US Gallon,2022-06-14
Alabama,AL,Decatur,4.588,4.876,5.184,5.502,U.S Dollar,US Gallon,2022-06-14
Alabama,AL,Dothan,4.657,5.001,5.37,5.791,U.S Dollar,US Gallon,2022-06-14
Alabama,AL,Florence-Muscle Shoals,4.608,4.915,5.269,5.635,U.S Dollar,US Gallon,2022-06-14
Alabama,AL,Gadsden,4.541,4.872,5.256,5.561,U.S Dollar,US Gallon,2022-06-14
Alabama,AL,Huntsville,4.604,4.896,5.258,5.613,U.S Dollar,US Gallon,2022-06-14
Alabama,AL,Mobile,4.615,4.96,5.316,5.528,U.S Dollar,US Gallon,2022-06-14
Alabama,AL,Montgomery,4.667,5.018,5.36,5.679,U.S Dollar,US Gallon,2022-06-14
Alabama,AL,Russell County,4.761,4.983,5.344,5.673,U.S Dollar,US Gallon,2022-06-14
Alabama,AL,Tuscaloosa,4.631,4.94,5.313,5.63,U.S Dollar,US Gallon,2022-06-14
Arkansas,AR,Fayetteville-Springdale-Rogers,4.592,4.886,5.171,5.257,U.S Dollar,US Gallon,2022-06-14
Arkansas,AR,Fort Smith (AR only),4.557,4.882,5.156,5.319,U.S Dollar,US Gallon,2022-06-14
Arkansas,AR,Hot Springs,4.467,4.798,5.138,5.268,U.S Dollar,US Gallon,2022-06-14
Arkansas,AR,Jonesboro,4.544,4.865,5.145,5.343,U.S Dollar,US Gallon,2022-06-14
Arkansas,AR,Little Rock-North Little Rock,4.476,4.751,5.077,5.242,U.S Dollar,US Gallon,2022-06-14
Arkansas,AR,Pine Bluff,4.525,4.87,5.23,5.272,U.S Dollar,US Gallon,2022-06-14
Arkansas,AR,Texarkana (AR only),4.633,4.955,5.274,5.41,U.S Dollar,US Gallon,2022-06-14
Arkansas,AR,West Memphis,4.609,5.014,5.429,5.48,U.S Dollar,US Gallon,2022-06-14
Arizona,AZ,East Valley,5.691,5.955,6.228,5.847,U.S Dollar,US Gallon,2022-06-14
Arizona,AZ,Flagstaff,5.15,5.307,5.539,6.002,U.S Dollar,US Gallon,2022-06-14
Arizona,AZ,Glendale,5.69,5.98,6.247,5.833,U.S Dollar,US Gallon,2022-06-14
Arizona,AZ,Lake Havasu-Kingman,5.152,5.256,5.529,5.973,U.S Dollar,US Gallon,2022-06-14
Arizona,AZ,Peoria,5.686,5.906,6.191,5.841,U.S Dollar,US Gallon,2022-06-14
Arizona,AZ,Phoenix Proper,5.689,5.937,6.223,5.859,U.S Dollar,US Gallon,2022-06-14
Arizona,AZ,Phoenix-Mesa,5.678,5.94,6.222,5.858,U.S Dollar,US Gallon,2022-06-14
Arizona,AZ,Pima County,4.86,5.1,5.377,5.824,U.S Dollar,US Gallon,2022-06-14
Arizona,AZ,Prescott,4.993,5.209,5.454,5.901,U.S Dollar,US Gallon,2022-06-14
Arizona,AZ,Scottsdale,5.7,5.999,6.262,5.91,U.S Dollar,US Gallon,2022-06-14
Arizona,AZ,Sierra Vista-Douglas,4.84,5.081,5.34,5.766,U.S Dollar,US Gallon,2022-06-14
Arizona,AZ,Tucson,4.856,5.099,5.369,5.823,U.S Dollar,US Gallon,2022-06-14
Arizona,AZ,West Valley,5.689,5.942,6.219,5.822,U.S Dollar,US Gallon,2022-06-14
Arizona,AZ,Yuma,4.941,5.184,5.427,5.846,U.S Dollar,US Gallon,2022-06-14
California,CA,Bakersfield,6.362,6.554,6.717,6.975,U.S Dollar,US Gallon,2022-06-14
California,CA,Chico-Paradise,6.296,6.501,6.626,6.934,U.S Dollar,US Gallon,2022-06-14
California,CA,El Centro,6.211,6.406,6.566,6.915,U.S Dollar,US Gallon,2022-06-14
California,CA,Fresno,6.353,6.541,6.713,6.946,U.S Dollar,US Gallon,2022-06-14
California,CA,Hanford-Corcoran,6.267,6.44,6.612,6.889,U.S Dollar,US Gallon,2022-06-14
California,CA,Los Angeles-Long Beach,6.462,6.655,6.771,6.976,U.S Dollar,US Gallon,2022-06-14
California,CA,Madera-Chowchilla,6.37,6.599,6.751,6.9,U.S Dollar,US Gallon,2022-06-14
California,CA,Merced,6.426,6.595,6.775,7.001,U.S Dollar,US Gallon,2022-06-14
California,CA,Modesto,6.304,6.497,6.664,6.936,U.S Dollar,US Gallon,2022-06-14
California,CA,Napa,6.631,6.782,6.93,7.162,U.S Dollar,US Gallon,2022-06-14
California,CA,Oakland,6.546,6.742,6.872,7.11,U.S Dollar,US Gallon,2022-06-14
California,CA,Orange County,6.408,6.61,6.722,6.902,U.S Dollar,US Gallon,2022-06-14
California,CA,Redding,6.433,6.574,6.717,7.056,U.S Dollar,US Gallon,2022-06-14
California,CA,Riverside,6.33,6.532,6.663,6.891,U.S Dollar,US Gallon,2022-06-14
California,CA,Sacramento,6.442,6.636,6.79,7.045,U.S Dollar,US Gallon,2022-06-14
California,CA,Salinas,6.598,6.778,6.944,7.224,U.S Dollar,US Gallon,2022-06-14
California,CA,San Bernardino,6.353,6.53,6.685,6.909,U.S Dollar,US Gallon,2022-06-14
California,CA,San Diego,6.37,6.547,6.687,6.843,U.S Dollar,US Gallon,2022-06-14
California,CA,San Francisco,6.631,6.824,6.963,7.229,U.S Dollar,US Gallon,2022-06-14
California,CA,San Jose,6.547,6.739,6.878,7.125,U.S Dollar,US Gallon,2022-06-14
California,CA,San Luis Obispo-Atascadero-Paso Robles,6.636,6.799,6.918,7.218,U.S Dollar,US Gallon,2022-06-14
California,CA,San Rafael,6.629,6.85,6.995,7.277,U.S Dollar,US Gallon,2022-06-14
California,CA,Santa Barbara-Santa Maria-Lompoc,6.354,6.513,6.658,6.931,U.S Dollar,US Gallon,2022-06-14
California,CA,Santa Cruz-Watsonville,6.499,6.703,6.85,7.082,U.S Dollar,US Gallon,2022-06-14
California,CA,Santa Rosa,6.604,6.803,6.911,7.192,U.S Dollar,US Gallon,2022-06-14
California,CA,Stockton-Lodi,6.365,6.562,6.719,7.013,U.S Dollar,US Gallon,2022-06-14
California,CA,Vallejo-Fairfield,6.462,6.678,6.801,7.102,U.S Dollar,US Gallon,2022-06-14
California,CA,Ventura,6.419,6.607,6.724,6.89,U.S Dollar,US Gallon,2022-06-14
California,CA,Visalia-Tulare-Porterville,6.393,6.548,6.717,6.98,U.S Dollar,US Gallon,2022-06-14
California,CA,Yolo,6.409,6.596,6.737,6.996,U.S Dollar,US Gallon,2022-06-14
California,CA,Yuba City,6.301,6.473,6.65,7.072,U.S Dollar,US Gallon,2022-06-14
Colorado,CO,Boulder-Longmont,4.893,5.256,5.584,5.452,U.S Dollar,US Gallon,2022-06-14
Colorado,CO,Colorado Springs,4.898,5.243,5.545,5.503,U.S Dollar,US Gallon,2022-06-14
Colorado,CO,Denver,4.858,5.222,5.526,5.499,U.S Dollar,US Gallon,2022-06-14
Colorado,CO,Durango,5.036,5.296,5.579,5.675,U.S Dollar,US Gallon,2022-06-14
Colorado,CO,Fort Collins-Loveland,4.829,5.145,5.451,5.498,U.S Dollar,US Gallon,2022-06-14
Colorado,CO,Glenwood Springs,4.957,5.273,5.417,5.565,U.S Dollar,US Gallon,2022-06-14
Colorado,CO,Grand Junction (CO only),4.924,5.215,5.457,5.561,U.S Dollar,US Gallon,2022-06-14
Colorado,CO,Greeley,4.838,5.154,5.456,5.454,U.S Dollar,US Gallon,2022-06-14
Colorado,CO,Pueblo,4.897,5.251,5.528,5.564,U.S Dollar,US Gallon,2022-06-14
Colorado,CO,Vail,5.107,5.412,5.613,5.657,U.S Dollar,US Gallon,2022-06-14
Connecticut,CT,Bridgeport,5.055,5.412,5.842,6.257,U.S Dollar,US Gallon,2022-06-14
Connecticut,CT,Hartford,4.96,5.329,5.676,6.186,U.S Dollar,US Gallon,2022-06-14
Connecticut,CT,Lower Fairfield County,5.05,5.411,5.838,6.238,U.S Dollar,US Gallon,2022-06-14
Connecticut,CT,New Haven-Meriden,4.95,5.325,5.648,6.154,U.S Dollar,US Gallon,2022-06-14
Connecticut,CT,New London-Norwich (CT only),4.986,5.345,5.634,6.044,U.S Dollar,US Gallon,2022-06-14
Connecticut,CT,Windham,4.973,5.287,5.598,6.088,U.S Dollar,US Gallon,2022-06-14
District of Columbia,DC,Washington (DC only),5.259,5.724,6.046,6.163,U.S Dollar,US Gallon,2022-06-14
District of Columbia,DC,Washington (Entire Metro Average),5.064,5.498,5.808,5.956,U.S Dollar,US Gallon,2022-06-14
Delaware,DE,Dover,4.989,5.314,5.571,5.942,U.S Dollar,US Gallon,2022-06-14
Delaware,DE,Milford-Seaford,4.993,5.323,5.646,5.93,U.S Dollar,US Gallon,2022-06-14
Delaware,DE,Wilmington-Newark (DE only),4.997,5.474,5.715,5.96,U.S Dollar,US Gallon,2022-06-14
Florida,FL,Bradenton-Sarasota-Venice,4.885,5.262,5.555,5.69,U.S Dollar,US Gallon,2022-06-14
Florida,FL,Crestview-Fort Walton Beach,4.685,5.038,5.387,5.542,U.S Dollar,US Gallon,2022-06-14
Florida,FL,Daytona Beach,4.892,5.254,5.578,5.718,U.S Dollar,US Gallon,2022-06-14
Florida,FL,Fort Lauderdale,4.933,5.304,5.619,5.752,U.S Dollar,US Gallon,2022-06-14
Florida,FL,Fort Myers-Cape Coral,4.865,5.246,5.537,5.678,U.S Dollar,US Gallon,2022-06-14
Florida,FL,Gainesville,4.913,5.262,5.637,5.807,U.S Dollar,US Gallon,2022-06-14
Florida,FL,Homosassa Springs,4.91,5.3,5.6,5.715,U.S Dollar,US Gallon,2022-06-14
Florida,FL,Jacksonville,4.878,5.209,5.575,5.741,U.S Dollar,US Gallon,2022-06-14
Florida,FL,Lakeland-Winter Haven,4.899,5.266,5.569,5.69,U.S Dollar,US Gallon,2022-06-14
Florida,FL,Melbourne-Titusville,4.87,5.246,5.577,5.705,U.S Dollar,US Gallon,2022-06-14
Florida,FL,Miami,4.91,5.265,5.537,5.732,U.S Dollar,US Gallon,2022-06-14
Florida,FL,Naples,4.914,5.289,5.588,5.733,U.S Dollar,US Gallon,2022-06-14
Florida,FL,Ocala,4.907,5.248,5.582,5.73,U.S Dollar,US Gallon,2022-06-14
Florida,FL,Orlando,4.888,5.248,5.532,5.701,U.S Dollar,US Gallon,2022-06-14
