State-Name,State-Abbreviation,Metro-Name,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,Anchorage,4.597,4.832,5.048,4.457,U.S Dollar,US Gallon,2023-08-31
Alaska,AK,Fairbanks,4.538,4.73,4.928,4.559,U.S Dollar,US Gallon,2023-08-31
Alaska,AK,Juneau,4.552,4.459,4.793,4.434,U.S Dollar,US Gallon,2023-08-31
Alabama,AL,Anniston-Oxford,3.43,3.769,4.131,4.183,U.S Dollar,US Gallon,2023-08-31
Alabama,AL,Auburn,3.378,3.742,4.103,4.117,U.S Dollar,US Gallon,2023-08-31
Alabama,AL,Birmingham,3.416,3.808,4.202,4.193,U.S Dollar,US Gallon,2023-08-31
Alabama,AL,Daphne-Fairhope-Foley,3.479,3.89,4.25,4.155,U.S Dollar,US Gallon,2023-08-31
Alabama,AL,Decatur,3.382,3.745,4.114,4.062,U.S Dollar,US Gallon,2023-08-31
Alabama,AL,Dothan,3.452,3.824,4.214,4.198,U.S Dollar,US Gallon,2023-08-31
Alabama,AL,Florence-Muscle Shoals,3.423,3.833,4.201,4.093,U.S Dollar,US Gallon,2023-08-31
Alabama,AL,Gadsden,3.339,3.748,4.109,4.149,U.S Dollar,US Gallon,2023-08-31
Alabama,AL,Huntsville,3.448,3.807,4.169,4.115,U.S Dollar,US Gallon,2023-08-31
Alabama,AL,Mobile,3.446,3.866,4.238,4.17,U.S Dollar,US Gallon,2023-08-31
Alabama,AL,Montgomery,3.436,3.865,4.275,4.177,U.S Dollar,US Gallon,2023-08-31
Alabama,AL,Russell County,3.389,3.729,4.002,4.195,U.S Dollar,US Gallon,2023-08-31
Alabama,AL,Tuscaloosa,3.369,3.807,4.174,4.116,U.S Dollar,US Gallon,2023-08-31
Arkansas,AR,Fayetteville-Springdale-Rogers,3.37,3.715,4.017,4.095,U.S Dollar,US Gallon,2023-08-31
Arkansas,AR,Fort Smith (AR only),3.406,3.78,4.099,4.094,U.S Dollar,US Gallon,2023-08-31
Arkansas,AR,Hot Springs,3.35,3.773,4.168,4.003,U.S Dollar,US Gallon,2023-08-31
Arkansas,AR,Jonesboro,3.317,3.689,4.026,4.122,U.S Dollar,US Gallon,2023-08-31
Arkansas,AR,Little Rock-North Little Rock,3.369,3.778,4.146,4.046,U.S Dollar,US Gallon,2023-08-31
Arkansas,AR,Pine Bluff,3.399,3.896,4.265,4.117,U.S Dollar,US Gallon,2023-08-31
Arkansas,AR,Texarkana (AR only),3.48,3.811,4.225,4.131,U.S Dollar,US Gallon,2023-08-31
Arkansas,AR,West Memphis,3.339,3.701,4.167,4.113,U.S Dollar,US Gallon,2023-08-31
Arizona,AZ,East Valley,4.54,4.844,5.132,4.732,U.S Dollar,US Gallon,2023-08-31
Arizona,AZ,Flagstaff,4.102,4.297,4.618,4.778,U.S Dollar,US Gallon,2023-08-31
Arizona,AZ,Glendale,4.53,4.825,5.093,4.728,U.S Dollar,US Gallon,2023-08-31
Arizona,AZ,Lake Havasu-Kingman,4.151,4.254,4.549,4.785,U.S Dollar,US Gallon,2023-08-31
Arizona,AZ,Peoria,4.541,4.857,5.099,4.742,U.S Dollar,US Gallon,2023-08-31
Arizona,AZ,Phoenix Proper,4.519,4.805,5.087,4.746,U.S Dollar,US Gallon,2023-08-31
Arizona,AZ,Phoenix-Mesa,4.529,4.828,5.112,4.737,U.S Dollar,US Gallon,2023-08-31
Arizona,AZ,Pima County,4.093,4.388,4.663,4.689,U.S Dollar,US Gallon,2023-08-31
Arizona,AZ,Prescott,4.13,4.41,4.75,4.696,U.S Dollar,US Gallon,2023-08-31
Arizona,AZ,Scottsdale,4.637,4.943,5.226,4.733,U.S Dollar,US Gallon,2023-08-31
Arizona,AZ,Sierra Vista-Douglas,4.025,4.262,4.544,4.609,U.S Dollar,US Gallon,2023-08-31
Arizona,AZ,Tucson,4.087,4.383,4.66,4.683,U.S Dollar,US Gallon,2023-08-31
Arizona,AZ,West Valley,4.528,4.831,5.091,4.727,U.S Dollar,US Gallon,2023-08-31
Arizona,AZ,Yuma,3.945,4.264,4.527,4.602,U.S Dollar,US Gallon,2023-08-31
California,CA,Bakersfield,5.178,5.394,5.573,5.946,U.S Dollar,US Gallon,2023-08-31
California,CA,Chico-Paradise,5.164,5.328,5.52,5.686,U.S Dollar,US Gallon,2023-08-31
