State-Name,State-Abbreviation,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,3.822,3.998,4.19,4.401,U.S Dollar,US Gallon,2023-03-16
Alabama,AL,3.11,3.494,3.868,4.12,U.S Dollar,US Gallon,2023-03-16
Arkansas,AR,3.067,3.431,3.773,3.958,U.S Dollar,US Gallon,2023-03-16
Arizona,AZ,3.955,4.253,4.529,4.424,U.S Dollar,US Gallon,2023-03-16
California,CA,4.885,5.095,5.241,5.56,U.S Dollar,US Gallon,2023-03-16
Colorado,CO,3.851,4.23,4.529,4.575,U.S Dollar,US Gallon,2023-03-16
Connecticut,CT,3.309,3.83,4.236,4.63,U.S Dollar,US Gallon,2023-03-16
District of Columbia,DC,3.473,4.024,4.394,4.714,U.S Dollar,US Gallon,2023-03-16
Delaware,DE,3.291,3.721,3.984,3.992,U.S Dollar,US Gallon,2023-03-16
Florida,FL,3.448,3.831,4.147,4.345,U.S Dollar,US Gallon,2023-03-16
Georgia,GA,3.246,3.634,3.998,4.256,U.S Dollar,US Gallon,2023-03-16
Hawaii,HI,4.84,5.06,5.32,5.992,U.S Dollar,US Gallon,2023-03-16
Iowa,IA,3.231,3.484,3.959,3.954,U.S Dollar,US Gallon,2023-03-16
Idaho,ID,3.653,3.894,4.114,4.438,U.S Dollar,US Gallon,2023-03-16
Illinois,IL,3.648,4.098,4.524,4.27,U.S Dollar,US Gallon,2023-03-16
Indiana,IN,3.5,3.92,4.36,4.404,U.S Dollar,US Gallon,2023-03-16
Kansas,KS,3.071,3.356,3.665,3.89,U.S Dollar,US Gallon,2023-03-16
Kentucky,KY,3.174,3.605,3.976,4.105,U.S Dollar,US Gallon,2023-03-16
Louisiana,LA,3.086,3.455,3.806,4.027,U.S Dollar,US Gallon,2023-03-16
Massachusetts,MA,3.293,3.852,4.194,4.738,U.S Dollar,US Gallon,2023-03-16
Maryland,MD,3.335,3.827,4.101,4.157,U.S Dollar,US Gallon,2023-03-16
Maine,ME,3.426,3.821,4.186,5.134,U.S Dollar,US Gallon,2023-03-16
Michigan,MI,3.487,3.953,4.414,4.369,U.S Dollar,US Gallon,2023-03-16
Minnesota,MN,3.301,3.593,3.995,4.065,U.S Dollar,US Gallon,2023-03-16
Missouri,MO,3.049,3.332,3.653,3.877,U.S Dollar,US Gallon,2023-03-16
Mississippi,MS,3.005,3.381,3.744,4.003,U.S Dollar,US Gallon,2023-03-16
Montana,MT,3.257,3.534,3.822,4.169,U.S Dollar,US Gallon,2023-03-16
North Carolina,NC,3.236,3.615,3.971,4.152,U.S Dollar,US Gallon,2023-03-16
North Dakota,ND,3.269,3.522,3.853,4.264,U.S Dollar,US Gallon,2023-03-16
Nebraska,NE,3.264,3.47,3.907,4.014,U.S Dollar,US Gallon,2023-03-16
New Hampshire,NH,3.274,3.746,4.13,4.755,U.S Dollar,US Gallon,2023-03-16
New Jersey,NJ,3.303,3.854,4.112,4.266,U.S Dollar,US Gallon,2023-03-16
New Mexico,NM,3.394,3.728,4.009,4.166,U.S Dollar,US Gallon,2023-03-16
Nevada,NV,4.306,4.556,4.789,4.63,U.S Dollar,US Gallon,2023-03-16
New York,NY,3.456,3.916,4.274,4.969,U.S Dollar,US Gallon,2023-03-16
Ohio,OH,3.345,3.791,4.219,4.265,U.S Dollar,US Gallon,2023-03-16
Oklahoma,OK,3.029,3.361,3.597,3.78,U.S Dollar,US Gallon,2023-03-16
Oregon,OR,3.891,4.099,4.301,4.692,U.S Dollar,US Gallon,2023-03-16
Pennsylvania,PA,3.617,4.004,4.307,4.81,U.S Dollar,US Gallon,2023-03-16
Rhode Island,RI,3.287,3.909,4.212,4.68,U.S Dollar,US Gallon,2023-03-16
South Carolina,SC,3.158,3.537,3.889,4.023,U.S Dollar,US Gallon,2023-03-16
South Dakota,SD,3.34,3.502,3.97,4.093,U.S Dollar,US Gallon,2023-03-16
Tennessee,TN,3.132,3.525,3.88,4.057,U.S Dollar,US Gallon,2023-03-16
Texas,TX,3.059,3.45,3.781,3.839,U.S Dollar,US Gallon,2023-03-16
Utah,UT,3.837,4.061,4.249,4.361,U.S Dollar,US Gallon,2023-03-16
Virginia,VA,3.245,3.662,3.989,4.242,U.S Dollar,US Gallon,2023-03-16
Vermont,VT,3.439,3.935,4.375,4.561,U.S Dollar,US Gallon,2023-03-16
Washington,WA,4.243,4.475,4.67,5.011,U.S Dollar,US Gallon,2023-03-16
Wisconsin,WI,3.28,3.683,4.117,3.9,U.S Dollar,US Gallon,2023-03-16
West Virginia,WV,3.392,3.718,4.04,4.413,U.S Dollar,US Gallon,2023-03-16
Wyoming,WY,3.413,3.652,3.923,4.492,U.S Dollar,US Gallon,2023-03-16
