State-Name,State-Abbreviation,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,3.72,3.879,4.062,3.576,U.S Dollar,US Gallon,2021-12-03
Alabama,AL,3.116,3.459,3.788,3.436,U.S Dollar,US Gallon,2021-12-03
Arkansas,AR,2.998,3.312,3.596,3.373,U.S Dollar,US Gallon,2021-12-03
Arizona,AZ,3.786,4.051,4.303,4.073,U.S Dollar,US Gallon,2021-12-03
California,CA,4.692,4.887,5.01,4.848,U.S Dollar,US Gallon,2021-12-03
Colorado,CO,3.416,3.755,4.036,3.439,U.S Dollar,US Gallon,2021-12-03
Connecticut,CT,3.546,3.848,4.062,3.697,U.S Dollar,US Gallon,2021-12-03
District of Columbia,DC,3.509,4.009,4.171,3.673,U.S Dollar,US Gallon,2021-12-03
Delaware,DE,3.323,3.704,3.957,3.658,U.S Dollar,US Gallon,2021-12-03
Florida,FL,3.313,3.68,3.975,3.545,U.S Dollar,US Gallon,2021-12-03
Georgia,GA,3.199,3.549,3.867,3.51,U.S Dollar,US Gallon,2021-12-03
Hawaii,HI,4.354,4.568,4.795,4.665,U.S Dollar,US Gallon,2021-12-03
Iowa,IA,3.108,3.27,3.656,3.385,U.S Dollar,US Gallon,2021-12-03
Idaho,ID,3.667,3.866,4.044,3.975,U.S Dollar,US Gallon,2021-12-03
Illinois,IL,3.531,3.894,4.271,3.614,U.S Dollar,US Gallon,2021-12-03
Indiana,IN,3.227,3.577,3.885,3.676,U.S Dollar,US Gallon,2021-12-03
Kansas,KS,3.013,3.261,3.508,3.334,U.S Dollar,US Gallon,2021-12-03
Kentucky,KY,3.051,3.387,3.68,3.393,U.S Dollar,US Gallon,2021-12-03
Louisiana,LA,3.098,3.424,3.729,3.291,U.S Dollar,US Gallon,2021-12-03
Massachusetts,MA,3.413,3.695,3.915,3.575,U.S Dollar,US Gallon,2021-12-03
Maryland,MD,3.345,3.768,4.026,3.633,U.S Dollar,US Gallon,2021-12-03
Maine,ME,3.45,3.755,4.002,3.602,U.S Dollar,US Gallon,2021-12-03
Michigan,MI,3.271,3.618,3.953,3.521,U.S Dollar,US Gallon,2021-12-03
Minnesota,MN,3.147,3.388,3.708,3.493,U.S Dollar,US Gallon,2021-12-03
Missouri,MO,3.003,3.271,3.534,3.308,U.S Dollar,US Gallon,2021-12-03
Mississippi,MS,3.025,3.344,3.654,3.295,U.S Dollar,US Gallon,2021-12-03
Montana,MT,3.403,3.67,3.914,3.728,U.S Dollar,US Gallon,2021-12-03
North Carolina,NC,3.174,3.537,3.867,3.505,U.S Dollar,US Gallon,2021-12-03
North Dakota,ND,3.17,3.372,3.616,3.552,U.S Dollar,US Gallon,2021-12-03
Nebraska,NE,3.181,3.3,3.651,3.403,U.S Dollar,US Gallon,2021-12-03
New Hampshire,NH,3.349,3.672,3.941,3.512,U.S Dollar,US Gallon,2021-12-03
New Jersey,NJ,3.435,3.798,3.982,3.689,U.S Dollar,US Gallon,2021-12-03
New Mexico,NM,3.34,3.638,3.9,3.631,U.S Dollar,US Gallon,2021-12-03
Nevada,NV,3.936,4.163,4.345,4.013,U.S Dollar,US Gallon,2021-12-03
New York,NY,3.551,3.852,4.083,3.754,U.S Dollar,US Gallon,2021-12-03
Ohio,OH,3.161,3.492,3.823,3.695,U.S Dollar,US Gallon,2021-12-03
Oklahoma,OK,2.953,3.212,3.439,3.216,U.S Dollar,US Gallon,2021-12-03
Oregon,OR,3.784,3.955,4.151,3.821,U.S Dollar,US Gallon,2021-12-03
Pennsylvania,PA,3.578,3.905,4.182,3.963,U.S Dollar,US Gallon,2021-12-03
Rhode Island,RI,3.408,3.747,3.988,3.593,U.S Dollar,US Gallon,2021-12-03
South Carolina,SC,3.067,3.432,3.739,3.402,U.S Dollar,US Gallon,2021-12-03
South Dakota,SD,3.264,3.376,3.728,3.502,U.S Dollar,US Gallon,2021-12-03
Tennessee,TN,3.079,3.427,3.754,3.439,U.S Dollar,US Gallon,2021-12-03
Texas,TX,2.968,3.304,3.59,3.254,U.S Dollar,US Gallon,2021-12-03
Utah,UT,3.645,3.848,4.031,4.014,U.S Dollar,US Gallon,2021-12-03
Virginia,VA,3.234,3.619,3.941,3.536,U.S Dollar,US Gallon,2021-12-03
Vermont,VT,3.413,3.691,3.937,3.602,U.S Dollar,US Gallon,2021-12-03
Washington,WA,3.87,4.099,4.267,3.877,U.S Dollar,US Gallon,2021-12-03
Wisconsin,WI,3.078,3.431,3.807,3.423,U.S Dollar,US Gallon,2021-12-03
West Virginia,WV,3.318,3.599,3.882,3.679,U.S Dollar,US Gallon,2021-12-03
Wyoming,WY,3.441,3.673,3.907,3.756,U.S Dollar,US Gallon,2021-12-03
