State-Name,State-Abbreviation,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,3.706,3.885,4.063,3.419,U.S Dollar,US Gallon,2021-10-09
Alabama,AL,2.984,3.302,3.617,3.251,U.S Dollar,US Gallon,2021-10-09
Arkansas,AR,2.919,3.222,3.513,3.217,U.S Dollar,US Gallon,2021-10-09
Arizona,AZ,3.291,3.553,3.818,3.396,U.S Dollar,US Gallon,2021-10-09
California,CA,4.436,4.626,4.753,4.488,U.S Dollar,US Gallon,2021-10-09
Colorado,CO,3.532,3.865,4.152,3.455,U.S Dollar,US Gallon,2021-10-09
Connecticut,CT,3.294,3.58,3.804,3.462,U.S Dollar,US Gallon,2021-10-09
District of Columbia,DC,3.452,3.852,4.048,3.459,U.S Dollar,US Gallon,2021-10-09
Delaware,DE,3.177,3.54,3.788,3.427,U.S Dollar,US Gallon,2021-10-09
Florida,FL,3.171,3.51,3.816,3.352,U.S Dollar,US Gallon,2021-10-09
Georgia,GA,3.058,3.398,3.727,3.312,U.S Dollar,US Gallon,2021-10-09
Hawaii,HI,4.126,4.327,4.58,4.468,U.S Dollar,US Gallon,2021-10-09
Iowa,IA,3.056,3.191,3.615,3.272,U.S Dollar,US Gallon,2021-10-09
Idaho,ID,3.725,3.926,4.114,3.698,U.S Dollar,US Gallon,2021-10-09
Illinois,IL,3.515,3.854,4.241,3.549,U.S Dollar,US Gallon,2021-10-09
Indiana,IN,3.265,3.573,3.89,3.62,U.S Dollar,US Gallon,2021-10-09
Kansas,KS,2.987,3.235,3.489,3.243,U.S Dollar,US Gallon,2021-10-09
Kentucky,KY,3.08,3.38,3.688,3.295,U.S Dollar,US Gallon,2021-10-09
Louisiana,LA,2.989,3.29,3.591,3.154,U.S Dollar,US Gallon,2021-10-09
Massachusetts,MA,3.173,3.451,3.667,3.329,U.S Dollar,US Gallon,2021-10-09
Maryland,MD,3.203,3.599,3.87,3.439,U.S Dollar,US Gallon,2021-10-09
Maine,ME,3.202,3.481,3.745,3.353,U.S Dollar,US Gallon,2021-10-09
Michigan,MI,3.327,3.621,3.953,3.472,U.S Dollar,US Gallon,2021-10-09
Minnesota,MN,3.08,3.306,3.634,3.357,U.S Dollar,US Gallon,2021-10-09
Missouri,MO,2.958,3.208,3.477,3.166,U.S Dollar,US Gallon,2021-10-09
Mississippi,MS,2.903,3.19,3.494,3.103,U.S Dollar,US Gallon,2021-10-09
Montana,MT,3.377,3.631,3.887,3.579,U.S Dollar,US Gallon,2021-10-09
North Carolina,NC,3.062,3.399,3.751,3.313,U.S Dollar,US Gallon,2021-10-09
North Dakota,ND,3.104,3.315,3.545,3.371,U.S Dollar,US Gallon,2021-10-09
Nebraska,NE,3.081,3.196,3.546,3.308,U.S Dollar,US Gallon,2021-10-09
New Hampshire,NH,3.116,3.414,3.683,3.276,U.S Dollar,US Gallon,2021-10-09
New Jersey,NJ,3.266,3.631,3.804,3.499,U.S Dollar,US Gallon,2021-10-09
New Mexico,NM,3.191,3.483,3.752,3.374,U.S Dollar,US Gallon,2021-10-09
Nevada,NV,3.878,4.112,4.284,3.865,U.S Dollar,US Gallon,2021-10-09
New York,NY,3.344,3.635,3.869,3.525,U.S Dollar,US Gallon,2021-10-09
Ohio,OH,3.1,3.423,3.753,3.541,U.S Dollar,US Gallon,2021-10-09
Oklahoma,OK,2.922,3.186,3.408,3.19,U.S Dollar,US Gallon,2021-10-09
Oregon,OR,3.749,3.914,4.111,3.712,U.S Dollar,US Gallon,2021-10-09
Pennsylvania,PA,3.412,3.719,4.002,3.78,U.S Dollar,US Gallon,2021-10-09
Rhode Island,RI,3.158,3.467,3.724,3.357,U.S Dollar,US Gallon,2021-10-09
South Carolina,SC,3.013,3.355,3.686,3.252,U.S Dollar,US Gallon,2021-10-09
South Dakota,SD,3.207,3.328,3.688,3.4,U.S Dollar,US Gallon,2021-10-09
Tennessee,TN,3.007,3.337,3.674,3.282,U.S Dollar,US Gallon,2021-10-09
Texas,TX,2.902,3.22,3.517,3.111,U.S Dollar,US Gallon,2021-10-09
Utah,UT,3.702,3.899,4.084,3.65,U.S Dollar,US Gallon,2021-10-09
Virginia,VA,3.099,3.465,3.783,3.312,U.S Dollar,US Gallon,2021-10-09
Vermont,VT,3.208,3.46,3.727,3.368,U.S Dollar,US Gallon,2021-10-09
Washington,WA,3.856,4.075,4.251,3.769,U.S Dollar,US Gallon,2021-10-09
Wisconsin,WI,3.11,3.418,3.812,3.344,U.S Dollar,US Gallon,2021-10-09
West Virginia,WV,3.121,3.402,3.7,3.407,U.S Dollar,US Gallon,2021-10-09
Wyoming,WY,3.518,3.73,3.991,3.675,U.S Dollar,US Gallon,2021-10-09
