State-Name,State-Abbreviation,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,4.465,4.635,4.844,4.267,U.S Dollar,US Gallon,2023-08-09
Alabama,AL,3.433,3.815,4.198,3.943,U.S Dollar,US Gallon,2023-08-09
Arkansas,AR,3.49,3.866,4.238,3.941,U.S Dollar,US Gallon,2023-08-09
Arizona,AZ,3.974,4.269,4.552,4.228,U.S Dollar,US Gallon,2023-08-09
California,CA,5.08,5.282,5.434,5.518,U.S Dollar,US Gallon,2023-08-09
Colorado,CO,3.962,4.331,4.635,4.176,U.S Dollar,US Gallon,2023-08-09
Connecticut,CT,3.801,4.254,4.645,4.279,U.S Dollar,US Gallon,2023-08-09
District of Columbia,DC,3.955,4.531,4.882,4.546,U.S Dollar,US Gallon,2023-08-09
Delaware,DE,3.706,4.172,4.455,4.058,U.S Dollar,US Gallon,2023-08-09
Florida,FL,3.793,4.176,4.488,4.162,U.S Dollar,US Gallon,2023-08-09
Georgia,GA,3.647,4.048,4.421,4.119,U.S Dollar,US Gallon,2023-08-09
Hawaii,HI,4.78,4.964,5.218,5.718,U.S Dollar,US Gallon,2023-08-09
Iowa,IA,3.795,4.036,4.541,4.049,U.S Dollar,US Gallon,2023-08-09
Idaho,ID,4.051,4.261,4.512,4.187,U.S Dollar,US Gallon,2023-08-09
Illinois,IL,4.045,4.544,4.965,4.243,U.S Dollar,US Gallon,2023-08-09
Indiana,IN,3.749,4.229,4.676,4.306,U.S Dollar,US Gallon,2023-08-09
Kansas,KS,3.65,3.949,4.249,3.959,U.S Dollar,US Gallon,2023-08-09
Kentucky,KY,3.451,3.89,4.299,3.973,U.S Dollar,US Gallon,2023-08-09
Louisiana,LA,3.424,3.798,4.155,3.859,U.S Dollar,US Gallon,2023-08-09
Massachusetts,MA,3.747,4.234,4.575,4.275,U.S Dollar,US Gallon,2023-08-09
Maryland,MD,3.791,4.294,4.575,4.2,U.S Dollar,US Gallon,2023-08-09
Maine,ME,3.788,4.174,4.576,4.221,U.S Dollar,US Gallon,2023-08-09
Michigan,MI,3.738,4.209,4.681,4.23,U.S Dollar,US Gallon,2023-08-09
Minnesota,MN,3.811,4.092,4.483,4.118,U.S Dollar,US Gallon,2023-08-09
Missouri,MO,3.629,3.931,4.252,3.925,U.S Dollar,US Gallon,2023-08-09
Mississippi,MS,3.316,3.686,4.038,3.813,U.S Dollar,US Gallon,2023-08-09
Montana,MT,3.976,4.282,4.563,4.268,U.S Dollar,US Gallon,2023-08-09
North Carolina,NC,3.598,3.974,4.338,4.085,U.S Dollar,US Gallon,2023-08-09
North Dakota,ND,3.752,4.046,4.369,4.04,U.S Dollar,US Gallon,2023-08-09
Nebraska,NE,3.716,3.895,4.346,3.943,U.S Dollar,US Gallon,2023-08-09
New Hampshire,NH,3.665,4.071,4.478,4.144,U.S Dollar,US Gallon,2023-08-09
New Jersey,NJ,3.715,4.225,4.488,4.121,U.S Dollar,US Gallon,2023-08-09
New Mexico,NM,3.752,4.101,4.394,4.109,U.S Dollar,US Gallon,2023-08-09
Nevada,NV,4.339,4.595,4.813,4.527,U.S Dollar,US Gallon,2023-08-09
New York,NY,3.901,4.34,4.699,4.478,U.S Dollar,US Gallon,2023-08-09
Ohio,OH,3.506,3.931,4.386,4.242,U.S Dollar,US Gallon,2023-08-09
Oklahoma,OK,3.595,3.925,4.179,3.909,U.S Dollar,US Gallon,2023-08-09
Oregon,OR,4.671,4.863,5.081,4.636,U.S Dollar,US Gallon,2023-08-09
Pennsylvania,PA,3.908,4.291,4.597,4.494,U.S Dollar,US Gallon,2023-08-09
Rhode Island,RI,3.74,4.313,4.652,4.276,U.S Dollar,US Gallon,2023-08-09
South Carolina,SC,3.501,3.89,4.249,3.981,U.S Dollar,US Gallon,2023-08-09
South Dakota,SD,3.795,3.933,4.397,4.019,U.S Dollar,US Gallon,2023-08-09
Tennessee,TN,3.444,3.833,4.186,3.964,U.S Dollar,US Gallon,2023-08-09
Texas,TX,3.458,3.847,4.179,3.809,U.S Dollar,US Gallon,2023-08-09
Utah,UT,4.102,4.337,4.541,4.177,U.S Dollar,US Gallon,2023-08-09
Virginia,VA,3.664,4.058,4.395,4.05,U.S Dollar,US Gallon,2023-08-09
Vermont,VT,3.789,4.192,4.6,4.151,U.S Dollar,US Gallon,2023-08-09
Washington,WA,5.011,5.227,5.435,5.118,U.S Dollar,US Gallon,2023-08-09
Wisconsin,WI,3.607,4.029,4.462,4.033,U.S Dollar,US Gallon,2023-08-09
West Virginia,WV,3.578,3.894,4.223,4.13,U.S Dollar,US Gallon,2023-08-09
Wyoming,WY,3.9,4.151,4.416,4.314,U.S Dollar,US Gallon,2023-08-09
