State-Name,State-Abbreviation,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,4.18,4.214,4.43,4.139,U.S Dollar,US Gallon,2022-03-04
Alabama,AL,3.618,3.871,4.205,4.154,U.S Dollar,US Gallon,2022-03-04
Arkansas,AR,3.447,3.684,3.969,3.925,U.S Dollar,US Gallon,2022-03-04
Arizona,AZ,3.977,4.215,4.475,4.271,U.S Dollar,US Gallon,2022-03-04
California,CA,5.074,5.195,5.338,5.335,U.S Dollar,US Gallon,2022-03-04
Colorado,CO,3.594,3.889,4.16,3.864,U.S Dollar,US Gallon,2022-03-04
Connecticut,CT,3.972,4.142,4.367,4.343,U.S Dollar,US Gallon,2022-03-04
District of Columbia,DC,3.961,4.319,4.499,4.256,U.S Dollar,US Gallon,2022-03-04
Delaware,DE,3.894,4.112,4.351,4.284,U.S Dollar,US Gallon,2022-03-04
Florida,FL,3.674,3.981,4.27,4.248,U.S Dollar,US Gallon,2022-03-04
Georgia,GA,3.697,3.978,4.312,4.237,U.S Dollar,US Gallon,2022-03-04
Hawaii,HI,4.66,4.845,5.104,4.909,U.S Dollar,US Gallon,2022-03-04
Iowa,IA,3.559,3.644,4.09,3.976,U.S Dollar,US Gallon,2022-03-04
Idaho,ID,3.705,3.857,4.056,4.196,U.S Dollar,US Gallon,2022-03-04
Illinois,IL,4.101,4.387,4.771,4.165,U.S Dollar,US Gallon,2022-03-04
Indiana,IN,3.82,4.061,4.361,4.326,U.S Dollar,US Gallon,2022-03-04
Kansas,KS,3.532,3.76,4.017,3.91,U.S Dollar,US Gallon,2022-03-04
Kentucky,KY,3.615,3.823,4.12,4.157,U.S Dollar,US Gallon,2022-03-04
Louisiana,LA,3.634,3.885,4.19,4.035,U.S Dollar,US Gallon,2022-03-04
Massachusetts,MA,3.865,4.056,4.278,4.321,U.S Dollar,US Gallon,2022-03-04
Maryland,MD,3.858,4.17,4.415,4.308,U.S Dollar,US Gallon,2022-03-04
Maine,ME,3.825,4.055,4.31,4.41,U.S Dollar,US Gallon,2022-03-04
Michigan,MI,3.829,4.045,4.377,4.264,U.S Dollar,US Gallon,2022-03-04
Minnesota,MN,3.613,3.773,4.132,4.012,U.S Dollar,US Gallon,2022-03-04
Missouri,MO,3.485,3.709,3.967,3.858,U.S Dollar,US Gallon,2022-03-04
Mississippi,MS,3.518,3.761,4.078,4.001,U.S Dollar,US Gallon,2022-03-04
Montana,MT,3.655,3.891,4.148,3.955,U.S Dollar,US Gallon,2022-03-04
North Carolina,NC,3.74,4.013,4.335,4.296,U.S Dollar,US Gallon,2022-03-04
North Dakota,ND,3.584,3.779,3.993,3.982,U.S Dollar,US Gallon,2022-03-04
Nebraska,NE,3.591,3.664,4.028,3.959,U.S Dollar,US Gallon,2022-03-04
New Hampshire,NH,3.796,4.014,4.279,4.344,U.S Dollar,US Gallon,2022-03-04
New Jersey,NJ,3.89,4.128,4.317,4.367,U.S Dollar,US Gallon,2022-03-04
New Mexico,NM,3.736,4.001,4.268,4.145,U.S Dollar,US Gallon,2022-03-04
Nevada,NV,4.285,4.432,4.638,4.329,U.S Dollar,US Gallon,2022-03-04
New York,NY,4.053,4.242,4.483,4.524,U.S Dollar,US Gallon,2022-03-04
Ohio,OH,3.729,3.95,4.264,4.293,U.S Dollar,US Gallon,2022-03-04
Oklahoma,OK,3.456,3.698,3.923,3.818,U.S Dollar,US Gallon,2022-03-04
Oregon,OR,4.281,4.336,4.54,4.439,U.S Dollar,US Gallon,2022-03-04
Pennsylvania,PA,4.005,4.248,4.519,4.615,U.S Dollar,US Gallon,2022-03-04
Rhode Island,RI,3.854,4.106,4.348,4.35,U.S Dollar,US Gallon,2022-03-04
South Carolina,SC,3.685,3.977,4.283,4.221,U.S Dollar,US Gallon,2022-03-04
South Dakota,SD,3.589,3.675,4.007,3.941,U.S Dollar,US Gallon,2022-03-04
Tennessee,TN,3.667,3.949,4.263,4.202,U.S Dollar,US Gallon,2022-03-04
Texas,TX,3.491,3.749,4.037,3.983,U.S Dollar,US Gallon,2022-03-04
Utah,UT,3.671,3.843,4.029,4.252,U.S Dollar,US Gallon,2022-03-04
Virginia,VA,3.717,4.016,4.323,4.236,U.S Dollar,US Gallon,2022-03-04
Vermont,VT,3.883,4.02,4.284,4.408,U.S Dollar,US Gallon,2022-03-04
Washington,WA,4.22,4.356,4.544,4.424,U.S Dollar,US Gallon,2022-03-04
Wisconsin,WI,3.546,3.788,4.216,3.963,U.S Dollar,US Gallon,2022-03-04
West Virginia,WV,3.653,3.844,4.12,4.199,U.S Dollar,US Gallon,2022-03-04
Wyoming,WY,3.576,3.777,4.027,4.066,U.S Dollar,US Gallon,2022-03-04
