State-Name,State-Abbreviation,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,5.561,5.71,5.931,5.837,U.S Dollar,US Gallon,2022-06-11
Alabama,AL,4.628,4.947,5.301,5.639,U.S Dollar,US Gallon,2022-06-11
Arkansas,AR,4.527,4.834,5.146,5.313,U.S Dollar,US Gallon,2022-06-11
Arizona,AZ,5.311,5.574,5.843,5.819,U.S Dollar,US Gallon,2022-06-11
California,CA,6.43,6.618,6.754,6.989,U.S Dollar,US Gallon,2022-06-11
Colorado,CO,4.86,5.18,5.474,5.512,U.S Dollar,US Gallon,2022-06-11
Connecticut,CT,4.98,5.34,5.69,6.187,U.S Dollar,US Gallon,2022-06-11
District of Columbia,DC,5.24,5.72,5.992,6.167,U.S Dollar,US Gallon,2022-06-11
Delaware,DE,4.989,5.387,5.652,5.971,U.S Dollar,US Gallon,2022-06-11
Florida,FL,4.881,5.223,5.538,5.72,U.S Dollar,US Gallon,2022-06-11
Georgia,GA,4.467,4.801,5.159,5.539,U.S Dollar,US Gallon,2022-06-11
Hawaii,HI,5.527,5.727,5.977,6.081,U.S Dollar,US Gallon,2022-06-11
Iowa,IA,4.741,4.901,5.334,5.337,U.S Dollar,US Gallon,2022-06-11
Idaho,ID,5.093,5.268,5.491,5.763,U.S Dollar,US Gallon,2022-06-11
Illinois,IL,5.56,5.986,6.359,5.662,U.S Dollar,US Gallon,2022-06-11
Indiana,IN,5.228,5.57,5.893,5.875,U.S Dollar,US Gallon,2022-06-11
Kansas,KS,4.651,4.895,5.17,5.27,U.S Dollar,US Gallon,2022-06-11
Kentucky,KY,4.798,5.141,5.458,5.764,U.S Dollar,US Gallon,2022-06-11
Louisiana,LA,4.543,4.851,5.185,5.328,U.S Dollar,US Gallon,2022-06-11
Massachusetts,MA,5.044,5.403,5.688,6.217,U.S Dollar,US Gallon,2022-06-11
Maryland,MD,5.012,5.47,5.747,5.994,U.S Dollar,US Gallon,2022-06-11
Maine,ME,5.066,5.395,5.691,6.167,U.S Dollar,US Gallon,2022-06-11
Michigan,MI,5.223,5.549,5.892,5.782,U.S Dollar,US Gallon,2022-06-11
Minnesota,MN,4.753,4.965,5.322,5.444,U.S Dollar,US Gallon,2022-06-11
Missouri,MO,4.656,4.895,5.197,5.228,U.S Dollar,US Gallon,2022-06-11
Mississippi,MS,4.521,4.818,5.163,5.355,U.S Dollar,US Gallon,2022-06-11
Montana,MT,4.885,5.141,5.415,5.69,U.S Dollar,US Gallon,2022-06-11
North Carolina,NC,4.668,5,5.349,5.765,U.S Dollar,US Gallon,2022-06-11
North Dakota,ND,4.756,5.009,5.296,5.464,U.S Dollar,US Gallon,2022-06-11
Nebraska,NE,4.743,4.837,5.277,5.267,U.S Dollar,US Gallon,2022-06-11
New Hampshire,NH,4.989,5.34,5.648,6.178,U.S Dollar,US Gallon,2022-06-11
New Jersey,NJ,5.054,5.475,5.713,6.107,U.S Dollar,US Gallon,2022-06-11
New Mexico,NM,4.83,5.131,5.408,5.584,U.S Dollar,US Gallon,2022-06-11
Nevada,NV,5.642,5.861,6.058,5.998,U.S Dollar,US Gallon,2022-06-11
New York,NY,5.032,5.388,5.688,6.304,U.S Dollar,US Gallon,2022-06-11
Ohio,OH,5.056,5.392,5.729,5.95,U.S Dollar,US Gallon,2022-06-11
Oklahoma,OK,4.633,4.908,5.153,5.233,U.S Dollar,US Gallon,2022-06-11
Oregon,OR,5.537,5.705,5.904,6.16,U.S Dollar,US Gallon,2022-06-11
Pennsylvania,PA,5.069,5.39,5.667,6.186,U.S Dollar,US Gallon,2022-06-11
Rhode Island,RI,5.012,5.454,5.762,6.27,U.S Dollar,US Gallon,2022-06-11
South Carolina,SC,4.609,4.941,5.287,5.636,U.S Dollar,US Gallon,2022-06-11
South Dakota,SD,4.725,4.84,5.241,5.334,U.S Dollar,US Gallon,2022-06-11
Tennessee,TN,4.641,4.98,5.324,5.64,U.S Dollar,US Gallon,2022-06-11
Texas,TX,4.662,4.978,5.294,5.252,U.S Dollar,US Gallon,2022-06-11
Utah,UT,5.015,5.221,5.417,5.677,U.S Dollar,US Gallon,2022-06-11
Virginia,VA,4.835,5.22,5.553,5.824,U.S Dollar,US Gallon,2022-06-11
Vermont,VT,5.047,5.354,5.741,6.143,U.S Dollar,US Gallon,2022-06-11
Washington,WA,5.543,5.736,5.915,6.196,U.S Dollar,US Gallon,2022-06-11
Wisconsin,WI,4.922,5.293,5.686,5.398,U.S Dollar,US Gallon,2022-06-11
West Virginia,WV,4.905,5.176,5.445,5.883,U.S Dollar,US Gallon,2022-06-11
Wyoming,WY,4.743,4.97,5.233,5.632,U.S Dollar,US Gallon,2022-06-11
