State-Name,State-Abbreviation,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,5.214,5.28,5.495,5.144,U.S Dollar,US Gallon,2022-09-30
Alabama,AL,3.2,3.582,3.95,4.643,U.S Dollar,US Gallon,2022-09-30
Arkansas,AR,3.223,3.577,3.916,4.606,U.S Dollar,US Gallon,2022-09-30
Arizona,AZ,4.429,4.697,4.987,4.891,U.S Dollar,US Gallon,2022-09-30
California,CA,6.293,6.41,6.573,6.315,U.S Dollar,US Gallon,2022-09-30
Colorado,CO,3.71,4.053,4.34,4.656,U.S Dollar,US Gallon,2022-09-30
Connecticut,CT,3.299,3.858,4.244,4.951,U.S Dollar,US Gallon,2022-09-30
District of Columbia,DC,3.752,4.36,4.738,4.96,U.S Dollar,US Gallon,2022-09-30
Delaware,DE,3.315,3.778,4.06,4.68,U.S Dollar,US Gallon,2022-09-30
Florida,FL,3.394,3.785,4.1,4.684,U.S Dollar,US Gallon,2022-09-30
Georgia,GA,3.18,3.592,3.954,4.582,U.S Dollar,US Gallon,2022-09-30
Hawaii,HI,5.229,5.478,5.712,6.105,U.S Dollar,US Gallon,2022-09-30
Iowa,IA,3.598,3.853,4.314,4.67,U.S Dollar,US Gallon,2022-09-30
Idaho,ID,4.426,4.613,4.843,4.995,U.S Dollar,US Gallon,2022-09-30
Illinois,IL,4.154,4.584,4.985,5.04,U.S Dollar,US Gallon,2022-09-30
Indiana,IN,4.001,4.387,4.747,5.151,U.S Dollar,US Gallon,2022-09-30
Kansas,KS,3.408,3.693,4.013,4.619,U.S Dollar,US Gallon,2022-09-30
Kentucky,KY,3.398,3.776,4.125,4.771,U.S Dollar,US Gallon,2022-09-30
Louisiana,LA,3.108,3.487,3.824,4.508,U.S Dollar,US Gallon,2022-09-30
Massachusetts,MA,3.518,4.101,4.391,4.899,U.S Dollar,US Gallon,2022-09-30
Maryland,MD,3.443,3.967,4.26,4.711,U.S Dollar,US Gallon,2022-09-30
Maine,ME,3.541,3.92,4.273,4.941,U.S Dollar,US Gallon,2022-09-30
Michigan,MI,4.168,4.54,4.944,5.264,U.S Dollar,US Gallon,2022-09-30
Minnesota,MN,3.67,3.977,4.357,4.867,U.S Dollar,US Gallon,2022-09-30
Missouri,MO,3.343,3.612,3.937,4.636,U.S Dollar,US Gallon,2022-09-30
Mississippi,MS,3.067,3.433,3.78,4.503,U.S Dollar,US Gallon,2022-09-30
Montana,MT,3.956,4.24,4.508,4.876,U.S Dollar,US Gallon,2022-09-30
North Carolina,NC,3.317,3.692,4.043,4.634,U.S Dollar,US Gallon,2022-09-30
North Dakota,ND,3.69,4.039,4.4,4.697,U.S Dollar,US Gallon,2022-09-30
Nebraska,NE,3.61,3.806,4.272,4.7,U.S Dollar,US Gallon,2022-09-30
New Hampshire,NH,3.416,3.93,4.293,4.793,U.S Dollar,US Gallon,2022-09-30
New Jersey,NJ,3.443,4.022,4.299,4.776,U.S Dollar,US Gallon,2022-09-30
New Mexico,NM,3.642,3.974,4.238,4.684,U.S Dollar,US Gallon,2022-09-30
Nevada,NV,5.416,5.594,5.812,5.21,U.S Dollar,US Gallon,2022-09-30
New York,NY,3.623,4.088,4.432,5.018,U.S Dollar,US Gallon,2022-09-30
Ohio,OH,3.684,4.055,4.426,4.984,U.S Dollar,US Gallon,2022-09-30
Oklahoma,OK,3.466,3.788,4.017,4.505,U.S Dollar,US Gallon,2022-09-30
Oregon,OR,5.359,5.446,5.68,5.453,U.S Dollar,US Gallon,2022-09-30
Pennsylvania,PA,3.777,4.155,4.421,5.019,U.S Dollar,US Gallon,2022-09-30
Rhode Island,RI,3.359,3.992,4.291,4.772,U.S Dollar,US Gallon,2022-09-30
South Carolina,SC,3.271,3.661,3.986,4.627,U.S Dollar,US Gallon,2022-09-30
South Dakota,SD,3.689,3.821,4.291,4.637,U.S Dollar,US Gallon,2022-09-30
Tennessee,TN,3.201,3.576,3.934,4.587,U.S Dollar,US Gallon,2022-09-30
Texas,TX,3.111,3.486,3.816,4.422,U.S Dollar,US Gallon,2022-09-30
Utah,UT,4.171,4.392,4.588,4.8,U.S Dollar,US Gallon,2022-09-30
Virginia,VA,3.326,3.756,4.076,4.651,U.S Dollar,US Gallon,2022-09-30
Vermont,VT,3.666,4.245,4.675,4.843,U.S Dollar,US Gallon,2022-09-30
Washington,WA,5.233,5.377,5.579,5.465,U.S Dollar,US Gallon,2022-09-30
Wisconsin,WI,3.937,4.285,4.75,4.69,U.S Dollar,US Gallon,2022-09-30
West Virginia,WV,3.452,3.72,3.99,4.69,U.S Dollar,US Gallon,2022-09-30
Wyoming,WY,3.848,4.073,4.338,4.826,U.S Dollar,US Gallon,2022-09-30
