State-Name,State-Abbreviation,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,4.921,5.106,5.284,5.404,U.S Dollar,US Gallon,2022-08-16
Alabama,AL,3.534,3.924,4.3,4.761,U.S Dollar,US Gallon,2022-08-16
Arkansas,AR,3.463,3.794,4.151,4.666,U.S Dollar,US Gallon,2022-08-16
Arizona,AZ,4.108,4.409,4.677,4.974,U.S Dollar,US Gallon,2022-08-16
California,CA,5.355,5.564,5.708,6.232,U.S Dollar,US Gallon,2022-08-16
Colorado,CO,3.978,4.336,4.633,4.882,U.S Dollar,US Gallon,2022-08-16
Connecticut,CT,4.108,4.636,5.011,5.213,U.S Dollar,US Gallon,2022-08-16
District of Columbia,DC,4.173,4.682,5.079,5.312,U.S Dollar,US Gallon,2022-08-16
Delaware,DE,3.869,4.36,4.628,4.824,U.S Dollar,US Gallon,2022-08-16
Florida,FL,3.624,4.05,4.37,4.805,U.S Dollar,US Gallon,2022-08-16
Georgia,GA,3.499,3.909,4.268,4.748,U.S Dollar,US Gallon,2022-08-16
Hawaii,HI,5.348,5.572,5.803,6.079,U.S Dollar,US Gallon,2022-08-16
Iowa,IA,3.586,3.837,4.283,4.714,U.S Dollar,US Gallon,2022-08-16
Idaho,ID,4.7,4.943,5.155,5.216,U.S Dollar,US Gallon,2022-08-16
Illinois,IL,4.29,4.756,5.141,5.148,U.S Dollar,US Gallon,2022-08-16
Indiana,IN,3.894,4.277,4.608,5.235,U.S Dollar,US Gallon,2022-08-16
Kansas,KS,3.531,3.795,4.101,4.62,U.S Dollar,US Gallon,2022-08-16
Kentucky,KY,3.545,3.945,4.281,4.889,U.S Dollar,US Gallon,2022-08-16
Louisiana,LA,3.537,3.912,4.265,4.651,U.S Dollar,US Gallon,2022-08-16
Massachusetts,MA,4.258,4.781,5.066,5.322,U.S Dollar,US Gallon,2022-08-16
Maryland,MD,3.949,4.459,4.731,4.929,U.S Dollar,US Gallon,2022-08-16
Maine,ME,4.254,4.66,4.991,5.254,U.S Dollar,US Gallon,2022-08-16
Michigan,MI,3.954,4.342,4.693,5.296,U.S Dollar,US Gallon,2022-08-16
Minnesota,MN,3.865,4.222,4.577,4.975,U.S Dollar,US Gallon,2022-08-16
Missouri,MO,3.529,3.875,4.176,4.623,U.S Dollar,US Gallon,2022-08-16
Mississippi,MS,3.502,3.871,4.219,4.67,U.S Dollar,US Gallon,2022-08-16
Montana,MT,4.242,4.535,4.8,4.832,U.S Dollar,US Gallon,2022-08-16
North Carolina,NC,3.653,4.044,4.391,4.933,U.S Dollar,US Gallon,2022-08-16
North Dakota,ND,3.916,4.258,4.617,4.803,U.S Dollar,US Gallon,2022-08-16
Nebraska,NE,3.737,3.934,4.397,4.711,U.S Dollar,US Gallon,2022-08-16
New Hampshire,NH,4.109,4.598,4.927,5.244,U.S Dollar,US Gallon,2022-08-16
New Jersey,NJ,4.156,4.715,4.967,5.105,U.S Dollar,US Gallon,2022-08-16
New Mexico,NM,3.691,4.001,4.279,4.788,U.S Dollar,US Gallon,2022-08-16
Nevada,NV,4.936,5.181,5.391,5.188,U.S Dollar,US Gallon,2022-08-16
New York,NY,4.33,4.773,5.112,5.496,U.S Dollar,US Gallon,2022-08-16
Ohio,OH,3.653,4.027,4.372,5.206,U.S Dollar,US Gallon,2022-08-16
Oklahoma,OK,3.51,3.844,4.084,4.53,U.S Dollar,US Gallon,2022-08-16
Oregon,OR,4.865,5.064,5.271,5.706,U.S Dollar,US Gallon,2022-08-16
Pennsylvania,PA,4.281,4.656,4.932,5.411,U.S Dollar,US Gallon,2022-08-16
Rhode Island,RI,4.181,4.748,5.048,5.269,U.S Dollar,US Gallon,2022-08-16
South Carolina,SC,3.502,3.904,4.243,4.69,U.S Dollar,US Gallon,2022-08-16
South Dakota,SD,3.926,4.121,4.62,4.823,U.S Dollar,US Gallon,2022-08-16
Tennessee,TN,3.494,3.866,4.231,4.729,U.S Dollar,US Gallon,2022-08-16
Texas,TX,3.459,3.821,4.158,4.523,U.S Dollar,US Gallon,2022-08-16
Utah,UT,4.601,4.825,5.022,4.943,U.S Dollar,US Gallon,2022-08-16
Virginia,VA,3.751,4.19,4.505,4.938,U.S Dollar,US Gallon,2022-08-16
Vermont,VT,4.311,4.806,5.201,5.029,U.S Dollar,US Gallon,2022-08-16
Washington,WA,4.804,5.036,5.227,5.642,U.S Dollar,US Gallon,2022-08-16
Wisconsin,WI,3.723,4.099,4.53,4.78,U.S Dollar,US Gallon,2022-08-16
West Virginia,WV,3.982,4.255,4.514,5.197,U.S Dollar,US Gallon,2022-08-16
Wyoming,WY,4.097,4.305,4.608,4.977,U.S Dollar,US Gallon,2022-08-16
