State-Name,State-Abbreviation,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,4.902,5.074,5.263,5.37,U.S Dollar,US Gallon,2022-08-20
Alabama,AL,3.483,3.872,4.249,4.72,U.S Dollar,US Gallon,2022-08-20
Arkansas,AR,3.417,3.778,4.11,4.637,U.S Dollar,US Gallon,2022-08-20
Arizona,AZ,4.048,4.349,4.618,4.953,U.S Dollar,US Gallon,2022-08-20
California,CA,5.325,5.536,5.682,6.228,U.S Dollar,US Gallon,2022-08-20
Colorado,CO,3.913,4.271,4.565,4.827,U.S Dollar,US Gallon,2022-08-20
Connecticut,CT,4.039,4.583,4.952,5.166,U.S Dollar,US Gallon,2022-08-20
District of Columbia,DC,4.118,4.653,5.076,5.235,U.S Dollar,US Gallon,2022-08-20
Delaware,DE,3.813,4.326,4.583,4.792,U.S Dollar,US Gallon,2022-08-20
Florida,FL,3.546,3.97,4.294,4.733,U.S Dollar,US Gallon,2022-08-20
Georgia,GA,3.442,3.858,4.221,4.704,U.S Dollar,US Gallon,2022-08-20
Hawaii,HI,5.331,5.548,5.813,6.094,U.S Dollar,US Gallon,2022-08-20
Iowa,IA,3.566,3.822,4.27,4.691,U.S Dollar,US Gallon,2022-08-20
Idaho,ID,4.658,4.888,5.114,5.177,U.S Dollar,US Gallon,2022-08-20
Illinois,IL,4.269,4.761,5.156,5.11,U.S Dollar,US Gallon,2022-08-20
Indiana,IN,3.922,4.332,4.665,5.199,U.S Dollar,US Gallon,2022-08-20
Kansas,KS,3.493,3.772,4.076,4.602,U.S Dollar,US Gallon,2022-08-20
Kentucky,KY,3.511,3.913,4.246,4.852,U.S Dollar,US Gallon,2022-08-20
Louisiana,LA,3.468,3.86,4.194,4.612,U.S Dollar,US Gallon,2022-08-20
Massachusetts,MA,4.187,4.722,5.005,5.254,U.S Dollar,US Gallon,2022-08-20
Maryland,MD,3.898,4.414,4.682,4.886,U.S Dollar,US Gallon,2022-08-20
Maine,ME,4.185,4.571,4.908,5.209,U.S Dollar,US Gallon,2022-08-20
Michigan,MI,3.911,4.303,4.67,5.245,U.S Dollar,US Gallon,2022-08-20
Minnesota,MN,3.837,4.185,4.549,4.948,U.S Dollar,US Gallon,2022-08-20
Missouri,MO,3.479,3.822,4.123,4.586,U.S Dollar,US Gallon,2022-08-20
Mississippi,MS,3.442,3.815,4.16,4.622,U.S Dollar,US Gallon,2022-08-20
Montana,MT,4.205,4.496,4.773,4.804,U.S Dollar,US Gallon,2022-08-20
North Carolina,NC,3.604,3.991,4.337,4.891,U.S Dollar,US Gallon,2022-08-20
North Dakota,ND,3.897,4.213,4.591,4.784,U.S Dollar,US Gallon,2022-08-20
Nebraska,NE,3.697,3.881,4.325,4.702,U.S Dollar,US Gallon,2022-08-20
New Hampshire,NH,4.048,4.537,4.863,5.17,U.S Dollar,US Gallon,2022-08-20
New Jersey,NJ,4.084,4.663,4.903,5.043,U.S Dollar,US Gallon,2022-08-20
New Mexico,NM,3.657,3.969,4.242,4.756,U.S Dollar,US Gallon,2022-08-20
Nevada,NV,4.919,5.174,5.369,5.141,U.S Dollar,US Gallon,2022-08-20
New York,NY,4.263,4.716,5.05,5.425,U.S Dollar,US Gallon,2022-08-20
Ohio,OH,3.67,4.057,4.409,5.168,U.S Dollar,US Gallon,2022-08-20
Oklahoma,OK,3.518,3.843,4.098,4.545,U.S Dollar,US Gallon,2022-08-20
Oregon,OR,4.825,5.031,5.253,5.67,U.S Dollar,US Gallon,2022-08-20
Pennsylvania,PA,4.231,4.618,4.889,5.352,U.S Dollar,US Gallon,2022-08-20
Rhode Island,RI,4.102,4.682,4.961,5.172,U.S Dollar,US Gallon,2022-08-20
South Carolina,SC,3.472,3.866,4.215,4.679,U.S Dollar,US Gallon,2022-08-20
South Dakota,SD,3.893,4.073,4.548,4.79,U.S Dollar,US Gallon,2022-08-20
Tennessee,TN,3.452,3.834,4.198,4.692,U.S Dollar,US Gallon,2022-08-20
Texas,TX,3.445,3.821,4.152,4.509,U.S Dollar,US Gallon,2022-08-20
Utah,UT,4.546,4.763,4.964,4.898,U.S Dollar,US Gallon,2022-08-20
Virginia,VA,3.703,4.144,4.47,4.904,U.S Dollar,US Gallon,2022-08-20
Vermont,VT,4.228,4.732,5.147,5.003,U.S Dollar,US Gallon,2022-08-20
Washington,WA,4.778,5.012,5.2,5.613,U.S Dollar,US Gallon,2022-08-20
Wisconsin,WI,3.69,4.103,4.51,4.763,U.S Dollar,US Gallon,2022-08-20
West Virginia,WV,3.895,4.192,4.445,5.129,U.S Dollar,US Gallon,2022-08-20
Wyoming,WY,4.042,4.271,4.519,4.917,U.S Dollar,US Gallon,2022-08-20
