State-Name,State-Abbreviation,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,3.492,3.708,3.91,3.84,U.S Dollar,US Gallon,2024-02-04
Alabama,AL,2.899,3.312,3.701,3.784,U.S Dollar,US Gallon,2024-02-04
Arkansas,AR,2.771,3.165,3.543,3.572,U.S Dollar,US Gallon,2024-02-04
Arizona,AZ,3.263,3.575,3.876,3.88,U.S Dollar,US Gallon,2024-02-04
California,CA,4.568,4.784,4.946,5.289,U.S Dollar,US Gallon,2024-02-04
Colorado,CO,2.777,3.152,3.464,3.428,U.S Dollar,US Gallon,2024-02-04
Connecticut,CT,3.213,3.778,4.18,4.215,U.S Dollar,US Gallon,2024-02-04
District of Columbia,DC,3.324,3.882,4.274,4.276,U.S Dollar,US Gallon,2024-02-04
Delaware,DE,3.158,3.659,3.958,3.942,U.S Dollar,US Gallon,2024-02-04
Florida,FL,3.232,3.647,3.973,3.929,U.S Dollar,US Gallon,2024-02-04
Georgia,GA,3.028,3.466,3.852,3.961,U.S Dollar,US Gallon,2024-02-04
Hawaii,HI,4.676,4.892,5.151,5.583,U.S Dollar,US Gallon,2024-02-04
Iowa,IA,2.851,3.147,3.618,3.545,U.S Dollar,US Gallon,2024-02-04
Idaho,ID,2.884,3.092,3.336,3.731,U.S Dollar,US Gallon,2024-02-04
Illinois,IL,3.188,3.676,4.116,3.843,U.S Dollar,US Gallon,2024-02-04
Indiana,IN,2.864,3.363,3.818,3.858,U.S Dollar,US Gallon,2024-02-04
Kansas,KS,2.763,3.081,3.401,3.555,U.S Dollar,US Gallon,2024-02-04
Kentucky,KY,2.801,3.284,3.677,3.656,U.S Dollar,US Gallon,2024-02-04
Louisiana,LA,2.859,3.263,3.638,3.661,U.S Dollar,US Gallon,2024-02-04
Massachusetts,MA,3.151,3.739,4.08,4.17,U.S Dollar,US Gallon,2024-02-04
Maryland,MD,3.197,3.763,4.063,4.041,U.S Dollar,US Gallon,2024-02-04
Maine,ME,3.2,3.632,4.052,4.374,U.S Dollar,US Gallon,2024-02-04
Michigan,MI,2.999,3.516,4.008,3.843,U.S Dollar,US Gallon,2024-02-04
Minnesota,MN,2.917,3.256,3.652,3.704,U.S Dollar,US Gallon,2024-02-04
Missouri,MO,2.809,3.149,3.462,3.478,U.S Dollar,US Gallon,2024-02-04
Mississippi,MS,2.759,3.149,3.523,3.604,U.S Dollar,US Gallon,2024-02-04
Montana,MT,2.892,3.182,3.5,3.498,U.S Dollar,US Gallon,2024-02-04
North Carolina,NC,3.004,3.425,3.801,3.896,U.S Dollar,US Gallon,2024-02-04
North Dakota,ND,2.826,3.117,3.494,3.702,U.S Dollar,US Gallon,2024-02-04
Nebraska,NE,2.842,3.063,3.522,3.508,U.S Dollar,US Gallon,2024-02-04
New Hampshire,NH,3.09,3.562,3.979,4.15,U.S Dollar,US Gallon,2024-02-04
New Jersey,NJ,3.148,3.728,4.003,4.03,U.S Dollar,US Gallon,2024-02-04
New Mexico,NM,2.858,3.213,3.505,3.722,U.S Dollar,US Gallon,2024-02-04
Nevada,NV,3.853,4.106,4.355,4.063,U.S Dollar,US Gallon,2024-02-04
New York,NY,3.278,3.783,4.168,4.4,U.S Dollar,US Gallon,2024-02-04
Ohio,OH,3.014,3.491,3.953,3.804,U.S Dollar,US Gallon,2024-02-04
Oklahoma,OK,2.693,3.03,3.301,3.365,U.S Dollar,US Gallon,2024-02-04
Oregon,OR,3.604,3.81,4.034,4.143,U.S Dollar,US Gallon,2024-02-04
Pennsylvania,PA,3.377,3.779,4.104,4.467,U.S Dollar,US Gallon,2024-02-04
Rhode Island,RI,3.099,3.745,4.076,4.178,U.S Dollar,US Gallon,2024-02-04
South Carolina,SC,2.927,3.347,3.708,3.768,U.S Dollar,US Gallon,2024-02-04
South Dakota,SD,2.818,3.001,3.471,3.583,U.S Dollar,US Gallon,2024-02-04
Tennessee,TN,2.853,3.268,3.636,3.722,U.S Dollar,US Gallon,2024-02-04
Texas,TX,2.849,3.274,3.61,3.618,U.S Dollar,US Gallon,2024-02-04
Utah,UT,2.767,3,3.202,3.614,U.S Dollar,US Gallon,2024-02-04
Virginia,VA,3.052,3.493,3.853,3.957,U.S Dollar,US Gallon,2024-02-04
Vermont,VT,3.224,3.78,4.161,4.228,U.S Dollar,US Gallon,2024-02-04
Washington,WA,3.919,4.162,4.384,4.695,U.S Dollar,US Gallon,2024-02-04
Wisconsin,WI,2.768,3.195,3.664,3.596,U.S Dollar,US Gallon,2024-02-04
West Virginia,WV,3.02,3.396,3.762,3.887,U.S Dollar,US Gallon,2024-02-04
Wyoming,WY,2.679,2.934,3.224,3.621,U.S Dollar,US Gallon,2024-02-04
