State-Name,State-Abbreviation,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,3.561,3.752,3.967,3.917,U.S Dollar,US Gallon,2024-01-14
Alabama,AL,2.817,3.248,3.631,3.744,U.S Dollar,US Gallon,2024-01-14
Arkansas,AR,2.623,3.022,3.408,3.602,U.S Dollar,US Gallon,2024-01-14
Arizona,AZ,3.178,3.499,3.781,3.935,U.S Dollar,US Gallon,2024-01-14
California,CA,4.574,4.787,4.946,5.352,U.S Dollar,US Gallon,2024-01-14
Colorado,CO,2.698,3.067,3.375,3.559,U.S Dollar,US Gallon,2024-01-14
Connecticut,CT,3.154,3.74,4.151,4.242,U.S Dollar,US Gallon,2024-01-14
District of Columbia,DC,3.193,3.783,4.218,4.162,U.S Dollar,US Gallon,2024-01-14
Delaware,DE,2.922,3.456,3.754,3.803,U.S Dollar,US Gallon,2024-01-14
Florida,FL,3.092,3.517,3.843,3.826,U.S Dollar,US Gallon,2024-01-14
Georgia,GA,2.958,3.399,3.784,3.941,U.S Dollar,US Gallon,2024-01-14
Hawaii,HI,4.674,4.873,5.124,5.595,U.S Dollar,US Gallon,2024-01-14
Iowa,IA,2.724,3.109,3.53,3.584,U.S Dollar,US Gallon,2024-01-14
Idaho,ID,3.051,3.236,3.507,3.922,U.S Dollar,US Gallon,2024-01-14
Illinois,IL,3.124,3.62,4.054,3.847,U.S Dollar,US Gallon,2024-01-14
Indiana,IN,2.904,3.398,3.85,3.874,U.S Dollar,US Gallon,2024-01-14
Kansas,KS,2.661,2.958,3.283,3.618,U.S Dollar,US Gallon,2024-01-14
Kentucky,KY,2.797,3.256,3.664,3.682,U.S Dollar,US Gallon,2024-01-14
Louisiana,LA,2.764,3.189,3.567,3.578,U.S Dollar,US Gallon,2024-01-14
Massachusetts,MA,3.14,3.743,4.084,4.178,U.S Dollar,US Gallon,2024-01-14
Maryland,MD,3.058,3.623,3.929,3.888,U.S Dollar,US Gallon,2024-01-14
Maine,ME,3.177,3.586,3.993,4.311,U.S Dollar,US Gallon,2024-01-14
Michigan,MI,2.957,3.462,3.955,3.875,U.S Dollar,US Gallon,2024-01-14
Minnesota,MN,2.789,3.129,3.532,3.788,U.S Dollar,US Gallon,2024-01-14
Missouri,MO,2.622,2.981,3.287,3.521,U.S Dollar,US Gallon,2024-01-14
Mississippi,MS,2.68,3.085,3.468,3.551,U.S Dollar,US Gallon,2024-01-14
Montana,MT,2.905,3.192,3.516,3.636,U.S Dollar,US Gallon,2024-01-14
North Carolina,NC,2.9,3.326,3.708,3.856,U.S Dollar,US Gallon,2024-01-14
North Dakota,ND,2.799,3.098,3.494,3.882,U.S Dollar,US Gallon,2024-01-14
Nebraska,NE,2.747,3.016,3.433,3.607,U.S Dollar,US Gallon,2024-01-14
New Hampshire,NH,3.056,3.542,3.967,4.138,U.S Dollar,US Gallon,2024-01-14
New Jersey,NJ,3.043,3.653,3.933,4.029,U.S Dollar,US Gallon,2024-01-14
New Mexico,NM,2.798,3.18,3.462,3.795,U.S Dollar,US Gallon,2024-01-14
Nevada,NV,3.823,4.076,4.317,4.103,U.S Dollar,US Gallon,2024-01-14
New York,NY,3.285,3.811,4.188,4.425,U.S Dollar,US Gallon,2024-01-14
Ohio,OH,2.831,3.303,3.765,3.811,U.S Dollar,US Gallon,2024-01-14
Oklahoma,OK,2.574,2.923,3.193,3.413,U.S Dollar,US Gallon,2024-01-14
Oregon,OR,3.668,3.899,4.1,4.252,U.S Dollar,US Gallon,2024-01-14
Pennsylvania,PA,3.331,3.737,4.051,4.473,U.S Dollar,US Gallon,2024-01-14
Rhode Island,RI,3.042,3.725,4.06,4.214,U.S Dollar,US Gallon,2024-01-14
South Carolina,SC,2.824,3.25,3.603,3.703,U.S Dollar,US Gallon,2024-01-14
South Dakota,SD,2.87,3.062,3.552,3.745,U.S Dollar,US Gallon,2024-01-14
Tennessee,TN,2.732,3.146,3.518,3.672,U.S Dollar,US Gallon,2024-01-14
Texas,TX,2.663,3.093,3.432,3.471,U.S Dollar,US Gallon,2024-01-14
Utah,UT,2.759,2.977,3.194,3.711,U.S Dollar,US Gallon,2024-01-14
Virginia,VA,2.917,3.369,3.731,3.905,U.S Dollar,US Gallon,2024-01-14
Vermont,VT,3.229,3.78,4.21,4.265,U.S Dollar,US Gallon,2024-01-14
Washington,WA,4.019,4.262,4.465,4.819,U.S Dollar,US Gallon,2024-01-14
Wisconsin,WI,2.767,3.21,3.643,3.631,U.S Dollar,US Gallon,2024-01-14
West Virginia,WV,2.879,3.216,3.583,3.908,U.S Dollar,US Gallon,2024-01-14
Wyoming,WY,2.739,3.008,3.282,3.783,U.S Dollar,US Gallon,2024-01-14
