State-Name,State-Abbreviation,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,4.319,4.571,4.773,4.618,U.S Dollar,US Gallon,2023-10-25
Alabama,AL,3.087,3.486,3.867,4.172,U.S Dollar,US Gallon,2023-10-25
Arkansas,AR,3.129,3.522,3.889,4.283,U.S Dollar,US Gallon,2023-10-25
Arizona,AZ,4.126,4.45,4.738,4.697,U.S Dollar,US Gallon,2023-10-25
California,CA,5.387,5.622,5.776,6.22,U.S Dollar,US Gallon,2023-10-25
Colorado,CO,3.659,4.057,4.348,4.72,U.S Dollar,US Gallon,2023-10-25
Connecticut,CT,3.62,4.192,4.589,4.575,U.S Dollar,US Gallon,2023-10-25
District of Columbia,DC,3.692,4.264,4.69,4.598,U.S Dollar,US Gallon,2023-10-25
Delaware,DE,3.201,3.725,4.011,4.298,U.S Dollar,US Gallon,2023-10-25
Florida,FL,3.323,3.729,4.055,4.361,U.S Dollar,US Gallon,2023-10-25
Georgia,GA,3.005,3.442,3.824,4.088,U.S Dollar,US Gallon,2023-10-25
Hawaii,HI,4.772,4.967,5.215,5.751,U.S Dollar,US Gallon,2023-10-25
Iowa,IA,3.295,3.607,4.074,4.677,U.S Dollar,US Gallon,2023-10-25
Idaho,ID,3.925,4.158,4.392,4.682,U.S Dollar,US Gallon,2023-10-25
Illinois,IL,3.617,4.122,4.557,4.3,U.S Dollar,US Gallon,2023-10-25
Indiana,IN,3.359,3.841,4.298,4.367,U.S Dollar,US Gallon,2023-10-25
Kansas,KS,3.365,3.666,3.988,4.724,U.S Dollar,US Gallon,2023-10-25
Kentucky,KY,3.191,3.672,4.067,4.204,U.S Dollar,US Gallon,2023-10-25
Louisiana,LA,3.084,3.485,3.854,4.072,U.S Dollar,US Gallon,2023-10-25
Massachusetts,MA,3.599,4.166,4.51,4.494,U.S Dollar,US Gallon,2023-10-25
Maryland,MD,3.369,3.929,4.216,4.412,U.S Dollar,US Gallon,2023-10-25
Maine,ME,3.6,4.024,4.429,4.49,U.S Dollar,US Gallon,2023-10-25
Michigan,MI,3.369,3.871,4.362,4.309,U.S Dollar,US Gallon,2023-10-25
Minnesota,MN,3.434,3.759,4.164,4.865,U.S Dollar,US Gallon,2023-10-25
Missouri,MO,3.217,3.54,3.868,4.425,U.S Dollar,US Gallon,2023-10-25
Mississippi,MS,3.02,3.417,3.763,4.013,U.S Dollar,US Gallon,2023-10-25
Montana,MT,3.878,4.178,4.464,4.814,U.S Dollar,US Gallon,2023-10-25
North Carolina,NC,3.237,3.641,4.014,4.248,U.S Dollar,US Gallon,2023-10-25
North Dakota,ND,3.651,3.988,4.335,4.912,U.S Dollar,US Gallon,2023-10-25
Nebraska,NE,3.452,3.671,4.1,4.727,U.S Dollar,US Gallon,2023-10-25
New Hampshire,NH,3.502,3.971,4.375,4.388,U.S Dollar,US Gallon,2023-10-25
New Jersey,NJ,3.433,4.044,4.322,4.487,U.S Dollar,US Gallon,2023-10-25
New Mexico,NM,3.484,3.836,4.13,4.568,U.S Dollar,US Gallon,2023-10-25
Nevada,NV,4.666,4.941,5.174,5.053,U.S Dollar,US Gallon,2023-10-25
New York,NY,3.772,4.271,4.641,4.698,U.S Dollar,US Gallon,2023-10-25
Ohio,OH,3.224,3.694,4.155,4.3,U.S Dollar,US Gallon,2023-10-25
Oklahoma,OK,3.232,3.558,3.845,4.681,U.S Dollar,US Gallon,2023-10-25
Oregon,OR,4.418,4.646,4.875,4.975,U.S Dollar,US Gallon,2023-10-25
Pennsylvania,PA,3.722,4.128,4.45,4.769,U.S Dollar,US Gallon,2023-10-25
Rhode Island,RI,3.536,4.177,4.513,4.503,U.S Dollar,US Gallon,2023-10-25
South Carolina,SC,3.109,3.52,3.877,4.183,U.S Dollar,US Gallon,2023-10-25
South Dakota,SD,3.544,3.718,4.209,4.766,U.S Dollar,US Gallon,2023-10-25
Tennessee,TN,3.142,3.559,3.935,4.193,U.S Dollar,US Gallon,2023-10-25
Texas,TX,3.031,3.456,3.785,4.002,U.S Dollar,US Gallon,2023-10-25
Utah,UT,3.808,4.044,4.242,4.539,U.S Dollar,US Gallon,2023-10-25
Virginia,VA,3.33,3.771,4.124,4.296,U.S Dollar,US Gallon,2023-10-25
Vermont,VT,3.648,4.141,4.557,4.487,U.S Dollar,US Gallon,2023-10-25
Washington,WA,4.761,5.032,5.225,5.477,U.S Dollar,US Gallon,2023-10-25
Wisconsin,WI,3.258,3.723,4.154,4.255,U.S Dollar,US Gallon,2023-10-25
West Virginia,WV,3.383,3.723,4.079,4.247,U.S Dollar,US Gallon,2023-10-25
Wyoming,WY,3.657,3.922,4.204,4.757,U.S Dollar,US Gallon,2023-10-25
