State-Name,State-Abbreviation,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,3.719,3.87,4.068,3.542,U.S Dollar,US Gallon,2021-10-27
Alabama,AL,3.202,3.52,3.84,3.462,U.S Dollar,US Gallon,2021-10-27
Arkansas,AR,3.054,3.347,3.638,3.398,U.S Dollar,US Gallon,2021-10-27
Arizona,AZ,3.483,3.745,3.999,3.647,U.S Dollar,US Gallon,2021-10-27
California,CA,4.564,4.745,4.871,4.684,U.S Dollar,US Gallon,2021-10-27
Colorado,CO,3.518,3.853,4.14,3.488,U.S Dollar,US Gallon,2021-10-27
Connecticut,CT,3.518,3.8,4.01,3.677,U.S Dollar,US Gallon,2021-10-27
District of Columbia,DC,3.588,4.035,4.171,3.646,U.S Dollar,US Gallon,2021-10-27
Delaware,DE,3.351,3.712,3.94,3.577,U.S Dollar,US Gallon,2021-10-27
Florida,FL,3.315,3.656,3.962,3.571,U.S Dollar,US Gallon,2021-10-27
Georgia,GA,3.248,3.577,3.905,3.52,U.S Dollar,US Gallon,2021-10-27
Hawaii,HI,4.292,4.471,4.723,4.623,U.S Dollar,US Gallon,2021-10-27
Iowa,IA,3.167,3.297,3.698,3.439,U.S Dollar,US Gallon,2021-10-27
Idaho,ID,3.711,3.898,4.075,3.912,U.S Dollar,US Gallon,2021-10-27
Illinois,IL,3.575,3.913,4.302,3.632,U.S Dollar,US Gallon,2021-10-27
Indiana,IN,3.323,3.648,3.969,3.699,U.S Dollar,US Gallon,2021-10-27
Kansas,KS,3.099,3.346,3.599,3.386,U.S Dollar,US Gallon,2021-10-27
Kentucky,KY,3.105,3.421,3.728,3.394,U.S Dollar,US Gallon,2021-10-27
Louisiana,LA,3.163,3.469,3.777,3.331,U.S Dollar,US Gallon,2021-10-27
Massachusetts,MA,3.365,3.631,3.849,3.528,U.S Dollar,US Gallon,2021-10-27
Maryland,MD,3.37,3.767,4.004,3.6,U.S Dollar,US Gallon,2021-10-27
Maine,ME,3.379,3.663,3.922,3.545,U.S Dollar,US Gallon,2021-10-27
Michigan,MI,3.283,3.604,3.943,3.536,U.S Dollar,US Gallon,2021-10-27
Minnesota,MN,3.142,3.36,3.688,3.467,U.S Dollar,US Gallon,2021-10-27
Missouri,MO,3.099,3.34,3.61,3.339,U.S Dollar,US Gallon,2021-10-27
Mississippi,MS,3.084,3.37,3.696,3.303,U.S Dollar,US Gallon,2021-10-27
Montana,MT,3.407,3.667,3.915,3.687,U.S Dollar,US Gallon,2021-10-27
North Carolina,NC,3.253,3.589,3.929,3.52,U.S Dollar,US Gallon,2021-10-27
North Dakota,ND,3.191,3.404,3.623,3.503,U.S Dollar,US Gallon,2021-10-27
Nebraska,NE,3.202,3.292,3.653,3.442,U.S Dollar,US Gallon,2021-10-27
New Hampshire,NH,3.33,3.622,3.888,3.49,U.S Dollar,US Gallon,2021-10-27
New Jersey,NJ,3.449,3.795,3.97,3.693,U.S Dollar,US Gallon,2021-10-27
New Mexico,NM,3.312,3.601,3.87,3.552,U.S Dollar,US Gallon,2021-10-27
Nevada,NV,3.934,4.159,4.337,3.923,U.S Dollar,US Gallon,2021-10-27
New York,NY,3.541,3.823,4.058,3.733,U.S Dollar,US Gallon,2021-10-27
Ohio,OH,3.193,3.516,3.848,3.652,U.S Dollar,US Gallon,2021-10-27
Oklahoma,OK,3.02,3.29,3.514,3.301,U.S Dollar,US Gallon,2021-10-27
Oregon,OR,3.787,3.948,4.143,3.782,U.S Dollar,US Gallon,2021-10-27
Pennsylvania,PA,3.57,3.877,4.161,3.972,U.S Dollar,US Gallon,2021-10-27
Rhode Island,RI,3.372,3.691,3.925,3.544,U.S Dollar,US Gallon,2021-10-27
South Carolina,SC,3.182,3.524,3.843,3.445,U.S Dollar,US Gallon,2021-10-27
South Dakota,SD,3.308,3.409,3.747,3.513,U.S Dollar,US Gallon,2021-10-27
Tennessee,TN,3.165,3.496,3.814,3.451,U.S Dollar,US Gallon,2021-10-27
Texas,TX,3.049,3.365,3.659,3.308,U.S Dollar,US Gallon,2021-10-27
Utah,UT,3.735,3.932,4.111,3.908,U.S Dollar,US Gallon,2021-10-27
Virginia,VA,3.29,3.647,3.96,3.54,U.S Dollar,US Gallon,2021-10-27
Vermont,VT,3.406,3.636,3.897,3.573,U.S Dollar,US Gallon,2021-10-27
Washington,WA,3.879,4.094,4.263,3.853,U.S Dollar,US Gallon,2021-10-27
Wisconsin,WI,3.143,3.472,3.852,3.452,U.S Dollar,US Gallon,2021-10-27
West Virginia,WV,3.279,3.56,3.855,3.616,U.S Dollar,US Gallon,2021-10-27
Wyoming,WY,3.508,3.727,3.98,3.722,U.S Dollar,US Gallon,2021-10-27
