State-Name,State-Abbreviation,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,3.684,3.871,4.029,3.376,U.S Dollar,US Gallon,2021-10-04
Alabama,AL,2.878,3.208,3.548,3.117,U.S Dollar,US Gallon,2021-10-04
Arkansas,AR,2.844,3.141,3.433,3.115,U.S Dollar,US Gallon,2021-10-04
Arizona,AZ,3.221,3.485,3.744,3.293,U.S Dollar,US Gallon,2021-10-04
California,CA,4.409,4.595,4.723,4.421,U.S Dollar,US Gallon,2021-10-04
Colorado,CO,3.532,3.869,4.165,3.444,U.S Dollar,US Gallon,2021-10-04
Connecticut,CT,3.214,3.519,3.739,3.368,U.S Dollar,US Gallon,2021-10-04
District of Columbia,DC,3.319,3.781,3.915,3.322,U.S Dollar,US Gallon,2021-10-04
Delaware,DE,3.081,3.476,3.725,3.283,U.S Dollar,US Gallon,2021-10-04
Florida,FL,3.047,3.398,3.706,3.206,U.S Dollar,US Gallon,2021-10-04
Georgia,GA,2.989,3.324,3.66,3.222,U.S Dollar,US Gallon,2021-10-04
Hawaii,HI,4.082,4.281,4.524,4.379,U.S Dollar,US Gallon,2021-10-04
Iowa,IA,3.007,3.166,3.598,3.191,U.S Dollar,US Gallon,2021-10-04
Idaho,ID,3.734,3.931,4.123,3.683,U.S Dollar,US Gallon,2021-10-04
Illinois,IL,3.4,3.762,4.149,3.428,U.S Dollar,US Gallon,2021-10-04
Indiana,IN,3.109,3.443,3.765,3.457,U.S Dollar,US Gallon,2021-10-04
Kansas,KS,2.938,3.189,3.442,3.149,U.S Dollar,US Gallon,2021-10-04
Kentucky,KY,2.922,3.247,3.556,3.155,U.S Dollar,US Gallon,2021-10-04
Louisiana,LA,2.907,3.204,3.517,3.045,U.S Dollar,US Gallon,2021-10-04
Massachusetts,MA,3.102,3.382,3.606,3.236,U.S Dollar,US Gallon,2021-10-04
Maryland,MD,3.107,3.534,3.802,3.276,U.S Dollar,US Gallon,2021-10-04
Maine,ME,3.119,3.419,3.684,3.243,U.S Dollar,US Gallon,2021-10-04
Michigan,MI,3.203,3.532,3.866,3.386,U.S Dollar,US Gallon,2021-10-04
Minnesota,MN,3.049,3.284,3.609,3.285,U.S Dollar,US Gallon,2021-10-04
Missouri,MO,2.88,3.143,3.408,3.057,U.S Dollar,US Gallon,2021-10-04
Mississippi,MS,2.82,3.113,3.435,2.996,U.S Dollar,US Gallon,2021-10-04
Montana,MT,3.346,3.591,3.866,3.468,U.S Dollar,US Gallon,2021-10-04
North Carolina,NC,3.013,3.354,3.705,3.224,U.S Dollar,US Gallon,2021-10-04
North Dakota,ND,3.071,3.299,3.538,3.263,U.S Dollar,US Gallon,2021-10-04
Nebraska,NE,3.02,3.148,3.512,3.216,U.S Dollar,US Gallon,2021-10-04
New Hampshire,NH,3.044,3.361,3.632,3.161,U.S Dollar,US Gallon,2021-10-04
New Jersey,NJ,3.227,3.592,3.769,3.407,U.S Dollar,US Gallon,2021-10-04
New Mexico,NM,3.12,3.422,3.697,3.287,U.S Dollar,US Gallon,2021-10-04
Nevada,NV,3.889,4.117,4.292,3.862,U.S Dollar,US Gallon,2021-10-04
New York,NY,3.275,3.571,3.807,3.431,U.S Dollar,US Gallon,2021-10-04
Ohio,OH,3.121,3.426,3.756,3.436,U.S Dollar,US Gallon,2021-10-04
Oklahoma,OK,2.847,3.105,3.338,3.071,U.S Dollar,US Gallon,2021-10-04
Oregon,OR,3.728,3.899,4.089,3.684,U.S Dollar,US Gallon,2021-10-04
Pennsylvania,PA,3.338,3.656,3.947,3.674,U.S Dollar,US Gallon,2021-10-04
Rhode Island,RI,3.084,3.416,3.657,3.222,U.S Dollar,US Gallon,2021-10-04
South Carolina,SC,2.919,3.268,3.596,3.132,U.S Dollar,US Gallon,2021-10-04
South Dakota,SD,3.148,3.3,3.684,3.319,U.S Dollar,US Gallon,2021-10-04
Tennessee,TN,2.898,3.231,3.57,3.161,U.S Dollar,US Gallon,2021-10-04
Texas,TX,2.817,3.137,3.435,2.99,U.S Dollar,US Gallon,2021-10-04
Utah,UT,3.717,3.917,4.102,3.648,U.S Dollar,US Gallon,2021-10-04
Virginia,VA,3.016,3.401,3.724,3.18,U.S Dollar,US Gallon,2021-10-04
Vermont,VT,3.132,3.415,3.668,3.253,U.S Dollar,US Gallon,2021-10-04
Washington,WA,3.847,4.058,4.229,3.734,U.S Dollar,US Gallon,2021-10-04
Wisconsin,WI,3.024,3.354,3.741,3.244,U.S Dollar,US Gallon,2021-10-04
West Virginia,WV,3.102,3.398,3.69,3.31,U.S Dollar,US Gallon,2021-10-04
Wyoming,WY,3.506,3.732,3.98,3.669,U.S Dollar,US Gallon,2021-10-04
