State-Name,State-Abbreviation,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,4.619,4.802,5.022,4.783,U.S Dollar,US Gallon,2023-09-19
Alabama,AL,3.424,3.809,4.188,4.327,U.S Dollar,US Gallon,2023-09-19
Arkansas,AR,3.468,3.841,4.222,4.253,U.S Dollar,US Gallon,2023-09-19
Arizona,AZ,4.607,4.868,5.153,5.013,U.S Dollar,US Gallon,2023-09-19
California,CA,5.76,5.937,6.101,6.394,U.S Dollar,US Gallon,2023-09-19
Colorado,CO,4.011,4.385,4.688,4.424,U.S Dollar,US Gallon,2023-09-19
Connecticut,CT,3.863,4.351,4.745,4.613,U.S Dollar,US Gallon,2023-09-19
District of Columbia,DC,3.917,4.471,4.839,4.715,U.S Dollar,US Gallon,2023-09-19
Delaware,DE,3.676,4.178,4.47,4.557,U.S Dollar,US Gallon,2023-09-19
Florida,FL,3.682,4.08,4.399,4.607,U.S Dollar,US Gallon,2023-09-19
Georgia,GA,3.369,3.77,4.155,4.275,U.S Dollar,US Gallon,2023-09-19
Hawaii,HI,4.822,4.996,5.264,5.705,U.S Dollar,US Gallon,2023-09-19
Iowa,IA,3.834,4.134,4.597,4.332,U.S Dollar,US Gallon,2023-09-19
Idaho,ID,4.147,4.364,4.609,4.902,U.S Dollar,US Gallon,2023-09-19
Illinois,IL,3.944,4.435,4.859,4.358,U.S Dollar,US Gallon,2023-09-19
Indiana,IN,3.617,4.11,4.559,4.525,U.S Dollar,US Gallon,2023-09-19
Kansas,KS,3.732,4.035,4.344,4.317,U.S Dollar,US Gallon,2023-09-19
Kentucky,KY,3.512,3.975,4.383,4.3,U.S Dollar,US Gallon,2023-09-19
Louisiana,LA,3.398,3.769,4.129,4.23,U.S Dollar,US Gallon,2023-09-19
Massachusetts,MA,3.781,4.285,4.632,4.515,U.S Dollar,US Gallon,2023-09-19
Maryland,MD,3.704,4.23,4.543,4.547,U.S Dollar,US Gallon,2023-09-19
Maine,ME,3.837,4.236,4.653,4.483,U.S Dollar,US Gallon,2023-09-19
Michigan,MI,3.705,4.166,4.655,4.445,U.S Dollar,US Gallon,2023-09-19
Minnesota,MN,3.936,4.253,4.638,4.394,U.S Dollar,US Gallon,2023-09-19
Missouri,MO,3.672,3.974,4.299,4.233,U.S Dollar,US Gallon,2023-09-19
Mississippi,MS,3.3,3.677,4.034,4.128,U.S Dollar,US Gallon,2023-09-19
Montana,MT,4.199,4.49,4.777,4.697,U.S Dollar,US Gallon,2023-09-19
North Carolina,NC,3.514,3.899,4.268,4.316,U.S Dollar,US Gallon,2023-09-19
North Dakota,ND,3.985,4.27,4.648,4.339,U.S Dollar,US Gallon,2023-09-19
Nebraska,NE,3.84,4.034,4.476,4.29,U.S Dollar,US Gallon,2023-09-19
New Hampshire,NH,3.725,4.137,4.546,4.406,U.S Dollar,US Gallon,2023-09-19
New Jersey,NJ,3.755,4.276,4.552,4.552,U.S Dollar,US Gallon,2023-09-19
New Mexico,NM,3.857,4.225,4.505,4.475,U.S Dollar,US Gallon,2023-09-19
Nevada,NV,5.019,5.226,5.474,5.272,U.S Dollar,US Gallon,2023-09-19
New York,NY,3.925,4.374,4.736,4.723,U.S Dollar,US Gallon,2023-09-19
Ohio,OH,3.611,4.059,4.511,4.421,U.S Dollar,US Gallon,2023-09-19
Oklahoma,OK,3.764,4.086,4.351,4.253,U.S Dollar,US Gallon,2023-09-19
Oregon,OR,4.693,4.892,5.118,5.239,U.S Dollar,US Gallon,2023-09-19
Pennsylvania,PA,3.921,4.308,4.614,4.761,U.S Dollar,US Gallon,2023-09-19
Rhode Island,RI,3.785,4.388,4.711,4.52,U.S Dollar,US Gallon,2023-09-19
South Carolina,SC,3.423,3.81,4.163,4.32,U.S Dollar,US Gallon,2023-09-19
South Dakota,SD,3.918,4.101,4.571,4.384,U.S Dollar,US Gallon,2023-09-19
Tennessee,TN,3.428,3.82,4.186,4.338,U.S Dollar,US Gallon,2023-09-19
Texas,TX,3.428,3.821,4.155,4.149,U.S Dollar,US Gallon,2023-09-19
Utah,UT,4.285,4.523,4.725,4.971,U.S Dollar,US Gallon,2023-09-19
Virginia,VA,3.594,4.001,4.351,4.339,U.S Dollar,US Gallon,2023-09-19
Vermont,VT,3.819,4.229,4.624,4.522,U.S Dollar,US Gallon,2023-09-19
Washington,WA,5.045,5.269,5.47,5.721,U.S Dollar,US Gallon,2023-09-19
Wisconsin,WI,3.639,4.046,4.505,4.208,U.S Dollar,US Gallon,2023-09-19
West Virginia,WV,3.642,3.98,4.319,4.287,U.S Dollar,US Gallon,2023-09-19
Wyoming,WY,3.958,4.218,4.499,4.649,U.S Dollar,US Gallon,2023-09-19
