State-Name,State-Abbreviation,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,5.529,5.695,5.894,5.167,U.S Dollar,US Gallon,2022-10-08
Alabama,AL,3.356,3.721,4.097,4.724,U.S Dollar,US Gallon,2022-10-08
Arkansas,AR,3.378,3.718,4.074,4.695,U.S Dollar,US Gallon,2022-10-08
Arizona,AZ,4.565,4.866,5.144,5.07,U.S Dollar,US Gallon,2022-10-08
California,CA,6.355,6.583,6.723,6.467,U.S Dollar,US Gallon,2022-10-08
Colorado,CO,3.746,4.089,4.39,4.836,U.S Dollar,US Gallon,2022-10-08
Connecticut,CT,3.401,3.913,4.301,5.056,U.S Dollar,US Gallon,2022-10-08
District of Columbia,DC,3.808,4.391,4.746,4.966,U.S Dollar,US Gallon,2022-10-08
Delaware,DE,3.518,3.948,4.227,4.824,U.S Dollar,US Gallon,2022-10-08
Florida,FL,3.317,3.701,4.021,4.813,U.S Dollar,US Gallon,2022-10-08
Georgia,GA,3.219,3.608,3.981,4.618,U.S Dollar,US Gallon,2022-10-08
Hawaii,HI,5.221,5.457,5.708,6.098,U.S Dollar,US Gallon,2022-10-08
Iowa,IA,3.718,3.971,4.44,4.897,U.S Dollar,US Gallon,2022-10-08
Idaho,ID,4.425,4.612,4.827,5.029,U.S Dollar,US Gallon,2022-10-08
Illinois,IL,4.404,4.847,5.246,5.099,U.S Dollar,US Gallon,2022-10-08
Indiana,IN,4.209,4.61,4.988,5.211,U.S Dollar,US Gallon,2022-10-08
Kansas,KS,3.514,3.78,4.092,4.732,U.S Dollar,US Gallon,2022-10-08
Kentucky,KY,3.506,3.902,4.255,4.824,U.S Dollar,US Gallon,2022-10-08
Louisiana,LA,3.282,3.638,4.007,4.636,U.S Dollar,US Gallon,2022-10-08
Massachusetts,MA,3.55,4.114,4.408,4.981,U.S Dollar,US Gallon,2022-10-08
Maryland,MD,3.647,4.128,4.43,4.886,U.S Dollar,US Gallon,2022-10-08
Maine,ME,3.612,3.98,4.325,5.025,U.S Dollar,US Gallon,2022-10-08
Michigan,MI,4.362,4.768,5.174,5.311,U.S Dollar,US Gallon,2022-10-08
Minnesota,MN,3.794,4.085,4.471,5.023,U.S Dollar,US Gallon,2022-10-08
Missouri,MO,3.479,3.704,4.029,4.717,U.S Dollar,US Gallon,2022-10-08
Mississippi,MS,3.236,3.588,3.945,4.596,U.S Dollar,US Gallon,2022-10-08
Montana,MT,4.062,4.345,4.594,4.94,U.S Dollar,US Gallon,2022-10-08
North Carolina,NC,3.49,3.833,4.191,4.761,U.S Dollar,US Gallon,2022-10-08
North Dakota,ND,3.763,4.102,4.452,4.901,U.S Dollar,US Gallon,2022-10-08
Nebraska,NE,3.658,3.864,4.306,4.816,U.S Dollar,US Gallon,2022-10-08
New Hampshire,NH,3.455,3.928,4.311,4.879,U.S Dollar,US Gallon,2022-10-08
New Jersey,NJ,3.575,4.093,4.373,4.926,U.S Dollar,US Gallon,2022-10-08
New Mexico,NM,3.806,4.127,4.408,4.848,U.S Dollar,US Gallon,2022-10-08
Nevada,NV,5.462,5.711,5.92,5.367,U.S Dollar,US Gallon,2022-10-08
New York,NY,3.618,4.051,4.412,5.047,U.S Dollar,US Gallon,2022-10-08
Ohio,OH,3.933,4.312,4.678,5.118,U.S Dollar,US Gallon,2022-10-08
Oklahoma,OK,3.565,3.879,4.128,4.626,U.S Dollar,US Gallon,2022-10-08
Oregon,OR,5.54,5.715,5.939,5.552,U.S Dollar,US Gallon,2022-10-08
Pennsylvania,PA,3.868,4.222,4.492,5.172,U.S Dollar,US Gallon,2022-10-08
Rhode Island,RI,3.455,4.048,4.333,4.913,U.S Dollar,US Gallon,2022-10-08
South Carolina,SC,3.35,3.718,4.067,4.716,U.S Dollar,US Gallon,2022-10-08
South Dakota,SD,3.801,3.937,4.41,4.778,U.S Dollar,US Gallon,2022-10-08
Tennessee,TN,3.385,3.744,4.104,4.731,U.S Dollar,US Gallon,2022-10-08
Texas,TX,3.25,3.61,3.945,4.531,U.S Dollar,US Gallon,2022-10-08
Utah,UT,4.167,4.381,4.579,4.931,U.S Dollar,US Gallon,2022-10-08
Virginia,VA,3.457,3.859,4.179,4.763,U.S Dollar,US Gallon,2022-10-08
Vermont,VT,3.73,4.277,4.678,4.96,U.S Dollar,US Gallon,2022-10-08
Washington,WA,5.402,5.603,5.798,5.557,U.S Dollar,US Gallon,2022-10-08
Wisconsin,WI,4.019,4.419,4.857,4.854,U.S Dollar,US Gallon,2022-10-08
West Virginia,WV,3.493,3.747,4.021,4.849,U.S Dollar,US Gallon,2022-10-08
Wyoming,WY,3.919,4.162,4.401,4.95,U.S Dollar,US Gallon,2022-10-08
