State-Name,State-Abbreviation,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,4.296,4.49,4.693,4.138,U.S Dollar,US Gallon,2023-07-15
Alabama,AL,3.112,3.499,3.885,3.623,U.S Dollar,US Gallon,2023-07-15
Arkansas,AR,3.165,3.558,3.927,3.623,U.S Dollar,US Gallon,2023-07-15
Arizona,AZ,3.773,4.083,4.364,3.978,U.S Dollar,US Gallon,2023-07-15
California,CA,4.909,5.124,5.273,5.11,U.S Dollar,US Gallon,2023-07-15
Colorado,CO,3.839,4.209,4.511,3.932,U.S Dollar,US Gallon,2023-07-15
Connecticut,CT,3.616,4.102,4.48,4.076,U.S Dollar,US Gallon,2023-07-15
District of Columbia,DC,3.692,4.252,4.644,4.16,U.S Dollar,US Gallon,2023-07-15
Delaware,DE,3.439,3.916,4.199,3.693,U.S Dollar,US Gallon,2023-07-15
Florida,FL,3.422,3.814,4.132,3.717,U.S Dollar,US Gallon,2023-07-15
Georgia,GA,3.283,3.689,4.068,3.77,U.S Dollar,US Gallon,2023-07-15
Hawaii,HI,4.697,4.908,5.166,5.641,U.S Dollar,US Gallon,2023-07-15
Iowa,IA,3.352,3.634,4.098,3.589,U.S Dollar,US Gallon,2023-07-15
Idaho,ID,3.907,4.119,4.356,3.916,U.S Dollar,US Gallon,2023-07-15
Illinois,IL,3.857,4.373,4.791,3.83,U.S Dollar,US Gallon,2023-07-15
Indiana,IN,3.524,3.978,4.427,3.879,U.S Dollar,US Gallon,2023-07-15
Kansas,KS,3.254,3.559,3.866,3.568,U.S Dollar,US Gallon,2023-07-15
Kentucky,KY,3.27,3.731,4.13,3.676,U.S Dollar,US Gallon,2023-07-15
Louisiana,LA,3.132,3.527,3.877,3.523,U.S Dollar,US Gallon,2023-07-15
Massachusetts,MA,3.554,4.077,4.41,4.171,U.S Dollar,US Gallon,2023-07-15
Maryland,MD,3.557,4.07,4.346,3.795,U.S Dollar,US Gallon,2023-07-15
Maine,ME,3.626,4.015,4.425,4.128,U.S Dollar,US Gallon,2023-07-15
Michigan,MI,3.562,4.004,4.485,3.815,U.S Dollar,US Gallon,2023-07-15
Minnesota,MN,3.438,3.733,4.126,3.718,U.S Dollar,US Gallon,2023-07-15
Missouri,MO,3.233,3.563,3.877,3.473,U.S Dollar,US Gallon,2023-07-15
Mississippi,MS,3.006,3.39,3.738,3.503,U.S Dollar,US Gallon,2023-07-15
Montana,MT,3.738,4.054,4.327,4.048,U.S Dollar,US Gallon,2023-07-15
North Carolina,NC,3.314,3.705,4.062,3.707,U.S Dollar,US Gallon,2023-07-15
North Dakota,ND,3.475,3.774,4.084,3.776,U.S Dollar,US Gallon,2023-07-15
Nebraska,NE,3.354,3.542,4.009,3.552,U.S Dollar,US Gallon,2023-07-15
New Hampshire,NH,3.484,3.91,4.322,4.072,U.S Dollar,US Gallon,2023-07-15
New Jersey,NJ,3.506,4.033,4.285,3.722,U.S Dollar,US Gallon,2023-07-15
New Mexico,NM,3.48,3.825,4.113,3.827,U.S Dollar,US Gallon,2023-07-15
Nevada,NV,4.242,4.495,4.734,4.188,U.S Dollar,US Gallon,2023-07-15
New York,NY,3.675,4.128,4.487,4.373,U.S Dollar,US Gallon,2023-07-15
Ohio,OH,3.343,3.776,4.225,3.707,U.S Dollar,US Gallon,2023-07-15
Oklahoma,OK,3.203,3.54,3.792,3.457,U.S Dollar,US Gallon,2023-07-15
Oregon,OR,4.608,4.824,5.034,4.421,U.S Dollar,US Gallon,2023-07-15
Pennsylvania,PA,3.638,4.028,4.333,4.263,U.S Dollar,US Gallon,2023-07-15
Rhode Island,RI,3.511,4.107,4.445,4.188,U.S Dollar,US Gallon,2023-07-15
South Carolina,SC,3.158,3.558,3.918,3.597,U.S Dollar,US Gallon,2023-07-15
South Dakota,SD,3.493,3.658,4.129,3.671,U.S Dollar,US Gallon,2023-07-15
Tennessee,TN,3.095,3.49,3.846,3.609,U.S Dollar,US Gallon,2023-07-15
Texas,TX,3.183,3.584,3.914,3.376,U.S Dollar,US Gallon,2023-07-15
Utah,UT,3.835,4.064,4.275,3.717,U.S Dollar,US Gallon,2023-07-15
Virginia,VA,3.403,3.812,4.144,3.752,U.S Dollar,US Gallon,2023-07-15
Vermont,VT,3.605,4.021,4.455,3.925,U.S Dollar,US Gallon,2023-07-15
Washington,WA,4.944,5.169,5.382,4.936,U.S Dollar,US Gallon,2023-07-15
Wisconsin,WI,3.373,3.808,4.248,3.541,U.S Dollar,US Gallon,2023-07-15
West Virginia,WV,3.372,3.676,4.002,3.786,U.S Dollar,US Gallon,2023-07-15
Wyoming,WY,3.609,3.876,4.147,4.11,U.S Dollar,US Gallon,2023-07-15
