State-Name,State-Abbreviation,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,3.719,3.884,4.064,3.548,U.S Dollar,US Gallon,2021-11-14
Alabama,AL,3.192,3.518,3.85,3.465,U.S Dollar,US Gallon,2021-11-14
Arkansas,AR,3.06,3.37,3.652,3.409,U.S Dollar,US Gallon,2021-11-14
Arizona,AZ,3.661,3.929,4.188,3.904,U.S Dollar,US Gallon,2021-11-14
California,CA,4.676,4.856,4.985,4.808,U.S Dollar,US Gallon,2021-11-14
Colorado,CO,3.497,3.825,4.116,3.478,U.S Dollar,US Gallon,2021-11-14
Connecticut,CT,3.546,3.839,4.058,3.7,U.S Dollar,US Gallon,2021-11-14
District of Columbia,DC,3.633,4.093,4.243,3.696,U.S Dollar,US Gallon,2021-11-14
Delaware,DE,3.32,3.696,3.96,3.582,U.S Dollar,US Gallon,2021-11-14
Florida,FL,3.267,3.619,3.93,3.569,U.S Dollar,US Gallon,2021-11-14
Georgia,GA,3.257,3.597,3.925,3.53,U.S Dollar,US Gallon,2021-11-14
Hawaii,HI,4.342,4.54,4.797,4.635,U.S Dollar,US Gallon,2021-11-14
Iowa,IA,3.176,3.314,3.722,3.46,U.S Dollar,US Gallon,2021-11-14
Idaho,ID,3.694,3.887,4.065,3.996,U.S Dollar,US Gallon,2021-11-14
Illinois,IL,3.568,3.929,4.318,3.641,U.S Dollar,US Gallon,2021-11-14
Indiana,IN,3.363,3.696,4.014,3.7,U.S Dollar,US Gallon,2021-11-14
Kansas,KS,3.105,3.358,3.598,3.391,U.S Dollar,US Gallon,2021-11-14
Kentucky,KY,3.107,3.439,3.748,3.419,U.S Dollar,US Gallon,2021-11-14
Louisiana,LA,3.152,3.455,3.781,3.329,U.S Dollar,US Gallon,2021-11-14
Massachusetts,MA,3.412,3.684,3.905,3.572,U.S Dollar,US Gallon,2021-11-14
Maryland,MD,3.357,3.767,4.033,3.601,U.S Dollar,US Gallon,2021-11-14
Maine,ME,3.433,3.725,3.983,3.586,U.S Dollar,US Gallon,2021-11-14
Michigan,MI,3.397,3.739,4.068,3.545,U.S Dollar,US Gallon,2021-11-14
Minnesota,MN,3.177,3.407,3.727,3.508,U.S Dollar,US Gallon,2021-11-14
Missouri,MO,3.097,3.35,3.621,3.35,U.S Dollar,US Gallon,2021-11-14
Mississippi,MS,3.084,3.381,3.706,3.33,U.S Dollar,US Gallon,2021-11-14
Montana,MT,3.406,3.669,3.924,3.715,U.S Dollar,US Gallon,2021-11-14
North Carolina,NC,3.227,3.576,3.92,3.522,U.S Dollar,US Gallon,2021-11-14
North Dakota,ND,3.207,3.419,3.66,3.566,U.S Dollar,US Gallon,2021-11-14
Nebraska,NE,3.217,3.311,3.67,3.453,U.S Dollar,US Gallon,2021-11-14
New Hampshire,NH,3.366,3.667,3.941,3.518,U.S Dollar,US Gallon,2021-11-14
New Jersey,NJ,3.452,3.807,3.988,3.702,U.S Dollar,US Gallon,2021-11-14
New Mexico,NM,3.365,3.664,3.932,3.631,U.S Dollar,US Gallon,2021-11-14
Nevada,NV,3.968,4.184,4.366,3.968,U.S Dollar,US Gallon,2021-11-14
New York,NY,3.561,3.853,4.088,3.757,U.S Dollar,US Gallon,2021-11-14
Ohio,OH,3.266,3.591,3.92,3.693,U.S Dollar,US Gallon,2021-11-14
Oklahoma,OK,3.006,3.273,3.494,3.29,U.S Dollar,US Gallon,2021-11-14
Oregon,OR,3.781,3.955,4.15,3.793,U.S Dollar,US Gallon,2021-11-14
Pennsylvania,PA,3.601,3.914,4.202,3.981,U.S Dollar,US Gallon,2021-11-14
Rhode Island,RI,3.417,3.751,3.999,3.604,U.S Dollar,US Gallon,2021-11-14
South Carolina,SC,3.137,3.494,3.819,3.446,U.S Dollar,US Gallon,2021-11-14
South Dakota,SD,3.304,3.409,3.756,3.535,U.S Dollar,US Gallon,2021-11-14
Tennessee,TN,3.138,3.477,3.802,3.456,U.S Dollar,US Gallon,2021-11-14
Texas,TX,3.054,3.381,3.676,3.311,U.S Dollar,US Gallon,2021-11-14
Utah,UT,3.706,3.909,4.093,4.02,U.S Dollar,US Gallon,2021-11-14
Virginia,VA,3.278,3.651,3.974,3.559,U.S Dollar,US Gallon,2021-11-14
Vermont,VT,3.437,3.681,3.948,3.613,U.S Dollar,US Gallon,2021-11-14
Washington,WA,3.873,4.091,4.269,3.866,U.S Dollar,US Gallon,2021-11-14
Wisconsin,WI,3.134,3.472,3.852,3.45,U.S Dollar,US Gallon,2021-11-14
West Virginia,WV,3.34,3.628,3.921,3.691,U.S Dollar,US Gallon,2021-11-14
Wyoming,WY,3.476,3.716,3.929,3.764,U.S Dollar,US Gallon,2021-11-14
