State-Name,State-Abbreviation,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,3.779,3.932,4.134,3.828,U.S Dollar,US Gallon,2022-01-27
Alabama,AL,3.043,3.389,3.72,3.493,U.S Dollar,US Gallon,2022-01-27
Arkansas,AR,2.997,3.307,3.588,3.428,U.S Dollar,US Gallon,2022-01-27
Arizona,AZ,3.56,3.849,4.103,3.856,U.S Dollar,US Gallon,2022-01-27
California,CA,4.636,4.833,4.96,4.854,U.S Dollar,US Gallon,2022-01-27
Colorado,CO,3.298,3.629,3.919,3.432,U.S Dollar,US Gallon,2022-01-27
Connecticut,CT,3.499,3.815,4.03,3.766,U.S Dollar,US Gallon,2022-01-27
District of Columbia,DC,3.553,4.037,4.178,3.888,U.S Dollar,US Gallon,2022-01-27
Delaware,DE,3.25,3.649,3.902,3.713,U.S Dollar,US Gallon,2022-01-27
Florida,FL,3.337,3.695,3.996,3.705,U.S Dollar,US Gallon,2022-01-27
Georgia,GA,3.183,3.537,3.864,3.591,U.S Dollar,US Gallon,2022-01-27
Hawaii,HI,4.38,4.574,4.822,4.72,U.S Dollar,US Gallon,2022-01-27
Iowa,IA,3.162,3.299,3.706,3.497,U.S Dollar,US Gallon,2022-01-27
Idaho,ID,3.531,3.728,3.925,3.822,U.S Dollar,US Gallon,2022-01-27
Illinois,IL,3.521,3.876,4.262,3.657,U.S Dollar,US Gallon,2022-01-27
Indiana,IN,3.241,3.552,3.871,3.686,U.S Dollar,US Gallon,2022-01-27
Kansas,KS,3.069,3.329,3.574,3.444,U.S Dollar,US Gallon,2022-01-27
Kentucky,KY,2.991,3.308,3.616,3.476,U.S Dollar,US Gallon,2022-01-27
Louisiana,LA,3.079,3.399,3.707,3.375,U.S Dollar,US Gallon,2022-01-27
Massachusetts,MA,3.371,3.67,3.889,3.659,U.S Dollar,US Gallon,2022-01-27
Maryland,MD,3.291,3.719,3.975,3.709,U.S Dollar,US Gallon,2022-01-27
Maine,ME,3.418,3.716,3.96,3.78,U.S Dollar,US Gallon,2022-01-27
Michigan,MI,3.222,3.561,3.889,3.574,U.S Dollar,US Gallon,2022-01-27
Minnesota,MN,3.166,3.406,3.732,3.587,U.S Dollar,US Gallon,2022-01-27
Missouri,MO,3.055,3.315,3.582,3.364,U.S Dollar,US Gallon,2022-01-27
Mississippi,MS,2.988,3.3,3.627,3.358,U.S Dollar,US Gallon,2022-01-27
Montana,MT,3.396,3.653,3.92,3.726,U.S Dollar,US Gallon,2022-01-27
North Carolina,NC,3.122,3.483,3.836,3.576,U.S Dollar,US Gallon,2022-01-27
North Dakota,ND,3.215,3.436,3.649,3.637,U.S Dollar,US Gallon,2022-01-27
Nebraska,NE,3.155,3.259,3.612,3.471,U.S Dollar,US Gallon,2022-01-27
New Hampshire,NH,3.282,3.615,3.885,3.645,U.S Dollar,US Gallon,2022-01-27
New Jersey,NJ,3.393,3.779,3.949,3.766,U.S Dollar,US Gallon,2022-01-27
New Mexico,NM,3.28,3.582,3.849,3.588,U.S Dollar,US Gallon,2022-01-27
Nevada,NV,3.796,4.029,4.212,3.909,U.S Dollar,US Gallon,2022-01-27
New York,NY,3.509,3.811,4.046,3.858,U.S Dollar,US Gallon,2022-01-27
Ohio,OH,3.131,3.448,3.772,3.66,U.S Dollar,US Gallon,2022-01-27
Oklahoma,OK,3.019,3.284,3.503,3.321,U.S Dollar,US Gallon,2022-01-27
Oregon,OR,3.928,4.102,4.295,4.114,U.S Dollar,US Gallon,2022-01-27
Pennsylvania,PA,3.522,3.861,4.132,4.007,U.S Dollar,US Gallon,2022-01-27
Rhode Island,RI,3.353,3.712,3.954,3.661,U.S Dollar,US Gallon,2022-01-27
South Carolina,SC,3.071,3.432,3.756,3.499,U.S Dollar,US Gallon,2022-01-27
South Dakota,SD,3.224,3.323,3.679,3.608,U.S Dollar,US Gallon,2022-01-27
Tennessee,TN,3.076,3.417,3.747,3.526,U.S Dollar,US Gallon,2022-01-27
Texas,TX,3.005,3.34,3.632,3.371,U.S Dollar,US Gallon,2022-01-27
Utah,UT,3.371,3.568,3.751,3.717,U.S Dollar,US Gallon,2022-01-27
Virginia,VA,3.174,3.559,3.884,3.58,U.S Dollar,US Gallon,2022-01-27
Vermont,VT,3.395,3.676,3.934,3.776,U.S Dollar,US Gallon,2022-01-27
Washington,WA,3.957,4.185,4.357,4.169,U.S Dollar,US Gallon,2022-01-27
Wisconsin,WI,3.068,3.404,3.791,3.484,U.S Dollar,US Gallon,2022-01-27
West Virginia,WV,3.206,3.475,3.769,3.613,U.S Dollar,US Gallon,2022-01-27
Wyoming,WY,3.317,3.541,3.808,3.717,U.S Dollar,US Gallon,2022-01-27
