State-Name,State-Abbreviation,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,4.619,4.815,5.032,4.651,U.S Dollar,US Gallon,2023-09-08
Alabama,AL,3.388,3.785,4.154,4.171,U.S Dollar,US Gallon,2023-09-08
Arkansas,AR,3.437,3.819,4.184,4.104,U.S Dollar,US Gallon,2023-09-08
Arizona,AZ,4.345,4.631,4.913,4.801,U.S Dollar,US Gallon,2023-09-08
California,CA,5.374,5.578,5.737,6.034,U.S Dollar,US Gallon,2023-09-08
Colorado,CO,3.929,4.305,4.596,4.297,U.S Dollar,US Gallon,2023-09-08
Connecticut,CT,3.796,4.277,4.656,4.449,U.S Dollar,US Gallon,2023-09-08
District of Columbia,DC,3.896,4.479,4.869,4.676,U.S Dollar,US Gallon,2023-09-08
Delaware,DE,3.543,4.054,4.343,4.336,U.S Dollar,US Gallon,2023-09-08
Florida,FL,3.625,4.003,4.319,4.404,U.S Dollar,US Gallon,2023-09-08
Georgia,GA,3.572,3.954,4.343,4.305,U.S Dollar,US Gallon,2023-09-08
Hawaii,HI,4.8,5,5.253,5.716,U.S Dollar,US Gallon,2023-09-08
Iowa,IA,3.75,3.958,4.48,4.253,U.S Dollar,US Gallon,2023-09-08
Idaho,ID,4.161,4.384,4.624,4.853,U.S Dollar,US Gallon,2023-09-08
Illinois,IL,4.005,4.508,4.932,4.384,U.S Dollar,US Gallon,2023-09-08
Indiana,IN,3.721,4.184,4.638,4.549,U.S Dollar,US Gallon,2023-09-08
Kansas,KS,3.599,3.892,4.195,4.159,U.S Dollar,US Gallon,2023-09-08
Kentucky,KY,3.461,3.928,4.329,4.235,U.S Dollar,US Gallon,2023-09-08
Louisiana,LA,3.348,3.709,4.07,4.009,U.S Dollar,US Gallon,2023-09-08
Massachusetts,MA,3.743,4.263,4.599,4.404,U.S Dollar,US Gallon,2023-09-08
Maryland,MD,3.628,4.148,4.429,4.395,U.S Dollar,US Gallon,2023-09-08
Maine,ME,3.824,4.227,4.637,4.4,U.S Dollar,US Gallon,2023-09-08
Michigan,MI,3.648,4.118,4.598,4.459,U.S Dollar,US Gallon,2023-09-08
Minnesota,MN,3.774,4.065,4.465,4.332,U.S Dollar,US Gallon,2023-09-08
Missouri,MO,3.554,3.848,4.187,4.068,U.S Dollar,US Gallon,2023-09-08
Mississippi,MS,3.274,3.645,4.006,3.974,U.S Dollar,US Gallon,2023-09-08
Montana,MT,4.017,4.329,4.619,4.61,U.S Dollar,US Gallon,2023-09-08
North Carolina,NC,3.483,3.849,4.219,4.188,U.S Dollar,US Gallon,2023-09-08
North Dakota,ND,3.778,4.082,4.384,4.251,U.S Dollar,US Gallon,2023-09-08
Nebraska,NE,3.646,3.83,4.284,4.188,U.S Dollar,US Gallon,2023-09-08
New Hampshire,NH,3.703,4.121,4.528,4.286,U.S Dollar,US Gallon,2023-09-08
New Jersey,NJ,3.662,4.209,4.469,4.362,U.S Dollar,US Gallon,2023-09-08
New Mexico,NM,3.769,4.125,4.408,4.386,U.S Dollar,US Gallon,2023-09-08
Nevada,NV,4.59,4.828,5.078,5.026,U.S Dollar,US Gallon,2023-09-08
New York,NY,3.887,4.337,4.7,4.603,U.S Dollar,US Gallon,2023-09-08
Ohio,OH,3.544,4.003,4.454,4.466,U.S Dollar,US Gallon,2023-09-08
Oklahoma,OK,3.576,3.876,4.159,4.078,U.S Dollar,US Gallon,2023-09-08
Oregon,OR,4.732,4.947,5.16,5.185,U.S Dollar,US Gallon,2023-09-08
Pennsylvania,PA,3.856,4.245,4.55,4.677,U.S Dollar,US Gallon,2023-09-08
Rhode Island,RI,3.74,4.358,4.675,4.36,U.S Dollar,US Gallon,2023-09-08
South Carolina,SC,3.423,3.777,4.145,4.248,U.S Dollar,US Gallon,2023-09-08
South Dakota,SD,3.77,3.917,4.399,4.26,U.S Dollar,US Gallon,2023-09-08
Tennessee,TN,3.384,3.776,4.135,4.157,U.S Dollar,US Gallon,2023-09-08
Texas,TX,3.378,3.771,4.108,3.994,U.S Dollar,US Gallon,2023-09-08
Utah,UT,4.272,4.505,4.715,4.976,U.S Dollar,US Gallon,2023-09-08
Virginia,VA,3.571,3.984,4.329,4.248,U.S Dollar,US Gallon,2023-09-08
Vermont,VT,3.805,4.202,4.617,4.386,U.S Dollar,US Gallon,2023-09-08
Washington,WA,5.074,5.31,5.51,5.648,U.S Dollar,US Gallon,2023-09-08
Wisconsin,WI,3.551,3.977,4.412,4.229,U.S Dollar,US Gallon,2023-09-08
West Virginia,WV,3.615,3.952,4.294,4.275,U.S Dollar,US Gallon,2023-09-08
Wyoming,WY,3.925,4.18,4.453,4.583,U.S Dollar,US Gallon,2023-09-08
