State-Name,State-Abbreviation,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,5.277,5.54,5.706,5.928,U.S Dollar,US Gallon,2022-07-21
Alabama,AL,4.018,4.431,4.796,5.205,U.S Dollar,US Gallon,2022-07-21
Arkansas,AR,4.038,4.417,4.729,5.122,U.S Dollar,US Gallon,2022-07-21
Arizona,AZ,4.754,5.075,5.34,5.519,U.S Dollar,US Gallon,2022-07-21
California,CA,5.818,6.047,6.178,6.625,U.S Dollar,US Gallon,2022-07-21
Colorado,CO,4.72,5.078,5.372,5.356,U.S Dollar,US Gallon,2022-07-21
Connecticut,CT,4.455,4.969,5.306,5.673,U.S Dollar,US Gallon,2022-07-21
District of Columbia,DC,4.652,5.195,5.539,5.75,U.S Dollar,US Gallon,2022-07-21
Delaware,DE,4.302,4.788,5.033,5.326,U.S Dollar,US Gallon,2022-07-21
Florida,FL,4.174,4.613,4.928,5.368,U.S Dollar,US Gallon,2022-07-21
Georgia,GA,3.968,4.392,4.744,5.169,U.S Dollar,US Gallon,2022-07-21
Hawaii,HI,5.594,5.794,6.046,6.135,U.S Dollar,US Gallon,2022-07-21
Iowa,IA,4.191,4.425,4.881,5.137,U.S Dollar,US Gallon,2022-07-21
Idaho,ID,5.08,5.326,5.521,5.689,U.S Dollar,US Gallon,2022-07-21
Illinois,IL,4.918,5.422,5.798,5.612,U.S Dollar,US Gallon,2022-07-21
Indiana,IN,4.477,4.919,5.254,5.763,U.S Dollar,US Gallon,2022-07-21
Kansas,KS,4.207,4.505,4.806,5.115,U.S Dollar,US Gallon,2022-07-21
Kentucky,KY,4.095,4.55,4.878,5.419,U.S Dollar,US Gallon,2022-07-21
Louisiana,LA,4.021,4.435,4.757,5.042,U.S Dollar,US Gallon,2022-07-21
Massachusetts,MA,4.585,5.078,5.363,5.77,U.S Dollar,US Gallon,2022-07-21
Maryland,MD,4.387,4.904,5.177,5.388,U.S Dollar,US Gallon,2022-07-21
Maine,ME,4.692,5.107,5.411,5.764,U.S Dollar,US Gallon,2022-07-21
Michigan,MI,4.521,4.986,5.34,5.709,U.S Dollar,US Gallon,2022-07-21
Minnesota,MN,4.405,4.75,5.107,5.431,U.S Dollar,US Gallon,2022-07-21
Missouri,MO,4.137,4.481,4.788,5.093,U.S Dollar,US Gallon,2022-07-21
Mississippi,MS,3.982,4.364,4.706,5.032,U.S Dollar,US Gallon,2022-07-21
Montana,MT,4.712,5.011,5.298,5.674,U.S Dollar,US Gallon,2022-07-21
North Carolina,NC,4.108,4.511,4.863,5.339,U.S Dollar,US Gallon,2022-07-21
North Dakota,ND,4.404,4.743,5.111,5.338,U.S Dollar,US Gallon,2022-07-21
Nebraska,NE,4.36,4.51,4.976,5.131,U.S Dollar,US Gallon,2022-07-21
New Hampshire,NH,4.48,4.957,5.28,5.722,U.S Dollar,US Gallon,2022-07-21
New Jersey,NJ,4.529,5.106,5.34,5.602,U.S Dollar,US Gallon,2022-07-21
New Mexico,NM,4.265,4.617,4.896,5.25,U.S Dollar,US Gallon,2022-07-21
Nevada,NV,5.203,5.467,5.66,5.613,U.S Dollar,US Gallon,2022-07-21
New York,NY,4.642,5.09,5.411,5.877,U.S Dollar,US Gallon,2022-07-21
Ohio,OH,4.27,4.707,5.048,5.756,U.S Dollar,US Gallon,2022-07-21
Oklahoma,OK,4.133,4.478,4.721,5.002,U.S Dollar,US Gallon,2022-07-21
Oregon,OR,5.234,5.461,5.67,6.293,U.S Dollar,US Gallon,2022-07-21
Pennsylvania,PA,4.629,5.026,5.303,5.848,U.S Dollar,US Gallon,2022-07-21
Rhode Island,RI,4.564,5.115,5.392,5.791,U.S Dollar,US Gallon,2022-07-21
South Carolina,SC,3.953,4.362,4.706,5.1,U.S Dollar,US Gallon,2022-07-21
South Dakota,SD,4.476,4.638,5.145,5.237,U.S Dollar,US Gallon,2022-07-21
Tennessee,TN,4.023,4.433,4.785,5.224,U.S Dollar,US Gallon,2022-07-21
Texas,TX,3.952,4.354,4.676,4.906,U.S Dollar,US Gallon,2022-07-21
Utah,UT,4.986,5.211,5.412,5.403,U.S Dollar,US Gallon,2022-07-21
Virginia,VA,4.215,4.681,4.998,5.408,U.S Dollar,US Gallon,2022-07-21
Vermont,VT,4.586,5.107,5.488,5.537,U.S Dollar,US Gallon,2022-07-21
Washington,WA,5.186,5.44,5.618,6.27,U.S Dollar,US Gallon,2022-07-21
Wisconsin,WI,4.162,4.627,5.003,5.212,U.S Dollar,US Gallon,2022-07-21
West Virginia,WV,4.546,4.837,5.101,5.735,U.S Dollar,US Gallon,2022-07-21
Wyoming,WY,4.697,4.947,5.199,5.529,U.S Dollar,US Gallon,2022-07-21
