State-Name,State-Abbreviation,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,4.146,4.311,4.533,3.886,U.S Dollar,US Gallon,2024-04-02
Alabama,AL,3.187,3.582,3.959,3.823,U.S Dollar,US Gallon,2024-04-02
Arkansas,AR,3.153,3.543,3.916,3.74,U.S Dollar,US Gallon,2024-04-02
Arizona,AZ,3.809,4.114,4.41,3.988,U.S Dollar,US Gallon,2024-04-02
California,CA,5.121,5.327,5.491,5.393,U.S Dollar,US Gallon,2024-04-02
Colorado,CO,3.072,3.441,3.747,3.695,U.S Dollar,US Gallon,2024-04-02
Connecticut,CT,3.44,3.954,4.357,4.216,U.S Dollar,US Gallon,2024-04-02
District of Columbia,DC,3.701,4.307,4.65,4.335,U.S Dollar,US Gallon,2024-04-02
Delaware,DE,3.217,3.741,4.036,3.991,U.S Dollar,US Gallon,2024-04-02
Florida,FL,3.559,3.969,4.283,3.845,U.S Dollar,US Gallon,2024-04-02
Georgia,GA,3.316,3.728,4.114,3.962,U.S Dollar,US Gallon,2024-04-02
Hawaii,HI,4.693,4.9,5.165,5.585,U.S Dollar,US Gallon,2024-04-02
Iowa,IA,3.27,3.583,3.993,3.755,U.S Dollar,US Gallon,2024-04-02
Idaho,ID,3.717,3.931,4.188,4.08,U.S Dollar,US Gallon,2024-04-02
Illinois,IL,3.878,4.368,4.803,4.072,U.S Dollar,US Gallon,2024-04-02
Indiana,IN,3.405,3.898,4.357,4.076,U.S Dollar,US Gallon,2024-04-02
Kansas,KS,3.154,3.468,3.778,3.682,U.S Dollar,US Gallon,2024-04-02
Kentucky,KY,3.234,3.701,4.102,3.792,U.S Dollar,US Gallon,2024-04-02
Louisiana,LA,3.156,3.552,3.909,3.71,U.S Dollar,US Gallon,2024-04-02
Massachusetts,MA,3.311,3.852,4.216,4.208,U.S Dollar,US Gallon,2024-04-02
Maryland,MD,3.554,4.111,4.415,4.128,U.S Dollar,US Gallon,2024-04-02
Maine,ME,3.351,3.746,4.146,4.286,U.S Dollar,US Gallon,2024-04-02
Michigan,MI,3.6,4.102,4.597,4.048,U.S Dollar,US Gallon,2024-04-02
Minnesota,MN,3.319,3.643,4.029,3.823,U.S Dollar,US Gallon,2024-04-02
Missouri,MO,3.246,3.602,3.891,3.683,U.S Dollar,US Gallon,2024-04-02
Mississippi,MS,3.069,3.465,3.821,3.689,U.S Dollar,US Gallon,2024-04-02
Montana,MT,3.586,3.877,4.174,4.012,U.S Dollar,US Gallon,2024-04-02
North Carolina,NC,3.248,3.651,4.028,3.958,U.S Dollar,US Gallon,2024-04-02
North Dakota,ND,3.412,3.697,4.054,3.839,U.S Dollar,US Gallon,2024-04-02
Nebraska,NE,3.323,3.525,3.971,3.689,U.S Dollar,US Gallon,2024-04-02
New Hampshire,NH,3.265,3.707,4.124,4.19,U.S Dollar,US Gallon,2024-04-02
New Jersey,NJ,3.264,3.793,4.07,3.988,U.S Dollar,US Gallon,2024-04-02
New Mexico,NM,3.284,3.649,3.956,3.78,U.S Dollar,US Gallon,2024-04-02
Nevada,NV,4.458,4.689,4.95,4.228,U.S Dollar,US Gallon,2024-04-02
New York,NY,3.448,3.933,4.324,4.399,U.S Dollar,US Gallon,2024-04-02
Ohio,OH,3.343,3.8,4.267,4.067,U.S Dollar,US Gallon,2024-04-02
Oklahoma,OK,3.156,3.492,3.766,3.566,U.S Dollar,US Gallon,2024-04-02
Oregon,OR,4.292,4.473,4.728,4.235,U.S Dollar,US Gallon,2024-04-02
Pennsylvania,PA,3.624,4.008,4.322,4.492,U.S Dollar,US Gallon,2024-04-02
Rhode Island,RI,3.307,3.94,4.279,4.275,U.S Dollar,US Gallon,2024-04-02
South Carolina,SC,3.167,3.566,3.927,3.796,U.S Dollar,US Gallon,2024-04-02
South Dakota,SD,3.309,3.451,3.884,3.688,U.S Dollar,US Gallon,2024-04-02
Tennessee,TN,3.191,3.593,3.965,3.796,U.S Dollar,US Gallon,2024-04-02
Texas,TX,3.134,3.531,3.873,3.599,U.S Dollar,US Gallon,2024-04-02
Utah,UT,3.833,4.054,4.271,3.966,U.S Dollar,US Gallon,2024-04-02
Virginia,VA,3.429,3.849,4.199,4.007,U.S Dollar,US Gallon,2024-04-02
Vermont,VT,3.392,3.887,4.277,4.152,U.S Dollar,US Gallon,2024-04-02
Washington,WA,4.541,4.766,4.998,4.667,U.S Dollar,US Gallon,2024-04-02
Wisconsin,WI,3.357,3.832,4.247,3.794,U.S Dollar,US Gallon,2024-04-02
West Virginia,WV,3.406,3.79,4.163,3.993,U.S Dollar,US Gallon,2024-04-02
Wyoming,WY,3.291,3.541,3.824,3.907,U.S Dollar,US Gallon,2024-04-02
