State-Name,State-Abbreviation,Regular,Mid-Grade,Premium,Diesel,Currency,Unit,Date
Alaska,AK,5.578,5.784,5.967,6.112,U.S Dollar,US Gallon,2022-06-29
Alabama,AL,4.474,4.85,5.212,5.583,U.S Dollar,US Gallon,2022-06-29
Arkansas,AR,4.424,4.758,5.082,5.38,U.S Dollar,US Gallon,2022-06-29
Arizona,AZ,5.247,5.566,5.824,5.877,U.S Dollar,US Gallon,2022-06-29
California,CA,6.299,6.509,6.648,6.96,U.S Dollar,US Gallon,2022-06-29
Colorado,CO,4.902,5.243,5.54,5.524,U.S Dollar,US Gallon,2022-06-29
Connecticut,CT,4.842,5.289,5.636,6.092,U.S Dollar,US Gallon,2022-06-29
District of Columbia,DC,5.029,5.547,5.892,6.093,U.S Dollar,US Gallon,2022-06-29
Delaware,DE,4.796,5.252,5.492,5.782,U.S Dollar,US Gallon,2022-06-29
Florida,FL,4.625,5.035,5.352,5.652,U.S Dollar,US Gallon,2022-06-29
Georgia,GA,4.375,4.768,5.123,5.49,U.S Dollar,US Gallon,2022-06-29
Hawaii,HI,5.592,5.783,6.045,6.164,U.S Dollar,US Gallon,2022-06-29
Iowa,IA,4.624,4.803,5.288,5.422,U.S Dollar,US Gallon,2022-06-29
Idaho,ID,5.23,5.432,5.643,5.88,U.S Dollar,US Gallon,2022-06-29
Illinois,IL,5.406,5.868,6.248,5.806,U.S Dollar,US Gallon,2022-06-29
Indiana,IN,4.971,5.375,5.709,6.016,U.S Dollar,US Gallon,2022-06-29
Kansas,KS,4.585,4.862,5.161,5.365,U.S Dollar,US Gallon,2022-06-29
Kentucky,KY,4.586,4.982,5.313,5.776,U.S Dollar,US Gallon,2022-06-29
Louisiana,LA,4.425,4.778,5.121,5.35,U.S Dollar,US Gallon,2022-06-29
Massachusetts,MA,4.91,5.351,5.636,6.106,U.S Dollar,US Gallon,2022-06-29
Maryland,MD,4.826,5.33,5.589,5.803,U.S Dollar,US Gallon,2022-06-29
Maine,ME,4.998,5.367,5.662,6.113,U.S Dollar,US Gallon,2022-06-29
Michigan,MI,5.013,5.401,5.753,5.945,U.S Dollar,US Gallon,2022-06-29
Minnesota,MN,4.7,4.96,5.321,5.57,U.S Dollar,US Gallon,2022-06-29
Missouri,MO,4.578,4.896,5.202,5.37,U.S Dollar,US Gallon,2022-06-29
Mississippi,MS,4.395,4.729,5.081,5.343,U.S Dollar,US Gallon,2022-06-29
Montana,MT,4.958,5.257,5.534,5.902,U.S Dollar,US Gallon,2022-06-29
North Carolina,NC,4.512,4.884,5.244,5.659,U.S Dollar,US Gallon,2022-06-29
North Dakota,ND,4.708,5.01,5.367,5.607,U.S Dollar,US Gallon,2022-06-29
Nebraska,NE,4.711,4.858,5.319,5.346,U.S Dollar,US Gallon,2022-06-29
New Hampshire,NH,4.862,5.287,5.614,6.078,U.S Dollar,US Gallon,2022-06-29
New Jersey,NJ,4.886,5.399,5.637,5.96,U.S Dollar,US Gallon,2022-06-29
New Mexico,NM,4.69,5.03,5.295,5.575,U.S Dollar,US Gallon,2022-06-29
Nevada,NV,5.573,5.811,6.004,5.973,U.S Dollar,US Gallon,2022-06-29
New York,NY,4.94,5.351,5.666,6.213,U.S Dollar,US Gallon,2022-06-29
Ohio,OH,4.826,5.212,5.555,6.059,U.S Dollar,US Gallon,2022-06-29
Oklahoma,OK,4.568,4.885,5.116,5.278,U.S Dollar,US Gallon,2022-06-29
Oregon,OR,5.494,5.696,5.898,6.473,U.S Dollar,US Gallon,2022-06-29
Pennsylvania,PA,4.941,5.327,5.613,6.147,U.S Dollar,US Gallon,2022-06-29
Rhode Island,RI,4.88,5.367,5.664,6.162,U.S Dollar,US Gallon,2022-06-29
South Carolina,SC,4.392,4.766,5.105,5.529,U.S Dollar,US Gallon,2022-06-29
South Dakota,SD,4.75,4.884,5.335,5.402,U.S Dollar,US Gallon,2022-06-29
Tennessee,TN,4.485,4.856,5.214,5.58,U.S Dollar,US Gallon,2022-06-29
Texas,TX,4.506,4.877,5.197,5.269,U.S Dollar,US Gallon,2022-06-29
Utah,UT,5.185,5.387,5.587,5.674,U.S Dollar,US Gallon,2022-06-29
Virginia,VA,4.686,5.132,5.455,5.741,U.S Dollar,US Gallon,2022-06-29
Vermont,VT,4.94,5.354,5.743,6.044,U.S Dollar,US Gallon,2022-06-29
Washington,WA,5.483,5.713,5.886,6.464,U.S Dollar,US Gallon,2022-06-29
Wisconsin,WI,4.679,5.107,5.489,5.515,U.S Dollar,US Gallon,2022-06-29
West Virginia,WV,4.833,5.143,5.399,5.961,U.S Dollar,US Gallon,2022-06-29
Wyoming,WY,4.892,5.09,5.351,5.716,U.S Dollar,US Gallon,2022-06-29
